origin;obs_date;obs_value;norm_fit_sim;range_sec
WZ190Vliestr;2009-01-14;0.720000028610229;0.385703206062317;60
WZ190Vliestr;2009-02-13;0.730000019073486;0.483878016471863;60
WZ190Vliestr;2009-03-11;0.870000004768372;0.470128178596497;60
WZ190Vliestr;2009-04-10;0.490000009536743;0.412447512149811;60
WZ190Vliestr;2009-05-13;0.469999998807907;0.387520015239716;60
WZ190Vliestr;2009-06-11;0.319999992847443;0.36496976017952;60
WZ190Vliestr;2009-07-13;0.360000014305115;0.302328377962112;60
WZ190Vliestr;2009-08-12;0.300000011920929;0.251891255378723;60
WZ190Vliestr;2009-09-10;0.430000007152557;0.244338497519493;60
WZ190Vliestr;2009-10-14;0.349999994039536;0.237321108579636;60
WZ190Vliestr;2009-11-17;0.819999992847443;0.249051749706268;60
WZ190Vliestr;2009-12-17;1.00999999046326;0.385198146104813;60
