26-11-2009;09:49:08; VOX MAXIMA ; TODO
date;time; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
26-11-2009; 09:49:10.199  ; -2.496948; -0.4494506;   2.73538;  2.055427;  1.017702;   1.01407; 0.9995361; -0.375412;  -3.22305; -6.076792;  6001.095; -0.03967769; -0.04565987; -0.2232633;   5.35832; -0.03967769;  2.009034; -0.2232633;    23.712; -0.3387865;  442.0707; 0.4549505; -0.1251373; 0.04272982;         0;         0;         2;     1.025;  582039.7;   5754664; -173.7952; -1.461621;  173.7952;  1.461621;  105.6044;  101.4156; -3.472111; -2.522832; -0.2232633; -0.2232633; -68.19082;  99.95402;  192.9478; -282.5082;         0;         0; -0.007380524; -0.007380524; -0.003548329; -0.003548329;         1;         1;         0;         0;         0;         0;         0; -2.496948; -2.823982; -0.4494506; -173.7952;  173.7952;  1.461621;  101.4156;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0; -89.98169; -89.98169; -0.4150897; 0.2563789;         0;         0;         0;         0;         0;        80;         0;  61.63316;         0;         0;         0;         8;        80;     0.125; -0.1994506;       1.4;         1;  4.914653;         0;         0;         0;         0;         0;         0;         0;         0;         1;         1;         1;         0;         1;         0;         0;         0
26-11-2009; 09:49:10.679  ; -2.496948; -0.4494506;   2.73538;  2.055427;  1.012819;   1.01407; 0.9995361; -0.375412; -3.390917; -5.908925;  6001.095; -0.03967769; -0.04565987; -0.2232633;  8.707271; -0.03967769;  2.009034; -0.2232633;  23.48309; -0.3693078;  442.6983; 0.4549505; -0.1251373; 0.05799048;         0;         0;         2;     1.025;  582039.7;   5754664;  -173.756; -1.411567;   173.756;  1.411567;  105.5986;  101.4124; -3.472185; -2.523829; -0.2232633; -0.2232633; -68.15733;  100.0008;  192.9157; -282.5042;         0;         0; -0.007380524; -0.007380524; -0.003548329; -0.003548329;         1;         1;         0;         0;         0;         0;         0; -2.496948; -2.823982; -0.4494506;  -173.756;   173.756;  1.411567;  101.4124;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0; -89.98169; -89.98169; -0.4150897; 0.3174216;         0;         0;         0;         0;         0;        80;         0;  61.63316;         0;         0;         0;         8;        80;     0.125; -0.1994506;       1.4;         1;  4.914653;         0;         0;         0;         0;         0;         0;         0;         0;         1;         1;         1;         0;         1;         0;         0;         0
26-11-2009; 09:49:11.159  ; -2.496948; -0.4494506;  2.737211;  2.055427;  1.012819;   1.01407; 0.9995361; -0.3296301;  -3.22305; -5.405323;  6001.095; -0.03967769; -0.04565987; -0.2232633;  6001.095; -0.03967769;  2.009034; -0.2232633;  23.91039; -0.3387865;  442.2276; 0.6118301; -0.140398; 0.04272982;         0;         0;         2;     1.025;  582039.7;   5754664; -173.7419; -1.457191;  173.7419;  1.457191;   105.595;  101.4647; -3.472325; -2.525771; -0.2232633; -0.2232633;  -68.1468;  100.0075;  192.8765; -282.4969;         0;         0; -0.007380524; -0.007380524; -0.003548329; -0.003548329;         1;         1;         0;         0;         0;         0;         0; -2.496948; -2.823982; -0.4494506; -173.7419;  173.7419;  1.457191;  101.4647;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0; -89.98169; -89.98169; -0.4150897; 0.1953363;         0;         0;         0;         0;         0;        80;         0;  61.63316;         0;         0;         0;         8;        80;     0.125; -0.1994506;       1.4;         1;  4.914653;         0;         0;         0;         0;         0;         0;         0;         0;         1;         1;         1;         0;         1;         0;         0;         0
26-11-2009; 09:49:11.639  ;      -2.5; -0.4494506;   2.73538;  2.055427;  1.012819;   1.01407; 0.9995361; -0.3296301;  -3.22305;  -5.57319;  6001.095; -0.03967769; -0.04565987; -0.2232633;  3.125687; -0.03967769;  3.150531; -0.2232633;  23.62044; -0.3693078;  442.0707; 0.4549505; -0.1251373; 0.02746917;         0;         0;         2;     1.025;  582039.7;   5754664; -173.7201; -1.442915;  173.7201;  1.442915;  105.5928;   101.443; -3.472517; -2.528131; -0.2232633; -0.2232633; -68.12727;  100.0001;  192.8415;  -282.499;         0;         0; -0.007380524; -0.007380524; -0.003548329; -0.003548329;         1;         1;         0;         0;         0;         0;         0;      -2.5; -2.827434; -0.4494506; -173.7201;  173.7201;  1.442915;   101.443;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0; -89.98169; -89.98169; -0.4150897; 0.1037724;         0;         0;         0;         0;         0;        80;         0;  61.63316;         0;         0;         0;         8;        80;     0.125; -0.1994506;       1.4;         1;  4.914653;         0;         0;         0;         0;         0;         0;         0;         0;         1;         1;         1;         0;         1;         0;         0;         0
26-11-2009; 09:49:12.119  ; -2.496948; -0.4494506;   2.73538;  2.050543;  1.012819;   1.01407; 0.9995361; -0.375412;  -3.22305; -5.908925;  6001.095; -0.03967769; -0.04565987; -0.2232633;  6001.095; -0.03967769;  2.009034; -0.2232633;  23.77304; -0.3693078;  442.3845; 0.4549505; -0.09461604; 0.02746917;         0;         0;         2;     1.025;  582039.8;   5754664; -173.6914; -1.414728;  173.6914;  1.414728;  105.5324;  101.4295;   -3.4738; -2.530586; -0.2232633; -0.2232633; -68.15894;  100.0148;  192.8142; -282.5007;         0;         0; -0.007380524; -0.007380524; -0.003548329; -0.003548329;         1;         1;         0;         0;         0;         0;         0; -2.496948; -2.823982; -0.4494506; -173.6914;  173.6914;  1.414728;  101.4295;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0; -89.98169;       -90; -0.4150897; 0.1037724;         0;         0;         0;         0;         0;        80;         0;  61.63316;         0;         0;         0;         8;        80;     0.125; -0.1994506;       1.4;         1;  4.914653;         0;         0;         0;         0;         0;         0;         0;         0;         1;         1;         1;         0;         1;         0;         0;         0
26-11-2009; 09:49:12.599  ; -2.496948; -0.4494506;  2.737211;  2.055427;  1.012819;   1.01407; 0.9995361; -0.375412; -3.390917; -5.908925;  6001.095; -0.03967769; -0.04565987; -0.2232633;  9.823586; -0.03967769;  3.150531; -0.2232633;    23.712; -0.3693078;  442.2276; 0.6118301; -0.09461604; 0.02746917;         0;         0;         2;     1.025;  582039.8;   5754664;  -173.695; -1.476061;   173.695;  1.476061;  105.5537;  101.4211; -3.472563; -2.533902; -0.2232633; -0.2232633; -68.14133;  99.94502;  192.7876; -282.4956;         0;         0; -0.007380524; -0.007380524; -0.003548329; -0.003548329;         1;         1;         0;         0;         0;         0;         0; -2.496948; -2.823982; -0.4494506;  -173.695;   173.695;  1.476061;  101.4211;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0; -89.98169; -89.98169; -0.4150897; 0.1037724;         0;         0;         0;         0;         0;        80;         0;  61.63316;         0;         0;         0;         8;        80;     0.125; -0.1994506;       1.4;         1;  4.914653;         0;         0;         0;         0;         0;         0;         0;         0;         1;         1;         1;         0;         1;         0;         0;         0
26-11-2009; 09:49:13.079  ; -2.496948; -0.4494506;  2.737211;  2.055427;  1.012819;   1.01407; 0.9995361; -0.3296301; -3.390917; -5.908925;  6001.095; -0.03967769; -0.04565987; -0.2232633;  9.823586; -0.03967769; -0.04565987; -0.2232633;  23.65096; -0.3387865;  442.0707; 0.4549505; -0.1098767; 0.04272982;         0;         0;         2;     1.025;  582039.8;   5754664; -173.7181; -1.452335;  173.7181;  1.452335;   105.567;  101.4613;  -3.47248; -2.536941; -0.2232633; -0.2232633; -68.15115;   100.009;  192.7626;  -282.487;         0;         0; -0.007380524; -0.007380524; -0.003548329; -0.003548329;         1;         1;         0;         0;         0;         0;         0; -2.496948; -2.823982; -0.4494506; -173.7181;  173.7181;  1.452335;  101.4613;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0; -89.98169; -89.98169; -0.4150897; 0.1037724;         0;         0;         0;         0;         0;        80;         0;  61.63316;         0;         0;         0;         8;        80;     0.125; -0.1994506;       1.4;         1;  4.914653;         0;         0;         0;         0;         0;         0;         0;         0;         1;         1;         1;         0;         1;         0;         0;         0
26-11-2009; 09:49:13.559  ; -2.496948; -0.4494506;  2.737211;  2.055427;  1.017702;   1.01407; 0.9995361; -0.375412; -3.390917;  -5.57319;  6001.095; -0.03967769; -0.04565987; -0.2232633;   5.35832; -0.03967769;  2.009034; -0.2232633;  23.55939; -0.3693078;  442.3845; 0.4549505; -0.1556586; 0.02746917;         0;         0;         2;     1.025;  582039.8;   5754664; -173.7242; -1.453448;  173.7242;  1.453448;  105.5753;  101.4871;  -3.47244; -2.539731; -0.2232633; -0.2232633; -68.14896;  100.0337;  192.7496; -282.5085;         0;         0; -0.007380524; -0.007380524; -0.003548329; -0.003548329;         1;         1;         0;         0;         0;         0;         0; -2.496948; -2.823982; -0.4494506; -173.7242;  173.7242;  1.453448;  101.4871;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;       -90;       -90; -0.4150897; 0.1037724;         0;         0;         0;         0;         0;        80;         0;  61.63316;         0;         0;         0;         8;        80;     0.125; -0.1994506;       1.4;         1;  4.914653;         0;         0;         0;         0;         0;         0;         0;         0;         1;         1;         1;         0;         1;         0;         0;         0
26-11-2009; 09:49:14.039  ; -2.496948; -0.4494506;  2.738127;  2.055427;  1.012819;   1.01407; 0.9995361; -0.375412; -3.390917;  -5.57319;  6001.095; -0.03967769; -0.04565987; -0.2232633;   5.35832; -0.03967769;  3.150531; -0.2232633;  23.42205; -0.3693078;  442.2276; 0.4549505; -0.04883409; 0.02746917;         0;         0;         2;     1.025;  582039.8;   5754664; -173.7419; -1.406462;  173.7419;  1.406462;  105.5831;  101.5263; -3.472354; -2.542046; -0.2232633; -0.2232633; -68.15883;  100.1199;  192.7338; -282.5349;         0;         0; -0.007380524; -0.007380524; -0.003548329; -0.003548329;         1;         1;         0;         0;         0;         0;         0; -2.496948; -2.823982; -0.4494506; -173.7419;  173.7419;  1.406462;  101.5263;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;       -90; -89.98169; -0.4150897; 0.2563789;         0;         0;         0;         0;         0;        80;         0;  61.63316;         0;         0;         0;         8;        80;     0.125; -0.1994506;       1.4;         1;  4.914653;         0;         0;         0;         0;         0;         0;         0;         0;         1;         1;         1;         0;         1;         0;         0;         0
26-11-2009; 09:49:14.519  ;      -2.5; -0.4494506;  2.738127;  2.055427;  1.012819;   1.01407; 0.9995361; -0.3296301;  -3.22305; -6.076792;  6001.095; -0.03967769; -0.04565987; -0.2232633;   5.35832; -0.03967769; -0.04565987; -0.2232633;  23.58992; -0.3693078;  441.6786; 0.4549505; -0.1251373; 0.02746917;         0;         0;         2;     1.025;  582039.8;   5754664; -173.7753; -1.392553;  173.7753;  1.392553;  105.5853;  101.4815; -3.472375; -2.543213; -0.2232633; -0.2232633; -68.19003;   100.089;  192.7228; -282.5619;         0;         0; -0.007380524; -0.007380524; -0.003548329; -0.003548329;         1;         1;         0;         0;         0;         0;         0;      -2.5; -2.827434; -0.4494506; -173.7753;  173.7753;  1.392553;  101.4815;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0; -89.98169; -89.98169; -0.4150897; 0.2563789;         0;         0;         0;         0;         0;        80;         0;  61.63316;         0;         0;         0;         8;        80;     0.125; -0.1994506;       1.4;         1;  4.914653;         0;         0;         0;         0;         0;         0;         0;         0;         1;         1;         1;         0;         1;         0;         0;         0
