26-11-2009;09:49:08; VOX MAXIMA ; TODO
date;time; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
26-11-2009; 09:49:30.836  ;      -2.5; -0.4494506;   2.73538;  2.050543;  1.017702;   1.01407; 0.9995361; -0.3296301; -3.390917; -5.405323;  6001.095; -0.03967769; -0.04565987; -0.2232633;  3.125687; -0.03967769;  3.150531; -0.2232633;  23.80356; -0.3693078;  442.6983; 0.4549505; -0.1098767; 0.02746917;         0;         0;         2;     1.025;  582039.8;   5754665; -173.6432; -1.532688;  173.6432;  1.532688;  105.3049;  101.5386; -3.473894; -2.553625; -0.2232633; -0.2232633; -68.33826;   100.006;  192.9099; -282.6742;         0;         0; -0.007380524; -0.007380524; -0.003548329; -0.003548329;         1;         1;         0;         0;         0;         0;         0;      -2.5; -2.827434; -0.4494506; -173.6432;  173.6432;  1.532688;  101.5386;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0; -89.98169;       -90; -0.4150897; 0.1037724;         0;         0;         0;         0;         0;        80;         0;  61.63316;         0;         0;         0;         8;        80;     0.125; -0.1994506;       1.4;         1;  4.914653;         0;         0;         0;         0;         0;         0;         0;         0;         1;         1;         1;         0;         1;         0;         0;         0
26-11-2009; 09:49:31.316  ;      -2.5; -0.4494506;  2.736296;  2.055427;  1.012819;   1.01407; 0.9995361; -0.3296301;  -3.22305; -5.908925;  6001.095; -0.03967769; -0.04565987; -0.2232633;   5.35832; -0.03967769; -0.04565987; -0.2232633;  23.87987; -0.3693078;  442.5414; 0.4549505; -0.1251373; 0.01220852;         0;         0;         2;     1.025;  582039.8;   5754665; -173.6335; -1.532109;  173.6335;  1.532109;  105.2812;  101.5134; -3.474073; -2.555751; -0.2232633; -0.2232633; -68.35233;  99.98125;  192.9429;  -282.675;         0;         0; -0.007380524; -0.007380524; -0.003548329; -0.003548329;         1;         1;         0;         0;         0;         0;         0;      -2.5; -2.827434; -0.4494506; -173.6335;  173.6335;  1.532109;  101.5134;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;       -90; -89.98169; -0.4150897; 0.1037724;         0;         0;         0;         0;         0;        80;         0;  61.63316;         0;         0;         0;         8;        80;     0.125; -0.1994506;       1.4;         1;  4.914653;         0;         0;         0;         0;         0;         0;         0;         0;         1;         1;         1;         0;         1;         0;         0;         0
26-11-2009; 09:49:31.796  ;      -2.5; -0.4494506;   2.73538;  2.050543;  1.017702;   1.01407; 0.9995361; -0.375412; -3.390917; -5.908925;  6001.095; -0.03967769; -0.04565987; -0.2232633;   5.35832; -0.03967769;  2.009034; -0.2232633;  23.65096; -0.3387865;  442.2276; 0.6118301; -0.09461604; 0.02746917;         0;         0;         2;     1.025;  582039.8;   5754665;  -173.627; -1.580371;   173.627;  1.580371;  105.2388;  101.4734; -3.474147; -2.557814; -0.2232633; -0.2232633; -68.38814;  99.89307;  192.9664; -282.6541;         0;         0; -0.007380524; -0.007380524; -0.003548329; -0.003548329;         1;         1;         0;         0;         0;         0;         0;      -2.5; -2.827434; -0.4494506;  -173.627;   173.627;  1.580371;  101.4734;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;       -90; -89.98169; -0.4150897; 0.2563789;         0;         0;         0;         0;         0;        80;         0;  61.63316;         0;         0;         0;         8;        80;     0.125; -0.1994506;       1.4;         1;  4.914653;         0;         0;         0;         0;         0;         0;         0;         0;         1;         1;         1;         0;         1;         0;         0;         0
26-11-2009; 09:49:32.276  ; -2.496948; -0.4494506;  2.734465;  2.050543;  1.017702;   1.01407; 0.9995361; -0.375412;  -3.22305; -5.908925;  6001.095; -0.03967769; -0.04565987; -0.2232633;  8.707271; -0.03967769;  2.009034; -0.2232633;  24.00195; -0.3693078;  442.5414; 0.6118301; -0.09461604; 0.02746917;         0;         0;         2;     1.025;  582039.8;   5754665; -173.6024; -1.641065;  173.6024;  1.641065;  105.2155;  101.4683; -3.474314; -2.559798; -0.2232633; -0.2232633; -68.38689;  99.82727;  192.9938; -282.6184;         0;         0; -0.007380524; -0.007380524; -0.003548329; -0.003548329;         1;         1;         0;         0;         0;         0;         0; -2.496948; -2.823982; -0.4494506; -173.6024;  173.6024;  1.641065;  101.4683;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;       -90;       -90; -0.4150897; 0.2563789;         0;         0;         0;         0;         0;        80;         0;  61.63316;         0;         0;         0;         8;        80;     0.125; -0.1994506;       1.4;         1;  4.914653;         0;         0;         0;         0;         0;         0;         0;         0;         1;         1;         1;         0;         1;         0;         0;         0
26-11-2009; 09:49:32.756  ;      -2.5; -0.4494506;  2.736296;  2.055427;  1.017702;   1.01407; 0.9995361; -0.375412; -3.390917;  -5.57319;  6001.095; -0.03967769; -0.04565987; -0.2232633;   5.35832; -0.03967769;  2.009034; -0.2232633;  23.74252; -0.3693078;  442.5414; 0.4549505; -0.09461604; 0.04272982;         0;         0;         2;     1.025;  582039.8;   5754665; -173.6188; -1.642628;  173.6188;  1.642628;  105.2568;  101.4659; -3.474818;  -2.56183; -0.2232633; -0.2232633; -68.36206;  99.82332;  193.0177; -282.5717;         0;         0; -0.007380524; -0.007380524; -0.003548329; -0.003548329;         1;         1;         0;         0;         0;         0;         0;      -2.5; -2.827434; -0.4494506; -173.6188;  173.6188;  1.642628;  101.4659;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0; -89.98169; -89.98169; -0.4150897; 0.2563789;         0;         0;         0;         0;         0;        80;         0;  61.63316;         0;         0;         0;         8;        80;     0.125; -0.1994506;       1.4;         1;  4.914653;         0;         0;         0;         0;         0;         0;         0;         0;         1;         1;         1;         0;         1;         0;         0;         0
26-11-2009; 09:49:33.236  ; -2.496948; -0.4494506;  2.737211;  2.055427;  1.012819;   1.01407; 0.9995361; -0.375412;  -3.22305; -6.076792;  6001.095; -0.03967769; -0.04565987; -0.2232633;  3.125687; -0.03967769;  2.009034; -0.2232633;  23.74252; -0.3387865;  442.0707; 0.4549505; -0.09461604; 0.02746917;         0;         0;         2;     1.025;  582039.8;   5754665;  -173.659; -1.661168;   173.659;  1.661168;  105.3815;  101.4438;  -3.47483; -2.562768; -0.2232633; -0.2232633;  -68.2775;  99.78266;  193.0232; -282.5271;         0;         0; -0.007380524; -0.007380524; -0.003548329; -0.003548329;         1;         1;         0;         0;         0;         0;         0; -2.496948; -2.823982; -0.4494506;  -173.659;   173.659;  1.661168;  101.4438;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0; -89.98169; -89.98169; -0.4150897; 0.2563789;         0;         0;         0;         0;         0;        80;         0;  61.63316;         0;         0;         0;         8;        80;     0.125; -0.1994506;       1.4;         1;  4.914653;         0;         0;         0;         0;         0;         0;         0;         0;         1;         1;         1;         0;         1;         0;         0;         0
26-11-2009; 09:49:33.716  ;      -2.5; -0.4494506;  2.736296;  2.055427;  1.017702;   1.01407; 0.9995361; -0.3296301;  -3.22305;  -5.57319;  6001.095; -0.03967769; -0.04565987; -0.2232633;   5.35832; -0.03967769;  2.009034; -0.2232633;  23.74252; -0.3693078;  442.5414; 0.6118301; -0.2014406; 0.02746917;         0;         0;         2;     1.025;  582039.8;   5754665;  -173.679; -1.584765;   173.679;  1.584765;  105.4414;    101.43; -3.473739; -2.564025; -0.2232633; -0.2232633; -68.23766;  99.84525;  193.0057; -282.4841;         0;         0; -0.007380524; -0.007380524; -0.003548329; -0.003548329;         1;         1;         0;         0;         0;         0;         0;      -2.5; -2.827434; -0.4494506;  -173.679;   173.679;  1.584765;    101.43;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0; -89.98169; -89.98169; -0.4150897; 0.3174216;         0;         0;         0;         0;         0;        80;         0;  61.63316;         0;         0;         0;         8;        80;     0.125; -0.1994506;       1.4;         1;  4.914653;         0;         0;         0;         0;         0;         0;         0;         0;         1;         1;         1;         0;         1;         0;         0;         0
26-11-2009; 09:49:34.196  ; -2.496948; -0.4494506;  2.737211;  2.055427;  1.017702;   1.01407; 0.9995361; -0.3296301;  -3.22305; -5.908925;  6001.095; -0.03967769; -0.04565987; -0.2232633;   5.35832; -0.03967769; -0.04565987; -0.2232633;    23.712; -0.3387865;  442.6983; 0.4549505; -0.07935539; 0.04272982;         0;         0;         2;     1.025;  582039.8;   5754665; -173.6994; -1.507265;  173.6994;  1.507265;  105.4794;  101.4214; -3.475097; -2.565144; -0.2232633; -0.2232633; -68.21999;  99.91412;  192.9872; -282.4702;         0;         0; -0.007380524; -0.007380524; -0.003548329; -0.003548329;         1;         1;         0;         0;         0;         0;         0; -2.496948; -2.823982; -0.4494506; -173.6994;  173.6994;  1.507265;  101.4214;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0; -89.98169;       -90; -0.4150897; 0.1037724;         0;         0;         0;         0;         0;        80;         0;  61.63316;         0;         0;         0;         8;        80;     0.125; -0.1994506;       1.4;         1;  4.914653;         0;         0;         0;         0;         0;         0;         0;         0;         1;         1;         1;         0;         1;         0;         0;         0
26-11-2009; 09:49:34.676  ; -2.496948; -0.4494506;  2.737211;  2.055427;  1.012819;   1.01407; 0.9995361; -0.3296301;  -3.22305; -5.405323;  6001.095; -0.03967769; -0.04565987; -0.2232633;   5.35832; -0.03967769;  3.150531; -0.2232633;    23.712; -0.3387865;  442.0707; 0.4549505; -0.140398; 0.02746917;         0;         0;         2;     1.025;  582039.8;   5754665; -173.7352; -1.516286;  173.7352;  1.516286;   105.538;  101.4366; -3.474765; -2.565064; -0.2232633; -0.2232633;  -68.1972;  99.92033;  192.9661; -282.4628;         0;         0; -0.007380524; -0.007380524; -0.003548329; -0.003548329;         1;         1;         0;         0;         0;         0;         0; -2.496948; -2.823982; -0.4494506; -173.7352;  173.7352;  1.516286;  101.4366;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0; -89.98169; -89.98169; -0.4150897; 0.1037724;         0;         0;         0;         0;         0;        80;         0;  61.63316;         0;         0;         0;         8;        80;     0.125; -0.1994506;       1.4;         1;  4.914653;         0;         0;         0;         0;         0;         0;         0;         0;         1;         1;         1;         0;         1;         0;         0;         0
26-11-2009; 09:49:35.156  ;      -2.5; -0.4494506;  2.737211;  2.055427;  1.017702;   1.01407; 0.9995361; -0.3296301;  -3.22305; -5.405323;  6001.095; -0.03967769; -0.04565987; -0.2232633;  8.707271; -0.03967769; -0.04565987; -0.2232633;  23.77304; -0.3693078;  442.3845; 0.4549505; -0.1709193; 0.04272982;         0;         0;         2;     1.025;  582039.8;   5754665; -173.7502; -1.578766;  173.7502;  1.578766;  105.5571;  101.4255; -3.474509; -2.565377; -0.2232633; -0.2232633; -68.19305;  99.84675;  192.9454; -282.4433;         0;         0; -0.007380524; -0.007380524; -0.003548329; -0.003548329;         1;         1;         0;         0;         0;         0;         0;      -2.5; -2.827434; -0.4494506; -173.7502;  173.7502;  1.578766;  101.4255;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0; -89.98169; -89.98169; -0.4150897; 0.2563789;         0;         0;         0;         0;         0;        80;         0;  61.63316;         0;         0;         0;         8;        80;     0.125; -0.1994506;       1.4;         1;  4.914653;         0;         0;         0;         0;         0;         0;         0;         0;         1;         1;         1;         0;         1;         0;         0;         0
26-11-2009; 09:49:35.636  ;      -2.5; -0.4494506;  2.736296;  2.055427;  1.012819;   1.01407; 0.9995361; -0.375412; -3.390917; -5.908925;  6001.095; -0.03967769; -0.04565987; -0.2232633;  8.707271; -0.03967769;  2.009034; -0.2232633;  23.77304; -0.3693078;  442.0707; 0.6118301; -0.2014406; 0.04272982;         0;         0;         2;     1.025;  582039.8;   5754665; -173.7539; -1.519493;  173.7539;  1.519493;  105.5691;  101.4392; -3.474297; -2.564747; -0.2232633; -0.2232633; -68.18481;   99.9197;    192.93; -282.4446;         0;         0; -0.007380524; -0.007380524; -0.003548329; -0.003548329;         1;         1;         0;         0;         0;         0;         0;      -2.5; -2.827434; -0.4494506; -173.7539;  173.7539;  1.519493;  101.4392;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0; -89.98169;       -90; -0.4150897; 0.2563789;         0;         0;         0;         0;         0;        80;         0;  61.63316;         0;         0;         0;         8;        80;     0.125; -0.1994506;       1.4;         1;  4.914653;         0;         0;         0;         0;         0;         0;         0;         0;         1;         1;         1;         0;         1;         0;         0;         0
26-11-2009; 09:49:36.115  ;      -2.5; -0.4494506;  2.737211;  2.055427;  1.012819;   1.01407; 0.9995361; -0.375412;  -3.22305; -6.076792;  6001.095; -0.03967769; -0.04565987; -0.2232633;   5.35832; -0.03967769;  3.150531; -0.2232633;  23.58992; -0.3693078;  442.0707; 0.6118301;  -0.18618; 0.04272982;         0;         0;         2;     1.025;  582039.8;   5754665; -173.7711; -1.506251;  173.7711;  1.506251;  105.5766;  101.4271; -3.475194; -2.564847; -0.2232633; -0.2232633; -68.19451;  99.92087;  192.9145; -282.4435;         0;         0; -0.007380524; -0.007380524; -0.003548329; -0.003548329;         1;         1;         0;         0;         0;         0;         0;      -2.5; -2.827434; -0.4494506; -173.7711;  173.7711;  1.506251;  101.4271;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0; -89.98169; -89.98169; -0.4150897; 0.2563789;         0;         0;         0;         0;         0;        80;         0;  61.63316;         0;         0;         0;         8;        80;     0.125; -0.1994506;       1.4;         1;  4.914653;         0;         0;         0;         0;         0;         0;         0;         0;         1;         1;         1;         0;         1;         0;         0;         0
26-11-2009; 09:49:36.595  ;      -2.5; -0.4494506;  2.736296;  2.055427;  1.017702;  1.021701;  0.999414; -0.375412;  -3.22305; -5.908925;  6001.095; -0.03967769; -0.04565987; -0.2232633;  3.125687; -0.03967769;  2.009034; -0.2232633;  23.68148; -0.3693078;  442.3845; 0.4549505;  -0.18618; 0.04272982;         0;         0;         2;     1.025;  582039.8;   5754665; -173.7869; -1.532724;  173.7869;  1.532724;  105.5646;   101.491; -3.474877; -2.565443; -0.2232633; -0.2232633; -68.22231;  99.95827;  192.9114; -282.4592;         0;         0; -0.007380524; -0.007380524; -0.003548329; -0.003548329;         1;         1;         0;         0;         0;         0;         0;      -2.5; -2.827434; -0.4494506; -173.7869;  173.7869;  1.532724;   101.491;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;       -90; -89.98169; -0.4150897; 0.1037724;         0;         0;         0;         0;         0;        80;         0;  61.63316;         0;         0;         0;         8;        80;     0.125; -0.1994506;       1.4;         1;  4.914653;         0;         0;         0;         0;         0;         0;         0;         0;         1;         1;         1;         0;         1;         0;         0;         0
26-11-2009; 09:49:37.075  ;      -2.5; -0.4494506;  2.736296;  2.055427;  1.012819;   1.01407; 0.9995361; -0.375412;  -3.22305; -6.076792;  6001.095; -0.03967769; -0.04565987; -0.2232633;  8.707271; -0.03967769;  2.009034; -0.2232633;    23.712; -0.3998291;  442.0707; 0.4549505; -0.03357343; 0.02746917;         0;         0;         2;     1.025;  582039.8;   5754665; -173.7558; -1.479608;  173.7558;  1.479608;  105.5327;  101.4595; -3.474639; -2.565778; -0.2232633; -0.2232633; -68.22308;  99.97987;  192.9019; -282.4689;         0;         0; -0.007380524; -0.007380524; -0.003548329; -0.003548329;         1;         1;         0;         0;         0;         0;         0;      -2.5; -2.827434; -0.4494506; -173.7558;  173.7558;  1.479608;  101.4595;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0; -89.98169; -89.98169; -0.4150897; 0.2563789;         0;         0;         0;         0;         0;        80;         0;  61.63316;         0;         0;         0;         8;        80;     0.125; -0.1994506;       1.4;         1;  4.914653;         0;         0;         0;         0;         0;         0;         0;         0;         1;         1;         1;         0;         1;         0;         0;         0
26-11-2009; 09:49:37.555  ; -2.496948; -0.4494506;  2.738127;  2.055427;  1.012819;   1.01407;  0.999414; -0.375412;  -3.22305; -5.908925;  6001.095; -0.03967769; -0.04565987; -0.2232633;   5.35832; -0.03967769;  2.009034; -0.2232633;  23.80356; -0.3387865;  441.8354; 0.4549505; -0.1556586; 0.04272982;         0;         0;         2;     1.025;  582039.8;   5754665;  -173.789; -1.401976;   173.789;  1.401976;  105.5661;  101.4621; -3.474507;  -2.56528; -0.2232633; -0.2232633; -68.22293;  100.0601;  192.8945; -282.4917;         0;         0; -0.007380524; -0.007380524; -0.003548329; -0.003548329;         1;         1;         0;         0;         0;         0;         0; -2.496948; -2.823982; -0.4494506;  -173.789;   173.789;  1.401976;  101.4621;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0; -89.98169;       -90; -0.4150897; 0.1037724;         0;         0;         0;         0;         0;        80;         0;  61.63316;         0;         0;         0;         8;        80;     0.125; -0.1994506;       1.4;         1;  4.914653;         0;         0;         0;         0;         0;         0;         0;         0;         1;         1;         1;         0;         1;         0;         0;         0
26-11-2009; 09:49:38.035  ; -2.496948; -0.4494506;  2.738127;  2.055427;  1.012819;   1.01407;  0.999414; -0.3296301; -3.055182; -5.405323;  6001.095; -0.03967769; -0.04565987; -0.2232633;   5.35832; -0.03967769;  2.009034; -0.2232633;  23.58992; -0.3693078;  442.5414; 0.6118301; -0.1709193; 0.02746917;         0;         0;         2;     1.025;  582039.8;   5754665; -173.8348; -1.394334;  173.8348;  1.394334;  105.5793;  101.4646; -3.474394; -2.566172; -0.2232633; -0.2232633; -68.25549;  100.0703;  192.8939; -282.5261;         0;         0; -0.007380524; -0.007380524; -0.003548329; -0.003548329;         1;         1;         0;         0;         0;         0;         0; -2.496948; -2.823982; -0.4494506; -173.8348;  173.8348;  1.394334;  101.4646;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0; -89.98169; -89.98169; -0.4150897; 0.1037724;         0;         0;         0;         0;         0;        80;         0;  61.63316;         0;         0;         0;         8;        80;     0.125; -0.1994506;       1.4;         1;  4.914653;         0;         0;         0;         0;         0;         0;         0;         0;         1;         1;         1;         0;         1;         0;         0;         0
26-11-2009; 09:49:38.515  ;      -2.5; -0.4494506;  2.737211;  2.055427;  1.012819;  1.021701;  0.999414; -0.3296301;  -3.22305; -5.908925;  6001.095; -0.03967769; -0.04565987; -0.2232633;   5.35832; -0.03967769;  3.150531; -0.2232633;  23.91039; -0.3693078;  442.0707; 0.4549505; -0.09461604; 0.02746917;         0;         0;         2;     1.025;  582039.8;   5754665; -173.8338; -1.374123;  173.8338;  1.374123;  105.5875;  101.4723; -3.474215; -2.567749; -0.2232633; -0.2232633;  -68.2463;  100.0982;  192.8969; -282.5587;         0;         0; -0.007380524; -0.007380524; -0.003548329; -0.003548329;         1;         1;         0;         0;         0;         0;         0;      -2.5; -2.827434; -0.4494506; -173.8338;  173.8338;  1.374123;  101.4723;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0; -89.98169;       -90; -0.4150897; 0.1037724;         0;         0;         0;         0;         0;        80;         0;  61.63316;         0;         0;         0;         8;        80;     0.125; -0.1994506;       1.4;         1;  4.914653;         0;         0;         0;         0;         0;         0;         0;         0;         1;         1;         1;         0;         1;         0;         0;         0
26-11-2009; 09:49:38.995  ;      -2.5; -0.4494506;   2.73538;  2.055427;  1.012819;   1.01407;  0.999414; -0.3296301;  -3.22305; -5.908925;  6001.095; -0.03967769; -0.04565987; -0.2232633;   5.35832; -0.03967769;  2.009034; -0.2232633;  23.74252; -0.3693078;  442.6983; 0.4549505; -0.03357343; 0.02746917;         0;         0;         2;     1.025;  582039.8;   5754665; -173.7836; -1.378865;  173.7836;  1.378865;    105.58;  101.4478;  -3.47429; -2.569324; -0.2232633; -0.2232633; -68.20362;   100.069;  192.8919; -282.5893;         0;         0; -0.007380524; -0.007380524; -0.003548329; -0.003548329;         1;         1;         0;         0;         0;         0;         0;      -2.5; -2.827434; -0.4494506; -173.7836;  173.7836;  1.378865;  101.4478;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;       -90;       -90; -0.4150897; 0.1037724;         0;         0;         0;         0;         0;        80;         0;  61.63316;         0;         0;         0;         8;        80;     0.125; -0.1994506;       1.4;         1;  4.914653;         0;         0;         0;         0;         0;         0;         0;         0;         1;         1;         1;         0;         1;         0;         0;         0
26-11-2009; 09:49:39.475  ;      -2.5; -0.4494506;  2.736296;  2.055427;  1.017702;   1.01407;  0.999414; -0.375412;  -3.22305; -5.908925;  6001.095; -0.03967769; -0.04565987; -0.2232633;  3.125687; -0.03967769;  3.150531; -0.2232633;  23.87987; -0.3693078;  442.3845; 0.6118301; -0.1709193; 0.02746917;         0;         0;         2;     1.025;  582039.8;   5754665; -173.7483; -1.413571;  173.7483;  1.413571;  105.5311;  101.4325; -3.472987; -2.570387; -0.2232633; -0.2232633; -68.21723;  100.0189;  192.8866; -282.6106;         0;         0; -0.007380524; -0.007380524; -0.003548329; -0.003548329;         1;         1;         0;         0;         0;         0;         0;      -2.5; -2.827434; -0.4494506; -173.7483;  173.7483;  1.413571;  101.4325;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0; -89.98169;       -90; -0.4150897; 0.1037724;         0;         0;         0;         0;         0;        80;         0;  61.63316;         0;         0;         0;         8;        80;     0.125; -0.1994506;       1.4;         1;  4.914653;         0;         0;         0;         0;         0;         0;         0;         0;         1;         1;         1;         0;         1;         0;         0;         0
26-11-2009; 09:49:39.955  ;      -2.5; -0.4494506;  2.736296;  2.055427;  1.012819;   1.01407; 0.9995361; -0.375412; -3.390917;  -5.57319;  6001.095; -0.03967769; -0.04565987; -0.2232633;   5.35832; -0.03967769;  3.150531; -0.2232633;  23.80356; -0.3693078;  442.2276; 0.4549505; -0.06409474; 0.02746917;         0;         0;         2;     1.025;  582039.8;   5754665; -173.7421; -1.433609;  173.7421;  1.433609;  105.5452;  101.4436; -3.473081; -2.571562; -0.2232633; -0.2232633; -68.19688;    100.01;  192.8775; -282.6207;         0;         0; -0.007380524; -0.007380524; -0.003548329; -0.003548329;         1;         1;         0;         0;         0;         0;         0;      -2.5; -2.827434; -0.4494506; -173.7421;  173.7421;  1.433609;  101.4436;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0; -89.98169; -89.98169; -0.4150897; 0.2563789;         0;         0;         0;         0;         0;        80;         0;  61.63316;         0;         0;         0;         8;        80;     0.125; -0.1994506;       1.4;         1;  4.914653;         0;         0;         0;         0;         0;         0;         0;         0;         1;         1;         1;         0;         1;         0;         0;         0
26-11-2009; 09:49:40.435  ;      -2.5; -0.4494506;  2.737211;  2.055427;  1.012819;   1.01407; 0.9995361; -0.375412; -3.390917; -5.405323;  6001.095; -0.03967769; -0.04565987; -0.2232633;   5.35832; -0.03967769; -0.04565987; -0.2232633;  23.87987; -0.3998291;  442.5414; 0.4549505; -0.1251373; 0.01220852;         0;         0;         2;     1.025;  582039.8;   5754665; -173.7685; -1.449242;  173.7685;  1.449242;  105.5617;  101.4298; -3.473161; -2.572402; -0.2232633; -0.2232633;  -68.2068;  99.98061;  192.8669; -282.6151;         0;         0; -0.007380524; -0.007380524; -0.003548329; -0.003548329;         1;         1;         0;         0;         0;         0;         0;      -2.5; -2.827434; -0.4494506; -173.7685;  173.7685;  1.449242;  101.4298;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0; -89.98169;       -90; -0.4150897; 0.2563789;         0;         0;         0;         0;         0;        80;         0;  61.63316;         0;         0;         0;         8;        80;     0.125; -0.1994506;       1.4;         1;  4.914653;         0;         0;         0;         0;         0;         0;         0;         0;         1;         1;         1;         0;         1;         0;         0;         0
26-11-2009; 09:49:40.915  ;      -2.5; -0.4494506;  2.738127;  2.055427;  1.012819;   1.01407; 0.9995361; -0.3296301;  -3.22305; -5.405323;  6001.095; -0.03967769; -0.04565987; -0.2232633;  8.707271; -0.03967769;  3.150531; -0.2232633;  23.68148; -0.3693078;  442.5414; 0.4549505; -0.04883409; 0.02746917;         0;         0;         2;     1.025;  582039.7;   5754665; -173.7956; -1.459011;  173.7956;  1.459011;   105.572;  101.4213; -3.473111; -2.572063; -0.2232633; -0.2232633; -68.22362;  99.96227;  192.8606; -282.6045;         0;         0; -0.007380524; -0.007380524; -0.003548329; -0.003548329;         1;         1;         0;         0;         0;         0;         0;      -2.5; -2.827434; -0.4494506; -173.7956;  173.7956;  1.459011;  101.4213;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0; -89.98169; -89.98169; -0.4150897; 0.2563789;         0;         0;         0;         0;         0;        80;         0;  61.63316;         0;         0;         0;         8;        80;     0.125; -0.1994506;       1.4;         1;  4.914653;         0;         0;         0;         0;         0;         0;         0;         0;         1;         1;         1;         0;         1;         0;         0;         0
26-11-2009; 09:49:41.395  ;      -2.5; -0.4494506;  2.736296;  2.055427;  1.012819;   1.01407; 0.9995361; -0.375412; -3.390917; -5.405323;  6001.095; -0.03967769; -0.04565987; -0.2232633;  3.125687; -0.03967769;  3.150531; -0.2232633;  23.65096; -0.3998291;  441.8354; 0.6118301; -0.2014406; 0.02746917;         0;         0;         2;     1.025;  582039.7;   5754665; -173.7929; -1.474334;  173.7929;  1.474334;  105.5784;   101.435;  -3.47303; -2.571715; -0.2232633; -0.2232633; -68.21452;  99.96066;  192.8577; -282.6046;         0;         0; -0.007380524; -0.007380524; -0.003548329; -0.003548329;         1;         1;         0;         0;         0;         0;         0;      -2.5; -2.827434; -0.4494506; -173.7929;  173.7929;  1.474334;   101.435;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;       -90; -89.98169; -0.4150897; 0.3174216;         0;         0;         0;         0;         0;        80;         0;  61.63316;         0;         0;         0;         8;        80;     0.125; -0.1994506;       1.4;         1;  4.914653;         0;         0;         0;         0;         0;         0;         0;         0;         1;         1;         1;         0;         1;         0;         0;         0
26-11-2009; 09:49:41.875  ; -2.496948; -0.4494506;   2.73538;  2.055427;  1.017702;   1.01407; 0.9995361; -0.375412; -3.390917; -5.908925;  6001.095; -0.03967769; -0.04565987; -0.2232633;  3.125687; -0.03967769; -0.04565987; -0.2232633;  24.00195; -0.3693078;  442.5414; 0.4549505; -0.06409474; 0.02746917;         0;         0;         2;     1.025;  582039.7;   5754665; -173.7518; -1.466287;  173.7518;  1.466287;   105.547;  101.4245; -3.471715; -2.570443; -0.2232633; -0.2232633; -68.20485;  99.95821;  192.8526; -282.6024;         0;         0; -0.007380524; -0.007380524; -0.003548329; -0.003548329;         1;         1;         0;         0;         0;         0;         0; -2.496948; -2.823982; -0.4494506; -173.7518;  173.7518;  1.466287;  101.4245;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0;         0; -89.98169;       -90; -0.4150897; 0.1037724;         0;         0;         0;         0;         0;        80;         0;  61.63316;         0;         0;         0;         8;        80;     0.125; -0.1994506;       1.4;         1;  4.914653;         0;         0;         0;         0;         0;         0;         0;         0;         1;         1;         1;         0;         1;         0;         0;         0
