"","coords.x1","coords.x2","scientific"
"93",60.9558,-10.3521,"Sphyrna mokarran"
"94",60.4695666666669,-10.3186666666669,"Sphyrna mokarran"
"95",61.469466666667,-10.3186666666669,"Sphyrna mokarran"
"96",60.469506666667,-10.318626666667,"Sphyrna mokarran"
"97",60.285133333333,-10.3019,"Sphyrna mokarran"
"98",62.285133333333,-10.3019,"Sphyrna mokarran"
"99",60.285133333333,-10.2683666666669,"Sphyrna mokarran"
"100",60.285133333333,-10.2683666666669,"Sphyrna mokarran"
"101",60.486333333333,-10.2682666666669,"Sphyrna mokarran"
"102",61.570066666667,-10.2515,"Sphyrna mokarran"
"103",61.570066666667,-10.2515,"Sphyrna mokarran"
"104",60.3521,-10.234733333333,"Sphyrna mokarran"
"105",60.4024,-10.184533333333,"Sphyrna mokarran"
"106",60.4024,-10.184533333333,"Sphyrna mokarran"
"107",60.419166666667,-10.184533333333,"Sphyrna mokarran"
"108",60.486333333333,-10.184533333333,"Sphyrna mokarran"
"109",60.486333333333,-10.184533333333,"Sphyrna mokarran"
"110",60.486333333333,-10.184533333333,"Sphyrna mokarran"
"111",61.2347333333329,-10.1677666666669,"Sphyrna mokarran"
"112",61.1677666666669,-10.15094,"Sphyrna mokarran"
"113",60.2347333333329,-10.134133333333,"Sphyrna mokarran"
"114",60.2347333333329,-10.134133333333,"Sphyrna mokarran"
"115",60.7545,-10.134133333333,"Sphyrna mokarran"
"116",60.7545,-10.134133333333,"Sphyrna mokarran"
"117",61.469466666667,-10.134133333333,"Sphyrna mokarran"
"118",60.486333333333,-9.93893333333329,"Sphyrna mokarran"
"119",60.486333333333,-9.93893333333329,"Sphyrna mokarran"
"120",59.9558,-9,"Sphyrna mokarran"
"121",59.9725166666669,-9,"Sphyrna mokarran"
"122",59.888733333333,-8.72106666666669,"Sphyrna mokarran"
"123",60.00003,-8.26826666666669,"Sphyrna mokarran"
"124",71.335403333333,-7.25152999999999,"Sphyrna mokarran"
"125",71.536633333333,-7.2012,"Sphyrna mokarran"
"126",71.536633333333,-7.2012,"Sphyrna mokarran"
"127",71.1844633333329,-7.1174166666667,"Sphyrna mokarran"
"128",72.2515499999999,-6.75455999999999,"Sphyrna mokarran"
"129",72.117426666667,-6.70425,"Sphyrna mokarran"
"130",72.117426666667,-6.70425,"Sphyrna mokarran"
"131",72.117426666667,-6.70425,"Sphyrna mokarran"
"132",72.117426666667,-6.70425,"Sphyrna mokarran"
"133",72.117426666667,-6.70425,"Sphyrna mokarran"
"134",72.117426666667,-6.70425,"Sphyrna mokarran"
"135",57.368,-6.46959999999999,"Sphyrna mokarran"
"136",72.1174166666669,-6.4359533333333,"Sphyrna mokarran"
"137",72.1174166666669,-6.4359533333333,"Sphyrna mokarran"
"138",72.2013,-6.21806666666669,"Sphyrna mokarran"
"139",72.2013,-6.21806666666669,"Sphyrna mokarran"
"140",72.7042,-6.15099999999999,"Sphyrna mokarran"
"141",72.067166666667,-6.13413333333329,"Sphyrna mokarran"
"142",72.7545999999999,-6.0503,"Sphyrna mokarran"
"143",72.1509999999999,-6.01686666666669,"Sphyrna mokarran"
"144",72.7210666666669,-5.9725666666667,"Sphyrna mokarran"
"145",72.771366666667,-5.9725666666667,"Sphyrna mokarran"
"146",55.5193,-5.6222,"Sphyrna mokarran"
"147",71.01681,-4.550139,"Sphyrna mokarran"
"148",71.01681,-4.550139,"Sphyrna mokarran"
"149",71.01681,-4.550139,"Sphyrna mokarran"
"150",54.3999999999999,-3.91,"Sphyrna mokarran"
"151",54.53,-3.62999999999999,"Sphyrna mokarran"
"152",60.0335833333329,-3.53658333333329,"Sphyrna mokarran"
"153",54.78,-3.5,"Sphyrna mokarran"
"154",40.7713666666669,-3.4191666666667,"Sphyrna mokarran"
"155",54.8999999999999,-3.27,"Sphyrna mokarran"
