"","id","decimalLongitude","decimalLatitude","lifestage","basisOfRecord","eventDate","institutionCode","collectionCode","catalogNumber","sex","datasetName","bibliographicCitation","phylum","order","family","genus","scientificName","originalScientificName","scientificNameAuthorship","obisID","resourceID","yearcollected","species","qc","aphiaID","speciesID","datasetID","geodeticDatum","modified","occurrenceID","occurrenceStatus","recordedBy","scientificNameID","specificEpithet","class","depth","minimumDepthInMeters","maximumDepthInMeters","references","locality","continent","coordinateUncertaintyInMeters","county","occurrenceRemarks","stateProvince","individualCount","eventID","identifiedBy","fieldNumber","otherCatalogNumbers","recordNumber","dynamicProperties","eventTime","dateIdentified"
"11",405196759,10.683333,57.733333,"Adult","Occurrence","2004-08-14 10:00:00","ICES","DOME-Biota","12205860","F","ICES contaminants and biological effects","ICES database on the marine environment, Copenhagen, Denmark. 2009; National Environmental Research Institute, Roskilde, Denmark","Mollusca","Neogastropoda","Buccinidae","Buccinum","Buccinum undatum","Buccinum undatum","Linnaeus, 1758",413540,1576,2004,"Buccinum undatum",1060633727,138878,413540,"IMIS:dasid:2159","EPSG:4326","2009-09-24 13:37:00","urn:catalog:ICES:DOME-Biota:12205860","present","NERI (National Environmental Research Institute)","urn:lsid:marinespecies.org:taxname:138878","undatum","Gastropoda",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",405196781,10.683333,57.733333,"Adult","Occurrence","2004-08-14 10:00:00","ICES","DOME-Biota","12205861","F","ICES contaminants and biological effects","ICES database on the marine environment, Copenhagen, Denmark. 2009; National Environmental Research Institute, Roskilde, Denmark","Mollusca","Neogastropoda","Buccinidae","Buccinum","Buccinum undatum","Buccinum undatum","Linnaeus, 1758",413540,1576,2004,"Buccinum undatum",1060633727,138878,413540,"IMIS:dasid:2159","EPSG:4326","2009-09-24 13:37:00","urn:catalog:ICES:DOME-Biota:12205861","present","NERI (National Environmental Research Institute)","urn:lsid:marinespecies.org:taxname:138878","undatum","Gastropoda",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",405196803,10.683333,57.733333,"Adult","Occurrence","2004-08-14 10:00:00","ICES","DOME-Biota","12205862","F","ICES contaminants and biological effects","ICES database on the marine environment, Copenhagen, Denmark. 2009; National Environmental Research Institute, Roskilde, Denmark","Mollusca","Neogastropoda","Buccinidae","Buccinum","Buccinum undatum","Buccinum undatum","Linnaeus, 1758",413540,1576,2004,"Buccinum undatum",1060633727,138878,413540,"IMIS:dasid:2159","EPSG:4326","2009-09-24 13:37:00","urn:catalog:ICES:DOME-Biota:12205862","present","NERI (National Environmental Research Institute)","urn:lsid:marinespecies.org:taxname:138878","undatum","Gastropoda",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",405196812,10.683333,57.733333,"Adult","Occurrence","2004-08-14 10:00:00","ICES","DOME-Biota","12205856","F","ICES contaminants and biological effects","ICES database on the marine environment, Copenhagen, Denmark. 2009; National Environmental Research Institute, Roskilde, Denmark","Mollusca","Neogastropoda","Buccinidae","Buccinum","Buccinum undatum","Buccinum undatum","Linnaeus, 1758",413540,1576,2004,"Buccinum undatum",1060633727,138878,413540,"IMIS:dasid:2159","EPSG:4326","2009-09-24 13:37:00","urn:catalog:ICES:DOME-Biota:12205856","present","NERI (National Environmental Research Institute)","urn:lsid:marinespecies.org:taxname:138878","undatum","Gastropoda",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",405196813,10.683333,57.733333,"Adult","Occurrence","2004-08-14 10:00:00","ICES","DOME-Biota","12205857","F","ICES contaminants and biological effects","ICES database on the marine environment, Copenhagen, Denmark. 2009; National Environmental Research Institute, Roskilde, Denmark","Mollusca","Neogastropoda","Buccinidae","Buccinum","Buccinum undatum","Buccinum undatum","Linnaeus, 1758",413540,1576,2004,"Buccinum undatum",1060633727,138878,413540,"IMIS:dasid:2159","EPSG:4326","2009-09-24 13:37:00","urn:catalog:ICES:DOME-Biota:12205857","present","NERI (National Environmental Research Institute)","urn:lsid:marinespecies.org:taxname:138878","undatum","Gastropoda",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",405196814,10.683333,57.733333,"Adult","Occurrence","2004-08-14 10:00:00","ICES","DOME-Biota","12205858","F","ICES contaminants and biological effects","ICES database on the marine environment, Copenhagen, Denmark. 2009; National Environmental Research Institute, Roskilde, Denmark","Mollusca","Neogastropoda","Buccinidae","Buccinum","Buccinum undatum","Buccinum undatum","Linnaeus, 1758",413540,1576,2004,"Buccinum undatum",1060633727,138878,413540,"IMIS:dasid:2159","EPSG:4326","2009-09-24 13:37:00","urn:catalog:ICES:DOME-Biota:12205858","present","NERI (National Environmental Research Institute)","urn:lsid:marinespecies.org:taxname:138878","undatum","Gastropoda",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",405196815,10.683333,57.733333,"Adult","Occurrence","2004-08-14 10:00:00","ICES","DOME-Biota","12205863","F","ICES contaminants and biological effects","ICES database on the marine environment, Copenhagen, Denmark. 2009; National Environmental Research Institute, Roskilde, Denmark","Mollusca","Neogastropoda","Buccinidae","Buccinum","Buccinum undatum","Buccinum undatum","Linnaeus, 1758",413540,1576,2004,"Buccinum undatum",1060633727,138878,413540,"IMIS:dasid:2159","EPSG:4326","2009-09-24 13:37:00","urn:catalog:ICES:DOME-Biota:12205863","present","NERI (National Environmental Research Institute)","urn:lsid:marinespecies.org:taxname:138878","undatum","Gastropoda",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",405196816,10.683333,57.733333,"Adult","Occurrence","2004-08-14 10:00:00","ICES","DOME-Biota","12205864","F","ICES contaminants and biological effects","ICES database on the marine environment, Copenhagen, Denmark. 2009; National Environmental Research Institute, Roskilde, Denmark","Mollusca","Neogastropoda","Buccinidae","Buccinum","Buccinum undatum","Buccinum undatum","Linnaeus, 1758",413540,1576,2004,"Buccinum undatum",1060633727,138878,413540,"IMIS:dasid:2159","EPSG:4326","2009-09-24 13:37:00","urn:catalog:ICES:DOME-Biota:12205864","present","NERI (National Environmental Research Institute)","urn:lsid:marinespecies.org:taxname:138878","undatum","Gastropoda",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",405196918,10.683333,57.733333,"Adult","Occurrence","2004-08-14 10:00:00","ICES","DOME-Biota","12205865","F","ICES contaminants and biological effects","ICES database on the marine environment, Copenhagen, Denmark. 2009; National Environmental Research Institute, Roskilde, Denmark","Mollusca","Neogastropoda","Buccinidae","Buccinum","Buccinum undatum","Buccinum undatum","Linnaeus, 1758",413540,1576,2004,"Buccinum undatum",1060633727,138878,413540,"IMIS:dasid:2159","EPSG:4326","2009-09-24 13:37:00","urn:catalog:ICES:DOME-Biota:12205865","present","NERI (National Environmental Research Institute)","urn:lsid:marinespecies.org:taxname:138878","undatum","Gastropoda",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",405196919,10.683333,57.733333,"Adult","Occurrence","2004-08-14 10:00:00","ICES","DOME-Biota","12205867","F","ICES contaminants and biological effects","ICES database on the marine environment, Copenhagen, Denmark. 2009; National Environmental Research Institute, Roskilde, Denmark","Mollusca","Neogastropoda","Buccinidae","Buccinum","Buccinum undatum","Buccinum undatum","Linnaeus, 1758",413540,1576,2004,"Buccinum undatum",1060633727,138878,413540,"IMIS:dasid:2159","EPSG:4326","2009-09-24 13:37:00","urn:catalog:ICES:DOME-Biota:12205867","present","NERI (National Environmental Research Institute)","urn:lsid:marinespecies.org:taxname:138878","undatum","Gastropoda",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
