variable;x.upper;x.mean;x.lower
WZ30 Mardie;0.5521426;0.4350617;0.3179808
WZ110DooveB W;0.8942608;0.5718065;0.2493522
WZ190Vliestr;0.4035264;0.2874161;0.1713058
WZ420Dantzig;0.2754326;0.2049385;0.1344444
WZ230Blauwe;0.3853982;0.2639206;0.1424430
WZ200DooveB O;1.1414990;0.6130241;0.0845491
WZ480Zoutkam;0.5824697;0.3837016;0.1849335
