variable;x.upper;x.mean;x.lower
WZ110DooveB W;0.4114983;0.3366492;0.2618002
WZ190Vliestr;0.2513895;0.2060935;0.1607974
WZ200DooveB O;0.7181928;0.5443182;0.3704436
WZ230Blauwe;0.5461467;0.4303333;0.3145200
WZ30 Mardie;0.2893320;0.2476424;0.2059528
WZ420Dantzig;0.3589174;0.3198882;0.2808590
WZ480Zoutkam;0.6458458;0.5083714;0.3708970
