origin;obs_date;obs_value;norm_fit_sim;range_sec
WZ420Dantzig;2009-01-15;0.0860000029206276;36.2101516723633;60
WZ420Dantzig;2009-02-16;0.0570000000298023;118.62092590332;60
WZ420Dantzig;2009-03-04;0.109999999403954;97.3951110839844;60
WZ420Dantzig;2009-03-12;0.159999996423721;91.4422607421875;60
WZ420Dantzig;2009-04-01;0.0979999974370003;93.2726211547852;60
WZ420Dantzig;2009-04-15;0.0390000008046627;77.2618942260742;60
WZ420Dantzig;2009-05-04;0.0209999997168779;37.1465148925781;60
WZ420Dantzig;2009-05-14;0.0599999986588955;113.028694152832;60
WZ420Dantzig;2009-06-02;0.100000001490116;11.6414737701416;60
WZ420Dantzig;2009-06-12;0.129999995231628;62.8038711547852;60
WZ420Dantzig;2009-07-01;0.0640000030398369;6.16639804840088;60
WZ420Dantzig;2009-07-14;0.150000005960464;52.6368637084961;60
WZ420Dantzig;2009-08-03;0.0869999974966049;36.5908241271973;60
WZ420Dantzig;2009-08-13;0.109999999403954;108.575042724609;60
WZ420Dantzig;2009-09-01;0.0689999982714653;89.5856246948242;60
WZ420Dantzig;2009-09-11;0.068000003695488;77.0283737182617;60
WZ420Dantzig;2009-09-30;0.0710000023245811;70.0570220947266;60
WZ420Dantzig;2009-10-15;0.129999995231628;60.5324020385742;60
WZ420Dantzig;2009-11-03;0.150000005960464;104.582946777344;60
WZ420Dantzig;2009-11-16;0.189999997615814;129.983001708984;60
WZ420Dantzig;2009-12-16;0.140000000596046;84.1268768310547;60
