id,year.month,waterlevel,missing,dataflag
9000,1871,-26.2,0,0
9000,1872,-20.7,0,0
9000,1873,-19.7,0,0
9000,1874,-21.2,0,0
9000,1875,-25.7,0,0
9000,1876,-19.2,0,0
9000,1877,-10.7,0,0
9000,1878,-13.2,0,0
9000,1879,-19.2,0,0
9000,1880,-16.2,0,0
9000,1881,-21,0,0
9000,1882,-17.4,0,0
9000,1883,-19,0,0
9000,1884,-17.7,0,0
9000,1885,-19.7,0,0
9000,1886,-18.7,0,0
9000,1887,-22.7,0,0
9000,1888,-21.7,0,0
9000,1889,-17.7,0,0
9000,1890,-19.7,0,0
9000,1891,-15.7,0,0
9000,1892,-15.7,0,0
9000,1893,-13.7,0,0
9000,1894,-13.7,0,0
9000,1895,-16.7,0,0
9000,1896,-18.7,0,0
9000,1897,-17.7,0,0
9000,1898,-12.7,0,0
9000,1899,-12.7,0,0
9000,1900,-17.7,0,0
9000,1901,-22.3,0,0
9000,1902,-26.3,0,0
9000,1903,-16.5,0,0
9000,1904,-13.2,0,0
9000,1905,-17.1,0,0
9000,1906,-13,0,0
9000,1907,-15.7,0,0
9000,1908,-17.5,0,0
9000,1909,-13,0,0
9000,1910,-11.2,0,0
9000,1911,-14,0,0
9000,1912,-9,0,0
9000,1913,-13.3,0,0
9000,1914,-9.6,0,0
9000,1915,-12.7,0,0
9000,1916,-9.9,0,0
9000,1917,-15.3,0,0
9000,1918,-13.5,0,0
9000,1919,-13.7,0,0
9000,1920,-14.7,0,0
9000,1921,-13.7,0,0
9000,1922,-14.8,0,0
9000,1923,-12.6,0,0
9000,1924,-14.4,0,0
9000,1925,-10.2,0,0
9000,1926,-13.4,0,0
9000,1927,-13.3,0,0
9000,1928,-11.7,0,0
9000,1929,-15.4,0,0
9000,1930,-10.3,0,0
9000,1931,-9.7,0,0
9000,1932,-10.8,0,0
9000,1933,-16.5,0,0
9000,1934,-16.1,0,0
9000,1935,-10.4,0,0
9000,1936,-9.4,0,0
9000,1937,-10.8,0,0
9000,1938,-9,0,0
9000,1939,-13.6,0,0
9000,1940,-11.8,0,0
9000,1941,-15.7,0,0
9000,1942,-14.4,0,0
9000,1943,-9.1,0,0
9000,1944,-8.9,0,0
9000,1945,-8.2,0,0
9000,1946,-9.5,0,0
9000,1947,-18.4,0,0
9000,1948,-10.1,0,0
9000,1949,-6.3,0,0
9000,1950,-6.9,0,0
9000,1951,-9.4,0,0
9000,1952,-7.8,0,0
9000,1953,-10.6,0,0
9000,1954,-6.7,0,0
9000,1955,-5.9,0,0
9000,1956,-13.8,0,0
9000,1957,-11.5,0,0
9000,1958,-7.8,0,0
9000,1959,-11.9,0,0
9000,1960,-8.5,0,0
9000,1961,-3.3,0,0
9000,1962,-8.6,0,0
9000,1963,-13.1,0,0
9000,1964,-8.9,0,0
9000,1965,-3,0,0
9000,1966,-0.3,0,0
9000,1967,1.8,0,0
9000,1968,-6.1,0,0
9000,1969,-8.9,0,0
9000,1970,-6.4,0,0
9000,1971,-12.4,0,0
9000,1972,-13.2,0,0
9000,1973,-8,0,0
9000,1974,-8.2,0,0
9000,1975,-10.8,0,0
9000,1976,-12.1,0,0
9000,1977,-4.2,0,0
9000,1978,-6.3,0,0
9000,1979,-5.7,0,0
9000,1980,-4.3,0,0
9000,1981,-0.5,0,0
9000,1982,-2.9,0,0
9000,1983,1.3,0,0
9000,1984,-4,0,0
9000,1985,-3.8,0,0
9000,1986,-3.8,0,0
9000,1987,-5.7,0,0
9000,1988,3,0,0
9000,1989,-1.8,0,0
9000,1990,2.8,0,0
9000,1991,-7.7,0,0
9000,1992,-2.9,0,0
9000,1993,-4,0,0
9000,1994,0.6,0,0
9000,1995,0,0,0
9000,1996,-11,0,0
9000,1997,-6.2,0,0
9000,1998,1.8,0,0
9000,1999,1.3,0,0
9000,2000,1.2,0,0
9000,2001,1,0,0
9000,2002,-0.2,0,0
9000,2003,-1.2,0,0
9000,2004,2,0,0
9000,2005,-0.7,0,0
9000,2006,-0.5,0,0
9000,2007,4.2,0,0
9000,2008,1.7,0,0
9000,2009,-1.7,0,0
9000,2010,-3,0,0
9000,2011,1.7,0,0
9000,2012,0.2,0,0
