% Kutubdia: SEA
% Kutubdia
% 21.00N, 91.00E
% 09-Jan-1979 to 09-Jan-2017
% spectra_2100n09100e_bangladesh.mat
% YEAR MONTH DAY HOUR HS TP HSDIR UW WINDDIR
1979	1	20	12	0.45	3.43	19.49	3.76	359.50
1979	1	20	15	0.00	NaN	NaN	4.01	349.50
1979	1	20	18	0.34	2.98	13.70	5.09	352.41
1979	1	20	21	0.49	2.97	14.45	6.08	9.19
1979	1	21	0	0.62	3.30	21.19	6.94	27.66
1979	1	21	3	0.64	3.60	26.82	5.67	29.63
1979	1	21	6	0.60	3.60	24.44	5.93	10.77
1979	1	21	9	0.57	3.53	19.01	6.05	8.06
1979	1	21	12	0.47	3.49	18.61	2.56	29.67
1979	1	21	15	0.00	NaN	NaN	2.48	358.36
1979	1	21	18	0.00	NaN	NaN	3.12	11.48
1979	1	21	21	0.00	NaN	NaN	3.99	16.44
1979	1	22	0	0.37	2.79	22.84	4.92	25.29
1979	1	22	3	0.52	3.01	26.14	6.69	26.68
1979	1	22	6	0.68	3.33	26.17	6.73	19.21
1979	1	22	9	0.65	3.65	21.11	5.62	4.05
1979	1	22	12	0.56	3.63	18.03	5.45	3.41
1979	1	22	15	0.57	3.46	15.02	6.75	9.79
1979	1	22	18	0.72	3.63	21.19	5.88	33.95
1979	1	22	21	0.71	4.00	26.31	5.57	28.33
1979	1	23	0	0.68	3.94	26.60	6.01	22.68
1979	1	23	3	0.64	3.82	26.46	6.18	25.64
1979	1	23	6	0.63	3.64	25.82	5.80	24.05
1979	1	23	9	0.58	3.58	24.25	5.77	16.83
1979	1	23	12	0.48	3.54	24.98	2.37	35.78
1979	1	23	15	0.00	NaN	NaN	2.51	358.15
1979	1	23	18	0.00	NaN	NaN	3.96	11.45
1979	1	23	21	0.44	2.92	19.94	6.91	16.80
1979	1	24	0	0.67	3.28	25.65	7.16	21.15
1979	1	24	3	0.83	3.65	30.81	7.86	20.97
1979	1	24	6	1.05	3.94	23.18	11.05	9.91
1979	1	24	9	1.08	4.29	15.47	7.61	9.46
1979	1	24	12	0.84	4.32	14.62	4.12	26.12
1979	1	24	15	0.64	4.14	12.77	4.72	5.52
1979	1	24	18	0.56	3.73	9.25	6.41	11.11
1979	1	24	21	0.74	3.52	12.06	8.19	18.30
1979	1	25	0	0.90	3.84	17.00	8.79	14.63
1979	1	25	3	1.02	3.97	18.14	8.94	10.53
1979	1	25	6	0.98	4.24	19.11	6.56	4.30
1979	1	25	9	0.78	4.23	19.11	5.26	351.07
1979	1	25	12	0.60	4.03	16.27	3.43	5.49
1979	1	25	15	0.00	NaN	NaN	4.23	343.11
1979	1	25	18	0.48	3.25	355.96	6.16	343.14
1979	1	25	21	0.76	3.38	351.09	8.30	345.66
1979	1	26	0	0.89	3.81	353.90	7.08	0.18
1979	1	26	3	0.78	4.04	354.30	4.00	8.65
1979	1	26	6	0.63	3.96	351.90	4.46	336.57
1979	1	26	9	0.49	3.78	349.15	3.53	313.01
1979	1	26	12	0.00	NaN	NaN	4.18	272.96
1979	1	26	15	0.35	3.48	348.75	5.15	268.36
1979	1	26	18	0.43	2.74	290.90	5.90	289.38
1979	1	26	21	0.54	3.05	311.89	6.77	328.51
1979	1	27	0	0.61	3.29	329.62	6.84	354.33
1979	1	27	3	0.61	3.51	336.93	5.10	11.04
1979	1	27	6	0.54	3.53	338.60	2.58	14.80
1979	1	27	9	0.45	3.46	339.58	3.16	346.32
