variable;x.upper;x.mean;x.lower
WZ30 Mardie; 0.47905063; 0.37945008; 0.27984953
WZ110DooveB W; 0.67946364; 0.44497867; 0.21049370
WZ190Vliestr; 0.26788711; 0.19149436; 0.11510160
WZ420Dantzig; 0.18542961; 0.14091091; 0.09639221
WZ230Blauwe; 0.23585121; 0.16463946; 0.09342772
WZ200DooveB O; 0.54469010; 0.24895634;-0.04677741
WZ480Zoutkam; 0.45882241; 0.30424755; 0.14967268
