variable;x.upper;x.mean;x.lower
WZ110DooveB W;0.4551116;0.3759246;0.2967377
WZ190Vliestr;0.2349187;0.1931523;0.1513860
WZ200DooveB O;0.9497945;0.7110909;0.4723874
WZ230Blauwe;0.5073287;0.3802222;0.2531157
WZ30 Mardie;0.3076854;0.2678370;0.2279886
WZ420Dantzig;0.2079312;0.1731803;0.1384295
WZ480Zoutkam;0.2784221;0.2183088;0.1581956
