% MOP_ID         ID             X              Y              RASTERVALU
           4601              0     194485.137    3818557.887          3.772
           4601              0     194485.044    3818560.886          5.960
           4601              0     194484.950    3818563.884          9.048
           4601              0     194484.857    3818566.883         12.054
           4601              0     194484.764    3818569.881         14.907
           4601              0     194484.670    3818572.880         16.924
           4601              0     194484.577    3818575.878         17.288
           4601              0     194484.484    3818578.877         16.274
           4601              0     194484.390    3818581.875         15.114
           4601              0     194484.297    3818584.874         15.328
           4601              0     194484.204    3818587.873         15.243
           4601              0     194484.111    3818590.871         15.302
           4601              0     194484.017    3818593.870         16.907
           4601              0     194483.924    3818596.868         19.311
           4601              0     194483.831    3818599.867         20.598
           4601              0     194483.737    3818602.865         21.092
           4601              0     194483.644    3818605.864         21.428
           4601              0     194483.551    3818608.862         21.784
           4601              0     194483.458    3818611.861         22.179
           4601              0     194483.364    3818614.860         22.513
           4601              0     194483.271    3818617.858         22.697
           4601              0     194483.178    3818620.857         22.681
           4601              0     194483.084    3818623.855         22.583
           4601              0     194482.991    3818626.854         22.666
           4601              0     194482.898    3818629.852         22.692
           4601              0     194482.804    3818632.851         22.708
           4601              0     194482.711    3818635.849         22.868
           4601              0     194482.618    3818638.848         23.058
           4601              0     194482.525    3818641.846         23.045
           4601              0     194482.431    3818644.845         22.952
           4601              0     194482.338    3818647.844         22.987
           4601              0     194482.245    3818650.842         23.128
           4601              0     194482.151    3818653.841         23.187
           4601              0     194482.058    3818656.839         23.522
           4601              0     194481.965    3818659.838         24.220
           4601              0     194481.872    3818662.836         25.017
           4601              0     194481.778    3818665.835         25.866
           4601              0     194481.685    3818668.833         26.605
           4601              0     194481.592    3818671.832         27.215
           4601              0     194481.498    3818674.831         27.767
           4601              0     194481.405    3818677.829         28.247
           4601              0     194481.312    3818680.828         28.626
           4601              0     194481.218    3818683.826         28.800
           4601              0     194481.125    3818686.825         28.911
           4601              0     194481.032    3818689.823         29.151
           4601              0     194480.939    3818692.822         29.524
           4601              0     194480.845    3818695.820         29.841
           4601              0     194480.752    3818698.819         30.049
           4601              0     194480.659    3818701.817         30.273
           4601              0     194480.565    3818704.816         30.507
           4601              0     194480.472    3818707.815         30.810
           4601              0     194480.379    3818710.813         31.055
           4601              0     194480.286    3818713.812         31.199
           4601              0     194480.192    3818716.810         31.405
           4601              0     194480.099    3818719.809         31.610
           4601              0     194480.006    3818722.807         31.843
           4601              0     194479.912    3818725.806         32.081
           4601              0     194479.819    3818728.804         32.309
           4601              0     194479.726    3818731.803         32.568
           4601              0     194479.632    3818734.801         32.834
           4601              0     194479.539    3818737.800         33.072
           4601              0     194479.446    3818740.799         33.271
           4601              0     194479.353    3818743.797         33.476
           4601              0     194479.259    3818746.796         33.684
           4601              0     194479.166    3818749.794         33.890
           4601              0     194479.073    3818752.793         34.107
           4601              0     194478.979    3818755.791         34.400
           4601              0     194478.886    3818758.790         34.814
           4601              0     194478.793    3818761.788         35.264
           4601              0     194478.700    3818764.787         35.626
           4601              0     194478.606    3818767.786         35.877
           4601              0     194478.513    3818770.784         36.062
           4601              0     194478.420    3818773.783         36.208
           4601              0     194478.326    3818776.781         36.334
           4601              0     194478.233    3818779.780         36.437
           4601              0     194478.140    3818782.778         36.504
           4601              0     194478.046    3818785.777         36.613
           4601              0     194477.953    3818788.775         36.763
           4601              0     194477.860    3818791.774         36.907
           4601              0     194477.767    3818794.772         37.058
           4601              0     194477.673    3818797.771         37.293
           4601              0     194477.580    3818800.770         37.610
           4601              0     194477.487    3818803.768         37.964
           4601              0     194477.393    3818806.767         38.300
           4601              0     194477.300    3818809.765         38.590
           4601              0     194477.207    3818812.764         38.841
           4601              0     194477.114    3818815.762         39.043
           4601              0     194477.020    3818818.761         39.190
           4601              0     194476.927    3818821.759         39.314
           4601              0     194476.834    3818824.758         39.443
           4601              0     194476.740    3818827.757         39.579
           4601              0     194476.647    3818830.755         39.717
           4601              0     194476.554    3818833.754         39.874
           4601              0     194476.460    3818836.752         40.066
           4601              0     194476.367    3818839.751         40.318
           4601              0     194476.274    3818842.749         40.610
           4601              0     194476.181    3818845.748         40.906
           4601              0     194476.087    3818848.746         41.153
           4601              0     194475.994    3818851.745         41.346
           4601              0     194475.901    3818854.743         41.539
           4601              0     194475.807    3818857.742         41.753
           4601              0     194475.714    3818860.741         41.999
           4601              0     194475.621    3818863.739         42.260
           4601              0     194475.528    3818866.738         42.516
           4601              0     194475.434    3818869.736         42.760
           4601              0     194475.341    3818872.735         42.996
           4601              0     194475.248    3818875.733         43.236
           4601              0     194475.154    3818878.732         43.460
           4601              0     194475.061    3818881.730         43.627
           4601              0     194474.968    3818884.729         43.745
           4601              0     194474.874    3818887.727         43.856
           4601              0     194474.781    3818890.726         43.974
           4601              0     194474.688    3818893.725         44.100
           4601              0     194474.595    3818896.723         44.258
           4601              0     194474.501    3818899.722         44.492
           4601              0     194474.408    3818902.720         44.810
           4601              0     194474.315    3818905.719         45.191
           4601              0     194474.221    3818908.717         45.569
           4601              0     194474.128    3818911.716         45.894
           4601              0     194474.035    3818914.714         46.166
           4601              0     194473.942    3818917.713         46.420
           4601              0     194473.848    3818920.712         46.692
           4601              0     194473.755    3818923.710         46.986
           4601              0     194473.662    3818926.709         47.257
           4601              0     194473.568    3818929.707         47.485
           4601              0     194473.475    3818932.706         47.679
           4601              0     194473.382    3818935.704         47.849
           4601              0     194473.288    3818938.703         48.026
           4601              0     194473.195    3818941.701         48.283
           4601              0     194473.102    3818944.700         48.649
           4601              0     194473.009    3818947.698         49.073
           4601              0     194472.915    3818950.697         49.415
           4601              0     194472.822    3818953.696         49.641
           4601              0     194472.729    3818956.694         49.815
           4601              0     194472.635    3818959.693         50.045
           4601              0     194472.542    3818962.691         50.372
           4601              0     194472.449    3818965.690         50.743
           4601              0     194472.356    3818968.688         51.084
           4601              0     194472.262    3818971.687         51.391
           4601              0     194472.169    3818974.685         51.652
           4601              0     194472.076    3818977.684         51.880
           4601              0     194471.982    3818980.683         52.147
           4601              0     194471.889    3818983.681         52.474
           4601              0     194471.796    3818986.680         52.813
           4601              0     194471.702    3818989.678         53.156
           4601              0     194471.609    3818992.677         53.540
           4601              0     194471.516    3818995.675         53.950
           4601              0     194471.423    3818998.674         54.338
           4601              0     194471.329    3819001.672         54.701
           4601              0     194471.236    3819004.671         55.076
           4601              0     194471.143    3819007.669         55.458
           4601              0     194471.049    3819010.668         55.812
           4601              0     194470.956    3819013.667         56.134
           4601              0     194470.863    3819016.665         56.441
           4601              0     194470.770    3819019.664         56.739
           4601              0     194470.676    3819022.662         57.036
           4601              0     194470.583    3819025.661         57.341
           4601              0     194470.490    3819028.659         57.622
           4601              0     194470.396    3819031.658         57.860
           4601              0     194470.303    3819034.656         58.073
           4601              0     194470.210    3819037.655         58.262
           4601              0     194470.116    3819040.653         58.430
           4602              1     194395.653    3818073.974        -10.374
           4602              1     194395.586    3818076.973        -10.342
           4602              1     194395.519    3818079.973        -10.311
           4602              1     194395.452    3818082.972        -10.278
           4602              1     194395.386    3818085.971        -10.239
           4602              1     194395.319    3818088.970        -10.198
           4602              1     194395.252    3818091.970        -10.158
           4602              1     194395.185    3818094.969        -10.121
           4602              1     194395.118    3818097.968        -10.086
           4602              1     194395.051    3818100.967        -10.052
