variable;x.upper;x.mean;x.lower
WZ110DooveB W;0.08895630;0.07939008;0.06982385
WZ190Vliestr;0.06473424;0.05529057;0.04584689
WZ200DooveB O;0.13093108;0.10927273;0.08761437
WZ230Blauwe;0.15036601;0.12103846;0.09171091
WZ30 Mardie;0.06148751;0.05588033;0.05027315
WZ420Dantzig;0.10678264;0.09398487;0.08118709
WZ480Zoutkam;0.12704887;0.10520290;0.08335693
