variable;x.upper;x.mean;x.lower
WZ30 Mardie;0.08797861;0.07489089;0.06180316
WZ110DooveB W;0.11011829;0.09371721;0.07731614
WZ190Vliestr;0.08512813;0.07491304;0.06469795
WZ420Dantzig;0.08975815;0.07747176;0.06518537
WZ230Blauwe;0.08757857;0.07652772;0.06547687
WZ200DooveB O;0.10870445;0.07418074;0.03965703
WZ480Zoutkam;0.19526622;0.16240151;0.12953680
