ast_id;name;city;neighbourhood;street;building;sand;peat;clay;bed_rock;sloping_area;flat_area_on_high_ground;flat_area_on_low_ground;red_space;grey_space;green_space_private_gardens;undeveloped_land_and_green_space_no_recreational_use;green_space_recreational_use_urban_farming;grey_green_space_sports_playground;blue_space;enables_multifunctional_land_use;low_slope_roofs;flat_roofs;very_low;low;medium;high;attenuation;infiltration;storage_harvesting;cooling;point;linear_conveyance;heatstress_threshold_capacity;heatstress_coping_capacity;drought_threshold_capacity;drought_coping_capacity;flood_threshold_capacity;flood_coping_capacity;multifunctional_landuse;type;show
46;Storage_settling_tank_and_storage_basins;0;10;10;4;10;10;10;10;4;10;10;0;8;0;8;0;8;0;0;0;0;0;0;0;0;5;0;5;0;1;0;0;0;0;1;1;0;;Grey;TRUE
47;Pumping_station_(Increased_capacity);4;10;4;4;10;10;10;10;4;10;10;10;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;;Grey;TRUE
48;Sewer_system_(increase_capacity);4;10;10;10;10;10;10;10;4;10;10;0;10;0;0;0;0;0;4;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;;Grey;TRUE
49;Reconstruct_combined_sewer_to_separated_sewer;10;10;4;4;10;10;10;10;10;10;10;8;8;0;0;0;0;0;4;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;;Grey;TRUE
50;Smart-drain_(groundwater);0;4;10;10;10;4;4;0;0;10;10;0;8;0;8;8;8;0;4;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;1;1;0;;Grey;TRUE
51;Improve_soil_infiltration_capacity;0;10;10;4;0;10;10;0;4;10;10;0;0;7;7;7;5;0;4;0;0;1;0;0;0;0;4;0;2;0;0;0;0;1;0;1;0;;Blue_Green;TRUE
52;Use_of_treated_wastewater;10;4;0;0;10;10;10;10;4;10;10;0;0;0;0;0;7;8;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;;Blue;TRUE
53;Use_of_groundwater_(aquifer_storage_and_recovery);10;10;10;10;10;10;10;0;4;10;4;0;5;0;10;8;8;0;4;0;0;0;1;0;0;0;4;5;0;1;0;0;0;1;1;0;0;;Blue;TRUE
54;Water_inlet_systems;10;10;0;0;10;10;10;4;0;10;10;0;0;0;0;0;0;10;4;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;;Blue;TRUE
55;Disconnecting_paved_surfaces_from_sewer_system;10;10;10;10;10;10;10;10;10;10;10;8;8;0;0;0;0;0;4;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;1;0;0;;Grey;TRUE
56;Smart_irrigation_measures;4;10;10;10;10;4;4;4;10;10;4;0;0;8;0;7;8;0;4;0;0;1;0;0;0;0;0;2;0;0;0;0;0;1;1;0;0;;Blue;TRUE
57;Building_without_a_crawlspace;0;0;0;10;10;4;4;10;10;10;10;10;0;0;0;0;0;0;4;0;0;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;;Grey;TRUE
58;Reconstructing_(wooden)_foundations;0;0;0;10;10;10;10;10;10;10;10;10;0;0;0;0;0;0;4;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;;Grey;TRUE
59;Replacing_leaking_draining_sewers;10;10;10;0;10;10;10;10;4;10;10;5;8;0;0;0;0;0;4;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;;Grey;TRUE
60;Green_ventilation_grids;10;4;0;0;10;10;10;10;4;10;10;0;0;0;6;6;6;0;4;0;0;1;0;0;0;0;3;0;3;0;1;1;1;0;0;0;0;;Blue_Green;TRUE
61;Wetting_surfaces_(of_gardens_roofs_roads);4;10;10;10;10;10;10;10;10;10;10;6;6;0;0;5;5;0;4;0;0;1;0;0;0;0;0;0;2;1;0;1;1;0;0;0;0;;Blue;TRUE
62;Cool_paving_and_building_materials;4;10;10;10;10;10;10;10;10;10;10;8;6;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;3;0;0;1;1;0;0;0;0;;Grey;TRUE
63;Gutter;0;4;10;10;10;4;4;10;10;10;4;0;5;0;0;0;0;0;2;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;;Grey;TRUE
64;Inclination_of_roads;4;4;10;4;10;10;10;10;10;4;4;0;7;0;0;0;0;0;4;0;0;0;1;0;0;2;0;0;0;0;1;0;0;0;0;1;1;;Grey;TRUE
65;Water_circulation_systems;10;10;4;4;10;10;10;10;0;10;10;0;0;0;0;0;0;7;4;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;;Blue;TRUE
66;Lower_streets_to_store_water;0;0;4;10;10;4;4;10;10;10;10;7;7;0;0;0;0;0;4;0;0;0;1;0;0;3;0;0;0;0;0;0;0;0;0;1;1;;Blue;TRUE
5;Bank_infiltration;4;10;10;4;10;4;4;0;0;10;10;0;0;0;10;8;0;0;0;0;0;1;0;0;0;0;5;0;0;0;0;0;0;1;0;1;0;;Blue_Green;TRUE
24;Infilttration_shafts;4;4;10;4;10;4;4;0;10;10;4;0;10;10;10;6;6;0;3;0;0;0;0;0;1;0;5;0;0;1;0;0;0;1;0;1;0;;Grey;TRUE
31;Retention_soil_filter;4;4;10;4;10;4;4;0;10;10;4;0;5;5;2;6;0;0;3;0;0;0;0;1;0;0;5;0;0;0;0;0;0;1;0;1;0;;Blue_Green;TRUE
35;Surface_drains;0;4;10;4;10;10;10;10;10;10;10;0;10;10;0;0;0;0;2;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;;Blue;TRUE
38;Tree_pit_bioretention;0;4;10;4;10;10;10;0;10;10;4;0;10;5;6;6;0;0;3;0;0;0;0;1;0;0;3;0;0;1;0;0;0;0;0;1;0;;Blue_Green;TRUE
8;Cooling_with_water_elements:_ponds;0;4;10;4;10;10;10;10;10;10;10;0;10;10;4;6;4;10;3;0;0;1;0;0;0;0;0;0;3;1;0;1;1;0;0;0;0;;Blue_Green;TRUE
9;Decentral_Separator_for_road_runoff_treatment_;0;10;4;4;10;10;10;10;10;10;10;0;10;0;0;0;0;0;3;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;;Grey;TRUE
