# this file can be loaded into matlab with csv2struct
fileName;Date
KB111_4746_19640101.ASC;19640101
KB111_4746_19650101.asc;19650101
KB111_4746_19660101.asc;19660101
KB111_4746_19680101.ASC;19680101
KB111_4746_19690101.asc;19690101
KB111_4746_19700101.asc;19700101
KB111_4746_19710101.asc;19710101
KB111_4746_19720101.ASC;19720101
KB111_4746_19730101.asc;19730101
KB111_4746_19740101.asc;19740101
KB111_4746_19750101.asc;19750101
KB111_4746_19760101.ASC;19760101
KB111_4746_19770101.asc;19770101
KB111_4746_19780101.asc;19780101
KB111_4746_19790101.asc;19790101
KB111_4746_19800101.ASC;19800101
KB111_4746_19810101.asc;19810101
KB111_4746_19820101.asc;19820101
KB111_4746_19830101.asc;19830101
KB111_4746_19840101.ASC;19840101
KB111_4746_19850101.asc;19850101
KB111_4746_19860101.asc;19860101
KB111_4746_19870101.asc;19870101
KB111_4746_19890101.ASC;19890101
KB111_4746_19900101.asc;19900101
KB111_4746_19920101.ASC;19920101
KB111_4746_19930101.asc;19930101
KB111_4746_19950101.asc;19950101
KB111_4746_19970101.asc;19970101
KB111_4746_19980101.ASC;19980101
KB111_4746_19990101.asc;19990101
KB111_4746_19990803.asc;19990803
KB111_4746_20010101.asc;20010101
KB111_4746_20030101.asc;20030101
KB111_4948_19640101.ASC;19640101
KB111_4948_19660101.asc;19660101
KB111_4948_19680101.ASC;19680101
KB111_4948_19690101.asc;19690101
KB111_4948_19710101.asc;19710101
KB111_4948_19720101.ASC;19720101
KB111_4948_19730101.asc;19730101
KB111_4948_19750101.asc;19750101
KB111_4948_19760101.ASC;19760101
KB111_4948_19770101.asc;19770101
KB111_4948_19780101.asc;19780101
KB111_4948_19790101.asc;19790101
KB111_4948_19800101.ASC;19800101
KB111_4948_19810101.asc;19810101
KB111_4948_19830101.asc;19830101
KB111_4948_19840101.ASC;19840101
KB111_4948_19850101.asc;19850101
KB111_4948_19870101.asc;19870101
KB111_4948_19890101.ASC;19890101
KB111_4948_19900101.asc;19900101
KB111_4948_19920101.ASC;19920101
KB111_4948_19930101.asc;19930101
KB111_4948_19950101.asc;19950101
KB111_4948_19970101.asc;19970101
KB111_4948_19980101.ASC;19980101
KB111_4948_19990101.asc;19990101
KB111_4948_19990601.asc;19990601
KB111_4948_20010101.asc;20010101
KB111_4948_20030101.asc;20030101
KB111_5150_19660101.asc;19660101
KB111_5150_19680101.ASC;19680101
KB111_5150_19690101.asc;19690101
KB111_5150_19710101.asc;19710101
