"substance","location","season","value.x","value.y"
"102","SS","Huibertgat oost","summer",24.8,63.6767463684082
"103","TotN","Bocht van Watum","summer",3.94,4.2235894203186
"104","TotN","Groote Gat noord","summer",5.34,5.72722864151001
"105","TotN","Huibertgat oost","summer",1.56,0.895161151885986
"106","TotP","Bocht van Watum","summer",0.219,0.186071142554283
"107","TotP","Groote Gat noord","summer",0.148,0.298607677221298
"108","TotP","Huibertgat oost","summer",0.0622,0.050175528973341
"109","Chlfa","Bocht van Watum","summer",3.8,1.37153911590576
"110","Chlfa","Bocht van Watum","summer",3.8,1.37153911590576
"111","Chlfa","Groote Gat noord","summer",3.6,1.88064634799957
"112","Chlfa","Groote Gat noord","summer",3.6,1.88064634799957
"113","Chlfa","Huibertgat oost","summer",5.6,6.77014780044556
"114","Chlfa","Huibertgat oost","summer",5.6,6.77014780044556
"115","NH4","Bocht van Watum","summer",0.151,0.12214257568121
"116","NH4","Groote Gat noord","summer",0.146,0.233231410384178
"117","NH4","Huibertgat oost","summer",0.104,0.0375967845320702
"118","NO3","Bocht van Watum","summer",2.24,3.06431412696838
"119","NO3","Groote Gat noord","summer",3.08,4.04416704177856
"120","NO3","Huibertgat oost","summer",0.532,0.583545565605164
"121","OXY","Bocht van Watum","summer",11.2,10.6537408828735
"122","OXY","Groote Gat noord","summer",11.1,10.9792900085449
"123","OXY","Huibertgat oost","summer",11.8,9.77160358428955
"124","PO4","Bocht van Watum","summer",0.0512,0.0528426952660084
"125","PO4","Groote Gat noord","summer",0.0589,0.040709625929594
"126","PO4","Huibertgat oost","summer",0.0188,0.0176107939332724
"127","Salinity","Bocht van Watum","summer",19.9,17.5733947753906
"128","Salinity","Groote Gat noord","summer",12.4,11.8071184158325
"129","Salinity","Huibertgat oost","summer",29.8,30.3107604980469
"130","SecchiDept","Bocht van Watum","summer",0.2,0.217442452907562
"131","SecchiDept","Groote Gat noord","summer",0.1,0.116529159247875
"132","SecchiDept","Huibertgat oost","summer",0.9,0.497309952974319
"133","Si","Bocht van Watum","summer",2.34,2.51058030128479
"134","Si","Groote Gat noord","summer",3.35,3.38750529289246
"135","Si","Huibertgat oost","summer",0.441,0.376590967178345
"136","SS","Bocht van Watum","summer",96.7,142.669082641602
"137","SS","Groote Gat noord","summer",108,307.551483154297
"138","SS","Huibertgat oost","summer",17.3,57.503734588623
"139","TotN","Bocht van Watum","summer",3.53,3.93930816650391
