id                                         , Unit,rws                                        ,normal
CK_103203_L_HBR-Cl_Tennesseehaven          ,     ,CK_1032.03_L_HBR-Cl_Tennesseehaven         ,Tennesseehaven
CK_103203_L_HBR-Cl_Hartelhaven-g6          ,     ,CK_1032.03_L_HBR-Cl_Hartelhaven-g6         ,Hartelhaven
CK_103203_L_HBR-Cl_Europahaven             ,     ,CK_1032.03_L_HBR-Cl_Europahaven            ,Europahaven
HK_1891_R_HBR-Cl_Suurhoffbrug              ,     ,HK_18.91_R_HBR-Cl_Suurhoffbrug             ,Suurhoffbrug
HK_1038_L_HBR-Cl_Harmsenbrug               ,     ,HK_10.38_L_HBR-Cl_Harmsenbrug              ,Harmsenbrug
HK_856_L_HBR-Cl_Rozenburgsesluis           ,     ,HK_8.56_L_HBR-Cl_Rozenburgsesluis          ,Rozenburgsesluis
HK_127_R_HBR-Cl_Hartelsluis-g6             ,     ,HK_1.27_R_HBR-Cl_Hartelsluis-g6            ,Hartelsluis
NM_101091_R_LMW-Cl_Vlaardingen-g6          ,     ,NM_1010.91_R_LMW-Cl_Vlaardingen-g6         ,Vlaardingen
NM_100784_L_HBR-Cl_1e-Eemhaven-g6          ,     ,NM_1007.84_L_HBR-Cl_1e-Eemhaven-g6         ,Eemhaven
NM_100249_R_HBR-Cl_Parkhaven               ,     ,NM_1002.49_R_HBR-Cl_Parkhaven              ,Parkhaven
NM_99947_R_LMW-Cl_Rotterdam-g6             ,     ,NM_999.47_R_LMW-Cl_Rotterdam-g6            ,Rotterdam
HY_1784_L_LMW-Cl_Krimpen-ad-IJssel-g6      ,     ,HY_17.84_L_LMW-Cl_Krimpen-ad-IJssel-g6     ,Krimpen a/d IJssel
HY_086_R_LMW-Cl_Gouda-brug-g6              ,     ,HY_0.86_R_LMW-Cl_Gouda-brug-g6             ,Gouda
LE_9887_R_LMW-Cl_Krimpen-aan-de-Lek-g6     ,     ,LE_988.7_R_LMW-Cl_Krimpen-aan-de-Lek-g6    ,Krimpen a/d Lek
LE_9716_R_LMW-Cl_Schoonhoven               ,     ,LE_971.6_R_LMW-Cl_Schoonhoven              ,Schoonhoven
LE_9471_R_LMW-Cl_Hagestein-beneden         ,     ,LE_947.1_R_LMW-Cl_Hagestein-beneden        ,Hagestein beneden
