Code,Omschrijving,Groep
201,Akoestische afstandsmeter,
202,Duimstok,
203,Afstandkijker,
204,Radiolog,
205,Afstandsdraad,
206,Meetband,
207,Hi-Fix,
208,Trisponder,
209,Hyperfix,
210,Trident,
211,Decca,
212,Sextant,
213,Theodoliet,
214,Total Station,
215,Radar,
216,Tachymeter,
217,DGPS,
218,GPS,
219,RTK/LRK DGPS,
220,Geografische kaart,
