Code,Omschrijving,Groep,Titel
I23161.09,ISO 23161:2009,Norm bodem-chemisch,Bodem  Bepaling van geselecteerde organotinverbindingen  Methode met gaschromatografie
I23470.07,ISO 23470:2007 en,Norm bodem-fysisch,Bodem - Bepaling van de effective kationen-uitwisselingscapaciteit (CEC) en uitwisselbare kationen met behulp van een hexamminecobalt trichloride oplossing
I23631.06,NEN-EN-ISO 23631:2006 en,Norm water-chemisch,"Water - Bepaling van dalapon, trichloorazijnzuur en geselecteerde halo-azijnzuren - Methode met gaschromatografie (detectie met GC-ECD en/of GC-MS) na vloeistof-vloeistofextractie en derivatisering"
I23893-1.07,ISO 23893-1:2007 en,Norm water-biologisch,"Water - Biochemische en fysiologische bepalingen aan vis - Deel 1: Monsterneming van vis, behandeling en conservering van monsters"
I23913.06,NEN-ISO 23913:2006 en,Norm water-chemisch,Water - Bepaling van chroom (IV) - Methode met doorstroomanalyse (FIA en CFA) en spectrometrische detectie
I4832.06,ISO 4832:2006 en,Norm water-biologisch,Microbiologie van voedingsmiddelen en diervoeders - Horizontale methode voor de telling van het aantal coliformen - Telplaattechniek
I5663.93,NEN-ISO 5663:1993 en,Norm water-chemisch,Water - Bepaling van het gehalte aan Kjeldahl-stikstof - Methode na mineralisatie met seleen
I5664.04,NEN-ISO 5664:2004 en,Norm water-chemisch,Water - Bepaling van ammonium - Destillatie en titratie methode
I5666.99,ISO 5666:1999 en,Norm water-chemisch,Water - Bepaling van kwik
I5667-16.98,NEN-EN-ISO 5667-16:1998 en,Norm water-biologisch,Water - Monsterneming - Deel 16: Richtlijn voor het biologisch onderzoek van monsters
I5813.93,NEN-ISO 5813:1993 en,Norm water-chemisch,Water - Bepaling van het gehalte aan opgeloste zuurstof - Iodometrische methode
I5814.93,NEN-ISO 5814:1993 en,Norm water-chemisch,Water - Bepaling van het gehalte aan opgeloste zuurstof - Elektrochemische methode
I5815-1.03,ISO 5815-1:2003 en,Norm water-chemisch,Water - Bepaling van het biochemisch zuurstofverbruik na <(cursief)n> dagen (BZV<(inf)n>) - Deel 1: Verdunning en enting onder toevoeging van allylthioureum
I5815-2.03,ISO 5815-2:2003 en,Norm water-chemisch,Water - Bepaling van het biochemisch zuurstofverbruik na <(cursief)n> dagen (BZV<(inf)n>) - Deel 2: Methode voor onverdunde monsters
I5961.95,NEN-EN-ISO 5961:1995 nl,Norm water-chemisch,Water - Bepaling van het cadmiumgehalte met de atomaire-absorptiespectrometrie
I6058.84,ISO 6058:1984 en,Norm water-chemisch,Water quality - Determination of calcium content - EDTA titrimetric method
I6059.05,NEN-ISO 6059:2005 en,Norm water-chemisch,Water - Bepaling van de som van calcium en magnesium - EDTA titrimetrische methode
I6060.89,ISO 6060:1989 en,Norm water-chemisch,Water quality - Determination of the chemical oxygen demand
I6222.99,NEN-EN-ISO 6222:1999 en,Norm water-biologisch,Water - Telling van kweekbare micro-organismen - Bepaling van het koloniegetal door enting in een voedingsbodem van gistextract agar
I6332.04,NEN-ISO 6332:2004 en,Norm water-chemisch,"Water - Bepaling van ijzer - Spectrometrische methode met gebruik van 1,10-fenantroline"
I6333.88,NEN-ISO 6333:1988 nl,Norm water-chemisch,Water - Bepaling van het gehalte aan mangaan - Spectrofotometrische methode met formaldoxim
I6340.93,NEN-ISO 6340:1993 en,Norm vervallen,Water - Bepaling van Salmonella
I6341.96,NEN-EN-ISO 6341:1996 en,Norm water-biologisch,"Water - Bepaling van de remming van de mobiliteit van <(cursief)Daphnia Magna> Straus (<(cursief)Cladocera, Crustacea>) - Acute toxiciteitsproef"
I6439.90,ISO 6439:1990 en,Norm water-chemisch,Water quality - Determination of phenol index - 4-Aminoantipyrine spectrometric methods after distillation
I6461-1.93,NEN-ISO 6461-1:1993 en,Norm water-biologisch,Water - Detectie en enumeratie van de sporen van sulfietreducerende anaerobes (clostridia) - Deel 1: Methode door middel van verrijking in een vloeibaar medium
I6461-2.93,NEN-ISO 6461-2:1993 en,Norm water-biologisch,Water - Detectie en enumeratie van de sporen van sulfietreducerende anaerobes (clostridia) - Deel 2: Methode door middel van membraanfiltratie
I6468.97,NEN-EN-ISO 6468:1997 en,Norm water-chemisch,"Water - Bepaling van het gehalte aan organochloor-bestrijdingsmiddelen, polychloorbifenylen en chloorbenzenen - Gaschromatografische methode na vloeistof/vloeistof- extractie"
I6595.93,NEN-EN-ISO 6595:1993 en,Norm water-chemisch,Water - Bepaling van totale gehalte aan arseen - Spectrofotometrische methode met gebruik van zilverdiethyldithiocarbamaat
I6703-1.84,ISO 6703-1:1984 en,Norm water-chemisch,Water quality - Determination of cyanide - Part 1: Determination of total cyanide
I6703-2.84,ISO 6703-2:1984 en,Norm water-chemisch,Water quality - Determination of cyanide - Part 2: Determination of easily liberatable cyanide
I6703-3.84,ISO 6703-3:1984 en,Norm water-chemisch,Water quality - Determination of cyanide - Part 3: Determination of cyanogen chloride
I6777.93,NEN-ISO 6777:1993 en,Norm water-chemisch,Water - Bepaling van het gehalte aan nitriet - Moleculaire-absorptiespectrometrische methode
I6778.84,ISO 6778:1984 en,Norm water-chemisch,Water quality - Determination of ammonium - Potentiometric method
I6878.04,NEN-EN-ISO 6878:2004 en,Norm water-chemisch,Water - Bepaling van fosfor - Ammoniummolybdaat spectometrische methode
I7027.00,NEN-EN-ISO 7027:2000 en,Norm water-fysisch,Water - Bepaling van de troebelheid
I7150-1.02,NEN-ISO 7150-1:2002 en,Norm water-chemisch,Water - Bepaling van ammonium - Deel 1: Handmatige spectrometrische methode
I7346-1.97,NEN-EN-ISO 7346-1:1997 en,Norm water-biologisch,"Water - Bepaling van de acute letale toxiciteit van stoffen voor zoetwatervissen [<(cursief)Brachydanio rerio> Hamilton-Buchanan (Teleostei, Cyprinidae)] - Deel 1: Statische methode"
I7346-2.97,NEN-EN-ISO 7346-2:1997 en,Norm water-biologisch,"Water - Bepaling van de acute letale toxiciteit van stoffen voor zoetwatervissen[<(cursief)Brachydanio rerio> Hamilton-Buchanan (Teleostei, Cyprinidae)] - Deel 2: Semi-statische methode"
I7346-3.97,NEN-EN-ISO 7346-3:1997 en,Norm water-biologisch,"Water - Bepaling van de acute letale toxiciteit van stoffen voor zoetwatervissen [<(cursief)Brachydanio rerio> Hamilton-Buchanan (Teleostei, Cyprinidae )] - Deel 3: Methode voor continue stroming"
I7393-1.00,NEN-EN-ISO 7393-1:2000 en,Norm water-chemisch,"Water - Bepaling van het vrije chloorgehalte en het totale chloorgehalte - Deel 1: Titrimetrische methode met gebruik van <(cursief)N,N>-diethyl-1,4-phenylenediamine"
I7393-2.00,NEN-EN-ISO 7393-2:2000 en,Norm water-chemisch,"Water - Bepaling van het vrije chloorgehalte en het totale chloorgehalte - Deel 2: Colorimetrische methode met gebruik van <(cursief)N,N>-diethyl-1,4-phenylenediamine, voor routine controledoeleinden"
I7393-3.00,NEN-EN-ISO 7393-3:2000 en,Norm water-chemisch,Water - Bepaling van het vrije chloorgehalte en het totale chloorgehalte - Deel 3: Jodometrische titratiemethode voor de bepaling van het totale chloorgehalte
I7827.96,NEN-EN-ISO 7827:1996 en,Norm water-biologisch,Bepaling van de totale aërobe bio-afbreekbaarheid van organische componenten in een waterig medium - Methode door analyse van opgeloste organische koolstof (DOC)
I7828.94,NEN-ISO 7828:1994 en,Norm water-biologisch,Water - Methoden voor biologische bemonstering - Richtlijn voor de bemonstering van bentische macro-invertebraten met een schepnet
I7875-1.96,ISO 7875-1:1996 en,Norm water-chemisch,Water quality - Determination of surfactants - Part 1: Determination of anionic surfactants by measurement of the methylene blue index (MBAS)
I7875-2.84,ISO 7875-2:1984 en,Norm water-chemisch,Water quality - Determination of surfactants - Part 2: Determination of non-ionic surfactants using Dragendorff reagent
I7887.12,NEN-EN-ISO 7887:2012 en,Norm water-fysisch,Water - Onderzoek en bepaling van de kleur
I7887.94,NEN-EN-ISO 7887:1994 en,Norm vervallen,Water - Onderzoek en bepaling van de kleur
I7888.94,NEN-ISO 7888:1994 en,Norm water-fysisch,Water - Bepaling van het elektrisch geleidingsvermogen
I7890-3.99,NEN-ISO 7890-3:1999 en,Norm water-chemisch,Water - Bepaling van het gehalte aan nitraat - Deel 3: Spectrometrische methode met zwavelsalicylzuur
I7899-1.98,NEN-EN-ISO 7899-1:1998 en,Norm water-biologisch,Water - Detectie en telling van enterococcen - Deel 1: Geminiaturiseerde methode (meest waarschijnlijke aantal) voor oppervlaktewater en afvalwater
I7899-2.00,NEN-EN-ISO 7899-2:2000 en,Norm water-biologisch,Water - Detectie en telling van enterococcen - Deel 2: Membraanfiltratiemethode
I7980.00,NEN-EN-ISO 7980:2000 en,Norm water-chemisch,Water - Bepaling van calcium en magnesium - Atomaire absorptie spectrometrische methode
I7981-1.05,NEN-ISO 7981-1:2005 en,Norm water-chemisch,Water - Bepaling van polycyclische aromatische koolwaterstoffen (PAK) - Deel 1: Bepaling van zes PAK met hoge prestatiedunnelaagchromatografie met fluorescentiedetectie na vloeistof-vloeistofextractie
I7981-2.05,NEN-ISO 7981-2:2005 en,Norm water-chemisch,Water - Bepaling van polycyclische aromatische koolwaterstoffen (PAK) - Deel 2: Bepaling van zes PAK met hogeprestatievloeistofchromatografie met fluorescentiedetectie na vloeistof-vloeistofextractie
I8165-1.92,ISO 8165-1:1992 en,Norm water-chemisch,Water - Bepaling van geselecteerde enkelwaardige fenolen - Deel 1: Gaschromatografische methode na verrijking met extractie
I8165-2.99,ISO 8165-2:1999 en,Norm water-chemisch,Water - Bepaling van geselecteerde enkelwaardige fenolen - Deel 2: Methode door derivatisering en gaschromatografie
I8192.07,NEN-EN-ISO 8192:2007 en,Norm water-biologisch,Water - Bepaling van de remming van het zuurstofverbruik van actief slib voor koolstof- en ammoniumoxidatie
I8245.99,ISO 8245:1999 en,Norm water-chemisch,Waterkwaliteit - Richtlijnen voor de bepaling van de totale organische koolstof (TOC) en opgeloste organische koolstof (DOC)
I8265.94,NEN-ISO 8265:1994 en,Norm water-biologisch,Water - Ontwerp en gebruik van kwantitatieve bemonsteringsapparatuur voor benthische macro-invertebraten op hard substraat in ondiep zoetwater
I8288.86,ISO 8288:1986 en,Norm water-chemisch,"Water quality - Determination of cobalt, nickel, copper, zinc, cadmium and lead - Flame atomic absorption spectrometric methods"
I8467.95,NEN-EN-ISO 8467:1995 en,Norm water-fysisch,Water - Bepaling van de permanganaatindex
I8689-1.00,NEN-EN-ISO 8689-1:2000 en,Norm water-biologisch,Waterkwaliteit - Biologische indeling van rivieren - Deel 1: Leidraad voor de beoordeling van biologische kwaliteitsgegevens uit onderzoeken van benthische macro-invertebraten
I8689-2.00,NEN-EN-ISO 8689-2:2000 en,Norm water-biologisch,Waterkwaliteit - Biologische indeling van rivieren - Deel 2: Richtlijn voor de presentatie van biologische kwaliteitsgegevens uit onderzoeken van benthische macro-invertebraten
I8692.04,NEN-EN-ISO 8692:2004 en,Norm water-biologisch,Waterkwaliteit - Groeiremmingsproef voor de zoetwateralgen met eencellige groene algen
I9174.98,ISO 9174:1998 en,Norm water-chemisch,Water - Bepaling van het gehalte aan chroom - Atomaire-absorptiespectrometrische methoden
I9297.89,ISO 9297:1989 en,Norm water-chemisch,Water quality - Determination of chloride - Silver nitrate titration with chromate indicator (Mohr's method)
I9308-1.00,NEN-EN-ISO 9308-1:2000 en,Norm water-biologisch,Water - Detectie en enumeratie van <(cursief)Escherichia coli> en bacteriën van de coligroep - Deel 1: Methode met membraanfiltratie
I9308-3.99,NEN-EN-ISO 9308-3:1999 en,Norm water-biologisch,Water - Bepaling en enumeratie van <(cursief)Escherichia coli> en bacteriën van de coligroep in oppervlaktewater en afvalwater - Deel 3: Geminiaturiseerde methode (meest waarschijnlijke aantal) door enting in een vloeibaar medium
I9377-1.00,NEN-EN-ISO 9377-1:2000 Ontw. en,Norm water-chemisch,Water - Bepaling van de minerale-olie-index - Deel 1: Methode met vloeistofextractie en gravimetrie
I9377-2.00,NEN-EN-ISO 9377-2:2000 en,Norm water-chemisch,Water - Bepaling van de minerale-olie-index - Deel 2: Methode met vloeistofextractie en gas-chromatografie
I9377-4.99,NEN-EN-ISO 9377-4:1999 Ontw. en,Norm water-chemisch,Waterkwaliteit - Bepaling van de minerale olie index - Deel 4: Methode met vloeistofextractie en gaschromatografie
I9390.90,ISO 9390:1990 en,Norm water-chemisch,Water quality - Determination of borate - Spectrometric method using azomethine-H
I9391.95,NEN-EN-ISO 9391:1995 en,Norm water-biologisch,"Water - Bemonstering van macro-invertebraten in diepe wateren - Richtlijn voor het gebruik van kolonisatie, kwalitatieve en kwantitatieve bemonsteringsapparatuur"
I9408.99,NEN-EN-ISO 9408:1999 en,Norm water-biologisch,Water - Bepaling van de totale aerobe bio-afbreekbaarheid van organische componenten in een waterig medium op basis van de bepaling van het zuurstofverbruik in een gesloten respirometer
I9439.00,NEN-EN-ISO 9439:2000 en,Norm water-biologisch,Water - Bepaling van de volledige aërobe bio-afbreekbaarheid van organische verbindingen in een waterig medium - Methode door middel van analyse van vrijgekomen koolstofdioxide
I9509.06,NEN-EN-ISO 9509:2006 en,Norm water-biologisch,Water - Methode voor de beoordeling van de remming van de nitrificatie van micro-organismen in actief slib
I9562.04,NEN-EN-ISO 9562:2004 en,Norm water-chemisch,Water - Bepaling van adsorbeerbare organisch gebonden halogenen (AOX)
I9697.92,ISO 9697:1992 en,Norm water-fysisch,Water quality - Measurement of gross beta activity in non-saline water
I9698.89,ISO 9698:1989 en,Norm water-fysisch,Water quality - Determination of tritium activity concentration - Liquid scintillation counting method
I9887.94,NEN-EN-ISO 9887:1994 en,Norm water-biologisch,Water - Bepaling van de aërobe bio-afbreekbaarheid van organische componenten in een waterig medium - Methode met semicontinu geactiveerde slib (SCAS)
I9888.99,NEN-EN-ISO 9888:1999 en,Norm water-biologisch,Water - Bepaling van de totale aërobe bio-afbreekbaarheid van organische componenten in een waterig medium - Statische proef (Zahn-Wellens methode)
I9963-1.94,ISO 9963-1:1994 en,Norm water-chemisch,Water quality - Determination of alkalinity - Part 1: Determination of total and composite alkalinity
I9963-1.96,NEN-EN-ISO 9963-1:1996 en,Norm water-chemisch,Water - Bepaling van de alkaliniteit - Deel 1: Bepaling van de totale en de samengestelde alkaliniteit
I9963-2.94,ISO 9963-2:1994 en,Norm water-chemisch,Water quality - Determination of alkalinity - Part 2: Determination of carbonate alkalinity
I9963-2.96,NEN-EN-ISO 9963-2:1996 en,Norm water-chemisch,Water - Bepaling van de alkaliniteit - Deel 2: Bepaling van de carbonaatalkaliniteit
I9964-1.93,ISO 9964-1:1993 en,Norm water-chemisch,Water quality - Determination of sodium and potassium - Part 1: Determination of sodium by atomic absorption spectrometry
I9964-2.93,ISO 9964-2:1993 en,Norm water-chemisch,Water quality - Determination of sodium and potassium - Part 2: Determination of potassium by atomic absorption spectrometry
I9964-3.93,ISO 9964-3:1993 en,Norm water-chemisch,Water quality - Determination of sodium and potassium - Part 3: Determination of sodium and potassium by flame emission spectrometry
I9965.93,ISO 9965:1993 en,Norm water-chemisch,Water quality - Determination of selenium - Atomic absorption spectrometric method (hydride technique)
KRW,Bepaling afgeleide waarde volgens KRW-methodiek,Methodiek,
MODEL,Waarde is bepaald/berekend volgens model,Methodiek,
N12176.98,NEN-EN 12176:1998 en,Norm slib,Karakterisering van slib - bepaling van de pH-waarde
N12260.03,NEN-EN 12260:2003 en,Norm water-chemisch,"Water - Bepaling van het stikstofgehalte - Bepaling van het gehalte aan gebonden stikstof (TN sub b), na oxidatie tot stikstof oxiden"
N1233.97,"NEN-EN 1233:1997 en,nl",Norm water-chemisch,Water - Bepaling van het gehalte aan chroom - Atomaire-absorptiespectrometrische methoden
N12338.98,NEN-EN 12338:1998 en,Norm water-chemisch,Water - Bepaling van het gehalte aan kwik - Methoden na verrijking door amalgamatie
N12457-1.02,NEN-EN 12457-1:2002 en,Norm slib,Karakterisering van afval - Uitloging - Verkorte uitloogproef van korrelvormige afvalstoffen en slib - Deel 1: Eén-fase-partijkeuring bij een vloeistof tot vaste stof verhouding van 2 l/kg voor materialen met een hoog gehalte aan vaste stoffen en met deeltjesgrootte beneden 4 mm (zonder of met groottereductie)
N12457-2.02,NEN-EN 12457-2:2002 en,Norm slib,Karakterisering van afval - Uitloging - Verkorte uitloogproef van korrelvormige afvalstoffen en slib - Deel 2: Eén-fase-partijkeuring bij een vloeistof tot vaste stof verhouding van 10 l/kg voor materialen met deeltjesgrootte beneden 4 mm (zonder of met groottereductie)
N12457-3.02,NEN-EN 12457-3:2002 en,Norm slib,Karakterisering van afval - Uitloging - Verkorte uitloogproef van korrelvormige afvalstoffen en slib - Deel 3: Twee-fase-partijkeuring bij een vloeistof tot vaste stof verhouding van 2 l en 8 l/kg voor materialen met een hoog gehalte aan vaste stof en met deeltjesgrootte beneden 4 mm (zonder of met groottereductie)
N12457-4.02,NEN-EN 12457-4:2002 en,Norm slib,Karakterisering van afval - Uitloging - Verkorte uitloogproef van korrelvormige afvalstoffen en slib - Deel 4: Eén-fase-partijkeuring bij een vloeistof tot vaste stof verhouding van 10 l/kg voor materialen met deeltjesgrootte beneden 10 mm (zonder of met groottereductie)
N12673.99,NEN-EN 12673:1999 en,Norm water-chemisch,Water - Gaschromatografische bepaling van een aantal geselecteerde chloorfenolen in water
N12780.02,NEN-EN 12780:2002 en,Norm water-biologisch,Water - Detectie en telling van <(cursief)Pseudomonas aeruginosa> door membraanfiltratie
N12879.01,NEN-EN 12879:2001 en,Norm slib,Karakterisering van slib - bepaling van de gloeirest
N12880.01,NEN-EN 12880:2001 en,Norm slib,Karakterisering van slib - bepaling van het droge-stofgehalte en het watergehalte
N12918.99,NEN-EN 12918:1999 en,Norm water-chemisch,"Water - Bepaling van parathion, parathionmethyl en enkele andere organofosforverbindingen in water met dichloormethaanextractie en gaschromatografische analyse"
N13137.01,NEN-EN 13137:2001 en,Norm slib,"Karakterisering van afval - bepaling van het gehalte aan totaal organisch koolstof (TOC) in afval, slib en sediment"
N13342.00,NEN-EN 13342:2000 en,Norm slib,Karakterisering van slib - bepaling van het stikstofgehalte met de Kjeldahl methode
N13346.00,NEN-EN 13346:2000 en,Norm slib,Karakterisering van slib - bepaling van spoorelementen en fosfor - Koningswaterextractiemethoden
N13506.01,NEN-EN 13506:2001 en,Norm water-chemisch,Water - Bepaling van kwik met behulp van atomaire fluorescentiespectrometrie
N13577.07,NEN-EN 13577:2007 en,Norm water-chemisch,Chemische aantasting van beton - Bepaling van het gehalte aan agressieve koolstofdioxide in water
N13656.02,NEN-EN 13656:2002 en,Norm slib,"Karakterisering van afval - Microgolfontsluiting met waterstoffluoride (HF), salpeterzuur (HNO<(inf)3> en zoutzuur(HCI)mengsels voor de bepaling van elementen in afval"
N13657.02,NEN-EN 13657:2002 en,Norm slib,Karakterisering van afval - Ontsluiting voor de bepaling van in koningswater oplosbare elementen
N13946.03,NEN-EN 13946:2003 en,Norm water-biologisch,Waterkwaliteit - Richtlijn voor de routinematige bemonstering en monstervoorbehandeling van benthische diatomeeën in rivieren
N14011.03,NEN-EN 14011:2003 en,Norm water-biologisch,Water - Bemonstering van vis met behulp van elektriciteit
N14184.03,NEN-EN 14184:2003 en,Norm water-biologisch,Waterkwaliteit - Richtlijn voor de inventarisatie van aquatische macrofyten in stromende wateren
N14207.03,NEN-EN 14207:2003 en,Norm water-chemisch,Water - Bepaling van epichloorhydrine
N14393.02,NEN-EN 14393:2002 Ontw. en,Norm water-biologisch,Water - Richtlijn voor kwaliteitsborgingsaspecten bij inventarisatie en analyse van aquatische macrofyten in stromende wateren
N14407.04,NEN-EN 14407:2004 en,Norm water-biologisch,"Water - Richtlijn voor de determinatie, telling en interpretatie van monsters van benthische diatomeeën uit stromend water"
N14486.05,NEN-EN 14486:2005 en,Norm water-chemisch,"Water - Detectie van humane enterovirussen door """"monolayer plaque assay"
N14614.04,NEN-EN 14614:2004 en,Norm water-biologisch,Water - Richtlijn voor de beoordeling van hydromorphologische kenmerken van rivieren
N14671.06,NEN-EN 14671:2006 en,Norm slib,Karakterisering van slib - Voorbehandeling voor de bepaling van ammoniakstikstof met gebruik van 2 mol/l kaliumchloride
N14672.05,NEN-EN 14672:2005 en,Norm slib,Karakterisering van slib - bepaling van het totale gehalte aan fosfor
N14701-1.06,NEN-EN 14701-1:2006 en,Norm slib,Karakterisering van slib - Filtratie-eigenschappen - Deel 1: Capillair zuigtijd (CST)
N14701-2.06,NEN-EN 14701-2:2006 en,Norm slib,Karakterisering van slib - Filtratie-eigenschappen - Deel 2: bepaling van de specifieke weerstand tegen filtratie
N14701-3.06,NEN-EN 14701-3:2006 en,Norm slib,Karakterisering van slib - Filtratie-eigenschappen - Deel 3: bepaling van de compressibiliteit
N14701-4.07,NEN-EN 14701-4:2007 Ontw. en,Norm slib,Karakterisering van slib - Filtratie-eigenschappen - Deel 4: bepaling van de ontwatering voor vlokkerige slib
N14702-1.06,NEN-EN 14702-1:2006 en,Norm slib,Karakterisering van slib - Bezinkingseigenschappen - Deel 1: bepaling van de bezinkbaarheid ( bepaling van de proportie van slibvolume en slibvolume index)
N14702-2.06,NEN-EN 14702-2:2006 en,Norm slib,Karakterisering van slib - Bezinkingseigenschappen - Deel 2: bepaling van de indikking
N14757.05,NEN-EN 14757:2005 en,Norm water-biologisch,Water - Bemonstering van vis met behulp van visnetten met meerdere maasgroottes
N1483.07,NEN-EN 1483:2007 en,Norm water-chemisch,Water - Bepaling van kwik - Methode met atomaire-absorpt iespectrometrie
N1484.97,"NEN-EN 1484:1997 en,nl",Norm water-chemisch,Water - Leidraad voor de bepaling van het gehalte aan totaal organische koolstof (TOC) en opgelost organisch koolstof (DOC)
N14962.06,NEN-EN 14962:2006 en,Norm water-biologisch,Water - Richtlijn over het toepassingsgebied en keuze van methoden voor monsterneming van vis
N14996.06,NEN-EN 14996:2006 en,Norm water-biologisch,Water - Richtlijn voor de kwaliteitsborging van biologische en ecologische beoordelingen in het aquatische milieu
N15169.07,NEN-EN 15169:2007 en,Norm slib,"Karakterisering van afval - bepaling van het gloeiverlies in afval, slib en sediment"
N15170.05,NEN-EN 15170:2005 Ontw. en,Norm slib,Karakterisering van slib - Verbrandingswaarde (bepaling van de bruto en netto verbrandingswaarde)
N15171.05,NEN-EN 15171:2005 Ontw. en,Norm slib,Karakterisering van slib - bepaling van adsorbeerbare organische gebonden halogenen
N15192.06,NEN-EN 15192:2006 en,Norm bodem-chemisch,Karakterisering van afval en bodem - Bepaling van Chroom(VI) in vaste materialen door alkalische ontsluiting en ion chromatografie met spectrofotometrische detectie
N15204.06,NEN-EN 15204:2006 en,Norm water-biologisch,Kwaliteit van water - Richtlijn voor het tellen van fytoplankton met behulp van omgekeerde microscopie (Utermöhl-techniek)
N15216.07,NEN-EN 15216:2007 en,Norm water-chemisch,Karakterisering van afval - Bepaling van het gehalte aan totaal opgeloste stof (TDS) in water en eluaten
N15308.08,NEN-EN 15308:2008 en,Norm slib,Karakterisering van afval - bepaling van geselecteerde polychloorbifenylen (PCB) in vast afval door gebruik van capillaire gaschromatografie met elektronen-invangdetectie of massaspectrometrische detectie
N15309.07,NEN-EN 15309:2007 en,Norm bodem-chemisch,Karakterisering van afval en bodem - Bepaling van de samenstelling van elementen met röntgenfluorescentie
N15400.11,NEN-EN 15400:2011 en,Norm slib,Vaste secundaire brandstoffen - Methoden voor de bepaling van calorische waarden
N15460.07,NEN-EN 15460:2007 en,Norm water-biologisch,Water - Richtlijn voor de inventarisatie van macrofyten in meren
N15708.07,NEN-EN 15708:2007 Ontw. en,Norm water-biologisch,"Water - Richtlijn voor de inventarisatie, bemonstering en laboratorium analyse van fytobenthos in ondiep stromend water"
N1622.06,NEN-EN 1622:2006 en,Norm water-fysisch,Water - Bepaling van de drempelwaarden voor geur (TON) en smaak (TFN)
N1899-1.98,"NEN-EN 1899-1:1998 en,nl",Norm water-chemisch,Water - Bepaling van het biochemisch zuurstofverbruik na <(cursief)n> dagen (BOD<(cursief)n>) - Deel 1: Verdunnings- en entmethode met toevoeging van allylthioreum
N1899-2.98,"NEN-EN 1899-2:1998 en,nl",Norm water-chemisch,Waterkwaliteit - Bepaling van het biochemisch zuurstofverbruik na <(cursief)n> dagen (BOD<(cursief)n>) - Deel 2: Methode voor onverdunde monsters
N5110.01,NEN 5110:2001 nl,Norm bodem-fysisch,Geotechniek - Bepaling van de volumieke massa van grond in het laboratorium - Steekringmethode
N5622.06,NEN 5622: 2006 nl,Norm radioactiviteit,Radioactiviteitsmetingen - Bepaling van de massieke totale alfa-activiteit van een vast telmonster met de dikke-laagmethode
N5623.02,NEN 5623:2002 nl,Norm radioactiviteit,Radioactiviteitsmetingen - Bepaling van de activiteit van gammastraling uitzendende nucliden in een telmonster met halfgeleider-gammaspectrometrie
N5627.06,NEN 5627: 2006 nl,Norm radioactiviteit,Radioactiviteitsmetingen - Bepaling van de massieke totale bèta-activiteit en massieke rest-bèta-activiteit van een vast telmonster
N5694+C1.11,NEN 5694:2007+C1:2011 nl,Norm radioactiviteit,Radioactiviteitsmetingen - Methoden voor de radiochemische bepaling van polonium-210 (210Po) en lood-210 (210Pb)
N5704.96,NEN 5704:1996 nl,Norm bodem-chemisch,"Bodem - Monstervoorbehandeling van grond - Extractie met een calciumchloride-oplossing (0,01 mol/l)"
N5707+C1.06,NEN 5707:2003+C1:2006 nl,Norm bodem-chemisch,"Bodem  Inspectie, monsterneming en analyse van asbest in bodem en partijen grond"
N5709.06,NEN 5709:2006 nl,Norm bodem-chemisch,Bodem - Monstervoorbehandeling voor de bepaling van organische en anorganische parameters in grond
N5719.99,NEN 5719:1999 nl,Norm bodem-chemisch,Bodem - Voorbehandeling van waterbodemmonsters
N5727.04,NEN 5727:2004,Norm bodem-chemisch,Bodem  Monsterneming en analyse van asbest in waterbodem en baggerspecie
N5733.97,NEN 5733:1997 nl,Norm bodem-chemisch,Bodem - Bepaling van het gehalte aan minerale olie in grond en waterbodem met gaschromatografie
N5734.99,NEN 5734:1999,Norm vervallen,"Bodem - Gaschromatografische bepaling van de gehalten aan organochloorbestrijdingsmiddelen (OCB's), chloorbenzenen en polychloorbifenylen (PCB's)"
N5735.99,NEN 5735:1999 nl,Norm bodem-chemisch,"Bodem - Bepaling van het halogeengehalte afkomstig van niet-vluchtige, met aceton en petroleumether extraheerbare organohalogeenverbindingen (EOX)"
N5738.96,NEN 5738:1996 nl,Norm bodem-chemisch,Bodem - Bepaling van de actuele kationen-uitwisselingscapaciteit en uitwisselbare basische kationen in grond
N5739.96,NEN 5739:1996 nl,Norm bodem-chemisch,Bodem - Bepaling van het gehalte aan vrij ijzer met atomaire-absorptiespectrometrie
N5747.90,NEN 5747:1990 nl,Norm vervallen,Bodem - Bepaling van het vochtgehalte en het gehalte aan droge stof van veldvochtige grond
N5748.90,NEN 5748:1990 nl,Norm vervallen,Bodem - Bepaling van het vochtgehalte en het gehalte aan droge stof van luchtdroge grond
N5749.91,NEN 5749:1991 nl,Norm bodem-fysisch,Bodem - Bepaling van de soortelijke elektrische geleiding in grond
N5750.89,NEN 5750:1989 nl,Norm vervallen,Bodem - Bepaling van de pH in grondmonsters
N5752.95,NEN 5752:1995 nl,Norm bodem-chemisch,Bodem - Bepaling van het gehalte aan carbonaten in grond - Gravimetrische methode
N5753+C1.09,NEN 5753:2006+C1:2009 nl,Norm bodem-fysisch,Bodem - Bepaling van het lutumgehalte en de korrelgrootteverdeling in grond en waterbodem met behulp van zeef en pipet
N5753.06,NEN 5753:2006 nl,Norm vervallen,"Bodem - Bepaling van het lutumgehalte en de korrelgrootteverdeling in grond en waterbodem met behulp van zeef en pipet, Verv. door NEN 5753:2006+C1:2009 nl"
N5754.05,NEN 5754:2005 nl,Norm bodem-chemisch,Bodem - Bepaling van het gehalte aan organische stof op massabasis in grond en waterbodem volgens de gloeiverliesmethode
