Code,Omschrijving,Groep,Titel
I10695.00,NEN-EN-ISO 10695:2000 en,Norm water-chemisch,Water - Bepaling van het gehalte aan geselecteerde organostikstof- en organofosforverbindingen - Gaschromatografische methoden
I10704.12,NEN-ISO 10704:2012 en,Norm radioactiviteit,Water - Meting van totale alfa- en totale beta-activiteit in niet-zout water - Dunne-laag afzettingsmethode
I10705-1.01,NEN-EN-ISO 10705-1:2001 en,Norm water-biologisch,Water - Detectie en telling van bacteriofagen - Deel 1: Telling van F-specifieke RNA-bacteriofagen
I10705-2.01,NEN-EN-ISO 10705-2:2001 en,Norm water-biologisch,Water - Detectie en telling van bacteriofagen - Deel 2: Telling van somatische colifagen
I10706.00,NEN-ISO 10706:2000 en,Norm water-biologisch,"Water - Bepaling van de lange termijn toxiteit van stoffen op <(cursief)Daphnia magna> Straus <(cursief)(Cladocera, Crustacea)>"
I10707.97,NEN-EN-ISO 10707:1997 en,Norm water-biologisch,Water - Bepaling van de totale aerobe bio-afbreekbaarheid van organische componenten in een waterig medium - Methode door middel van het biochemische zuurstofverbruik (proef met gesloten fles)
I10708.97,ISO 10708:1997 en,Norm water-biologisch,Water quality - Evaluation in an aqueous medium of the ultimate aerobic biodegradability oforganic compounds - Determination of biochemical oxygen demand in a two-phase closed bottle test
I10712.96,NEN-EN-ISO 10712:1996 en,Norm water-biologisch,Water - Proef voor de bepaling van het groeiremmend effect op <(cursief)Pseudomonas putida> (proef voor de <(cursief)Pseudomonas>-celvermeerderingsremming)
I11047.98,ISO 11047:1998 en,Norm bodem-chemisch,"Bodem - Bepaling van het gehalte aan cadmium, chroom, kobalt, koper, lood, mangaan, nikkel en zink in koningswaterextract uit bodem - Vlam en elektrothermische atomaire absorptiespectrometrische methoden"
I11048.95,ISO 11048:1995 en,Norm bodem-chemisch,Soil quality - Determination of water-soluble and acid-soluble sulfate
I11083.06,NEN-ISO 11083:2006 en,Norm water-chemisch,"Water - Bepaling van chroom (VI) - Spectrometrische methode met 1,5-difenylcarbazide"
I11260.94,ISO 11260:1994 en,Norm bodem-chemisch,Soil quality - Determination of effective cation exchange capacity and base saturation level using barium chloride solution
I11261.95,ISO 11261:1995 en,Norm bodem-chemisch,Soil quality - Determination of total nitrogen - Modified Kjeldahl method
I11262.03,ISO 11262:2003 en,Norm bodem-chemisch,Bodem - Bepaling van het gehalte aan cyanide
I11263.94,ISO 11263:1994 en,Norm bodem-chemisch,Soil quality - Determination of phosphorus - Spectrometric determination of phosphorus soluble in sodium hydrogen carbonate solution
I11264.07,NEN-ISO 11264:2007 en,Norm bodem-chemisch,Bodem - Bepaling van herbiciden - HPLC-methode met UV-detectie
I11265.94,ISO 11265:1994 en,Norm bodem-fysisch,Soil quality - Determination of the specific electrical conductivity
I11271.02,ISO 11271:2002 en,Norm bodem-fysisch,Bodem - Bepaling van redox-potentiaal - Veldmethode
I11272.98,ISO 11272:1998 en,Norm bodem-fysisch,Bodemkwaliteit - Bepaling van de droge bulkdichtheid
I11274.98,ISO 11274:1998 en,Norm bodem-fysisch,Bodem - Bepaling van eigenschappen van waterretentie - Laboratoriummethoden
I11277.98,ISO 11277:1998 en,Norm bodem-fysisch,Bodem - Bepaling van de deeltjesgrootteverdeling in minerale bodemmaterialen - Methode door zeven en sedimentering
I11348-1.99,NEN-EN-ISO 11348-1:1999 en,Norm water-biologisch,Water - Bepaling van het remmend effect van watermonsters op de emissie van licht door Vibrio fischeri (Proef met luminescerende bacteriën) - Deel 1: Methode met gebruik van vers bereide bacteriën
I11348-2.99,NEN-EN-ISO 11348-2:1999 en,Norm water-biologisch,Water - Bepaling van het remmend effect van watermonsters op de emissie van licht door Vibrio fischeri (Proef met luminescerende bacteriën) - Deel 2: Methode met gebruik van vloeistof-gedroogde bacteriën
I11348-3.99,NEN-EN-ISO 11348-3:1999 en,Norm water-biologisch,Water - Bepaling van het remmend effect van watermonsters op de emissie van licht door Vibrio fischeri (Proef met luminescerende bacteriën) - Deel 3: Methode met gebruik van gevriesdroogde bacteriën
I11369.97,NEN-EN-ISO 11369:1997 en,Norm water-chemisch,Water - Bepaling van een aantal bestrijdingsmiddelen - Methode met gebruik van hogedruk-vloeistofchromatografie met UV-detectie na een vast-vloeistofextractie
I11423-1.97,ISO 11423-1:1997 en,Norm water-chemisch,Water - Bepaling van het gehalte aan benzeen en enige afgeleiden - Deel 1: Gaschromatografische methode met bovenruimte
I11423-2.97,ISO 11423-2:1997 en,Norm water-chemisch,Water - Bepaling van het gehalte aan benzeen en enige afgeleiden - Deel 2: Methode met behulp van extractie en gaschromatografie
I11461.01,ISO 11461:2001 en,Norm bodem-fysisch,Bodem - Bepaling van het watergehalte van bodem als een volumefractie met gebruik van boormantels - Gravimetrische methode
I11465.05,NEN-ISO 11465:2005 en,Norm bodem-fysisch,Bodem - Bepaling van het gehalte aan droge stof en het vochtgehalte op massabasis - Gravimetrische methode
I11466.95,ISO 11466:1995 en,Norm bodem-chemisch,Soil quality - Extraction of trace elements soluble in aqua regia
I11508.98,ISO 11508:1998 en,Norm bodem-chemisch,Bodem - Bepaling van de deeltjesdichtheid
