Code,Omschrijving,Groep
Dk0032md,diameter kleiner dan 32 um / minerale delen,KorrelgrootteFractie
Dk0035,diameter kleiner dan 35 um,KorrelgrootteFractie
Dk0038,diameter kleiner dan 38 um,KorrelgrootteFractie
Dk0038md,diameter kleiner dan 38 um / minerale delen,KorrelgrootteFractie
Dk0045,diameter kleiner dan 45 um,KorrelgrootteFractie
Dk0050,diameter kleiner dan 50 um,KorrelgrootteFractie
Dk0050md,diameter kleiner dan 50 um / minerale delen,KorrelgrootteFractie
Dk0053,diameter kleiner dan 53 um,KorrelgrootteFractie
Dk0063,diameter kleiner dan 63 um,KorrelgrootteFractie
Dk0063dg,diameter kleiner dan 63 um / drooggewicht,KorrelgrootteFractie
Dk0063md,diameter kleiner dan 63 um / minerale delen,KorrelgrootteFractie
Dk0080,diameter kleiner dan 80 um,KorrelgrootteFractie
Dk0090,diameter kleiner dan 90 um,KorrelgrootteFractie
Dk0090md,diameter kleiner dan 90 um / minerale delen,KorrelgrootteFractie
Dk0105,diameter kleiner dan 105 um,KorrelgrootteFractie
Dk0106,diameter kleiner dan 106 um,KorrelgrootteFractie
Dk0125,diameter kleiner dan 125 um,KorrelgrootteFractie
Dk0125md,diameter kleiner dan 125 um / minerale delen,KorrelgrootteFractie
Dk0180,diameter kleiner dan 180 um,KorrelgrootteFractie
Dk0180md,diameter kleiner dan 180 um / minerale delen,KorrelgrootteFractie
Dk0210,diameter kleiner dan 210 um,KorrelgrootteFractie
Dk0250,diameter kleiner dan 250 um,KorrelgrootteFractie
Dk0250md,diameter kleiner dan 250 um / minerale delen,KorrelgrootteFractie
Dk0355,diameter kleiner dan 355 um,KorrelgrootteFractie
Dk0355md,diameter kleiner dan 355 um / minerale delen,KorrelgrootteFractie
Dk0500,diameter kleiner dan 500 um,KorrelgrootteFractie
Dk0500md,diameter kleiner dan 500 um / minerale delen,KorrelgrootteFractie
Dk1000,diameter kleiner dan 1000 um,KorrelgrootteFractie
Dk1000md,diameter kleiner dan 1000 um / minerale delen,KorrelgrootteFractie
Dk2000,diameter kleiner dan 2000 um,KorrelgrootteFractie
Dk2000md,diameter kleiner dan 2000 um / minerale delen,KorrelgrootteFractie
Dk4000,diameter kleiner dan 4000 um,KorrelgrootteFractie
Dk8000,diameter kleiner dan 8000 um,KorrelgrootteFractie
EB-F,Energiebron-Fototroof,BiologischKenmerk
EB-H,Energiebron-Heterotroof,BiologischKenmerk
EEQ,uitgedrukt in 17b-estradiol equivalenten,HoedanigheidEquivalent
EKR,uitgedrukt in Ecologische Kwaliteitsratio,HoedanigheidEquivalent
EMS,Emerse fractie,HoedanigheidFractieBasis
EPSG19986,ETRS89-LambertEqualArea,ReferentiePlaats
EPSG23031,ED50/UTM31,ReferentiePlaats
EPSG23032,ED50/UTM32,ReferentiePlaats
EPSG28991,Rijksdriehoekstelsel-Oud,ReferentiePlaats
EPSG28992,Rijksdriehoekstelsel-Nieuw,ReferentiePlaats
EPSG3034,ETRS89-LambertConformConic,ReferentiePlaats
EPSG4258,ETRS89 lengte- en breedtegraden,ReferentiePlaats
F025+10,golffrequentie tussen 25 en 35 mHz,GolffrequentieKlasse
F030+470,golffrequentie tussen 30 en 500 mHz,GolffrequentieKlasse
F030+70,golffrequentie tussen 30 en 100 mHz,GolffrequentieKlasse
F030+970,golffrequentie tussen 30 en 1000 mHz,GolffrequentieKlasse
F035+10,golffrequentie tussen 35 en 45 mHz,GolffrequentieKlasse
F045+10,golffrequentie tussen 45 en 55 mHz,GolffrequentieKlasse
F055+10,golffrequentie tussen 55 en 65 mHz,GolffrequentieKlasse
F065+10,golffrequentie tussen 65 en 75 mHz,GolffrequentieKlasse
F075+10,golffrequentie tussen 75 en 85 mHz,GolffrequentieKlasse
F085+10,golffrequentie tussen 85 en 95 mHz,GolffrequentieKlasse
F095+10,golffrequentie tussen 95 en 105 mHz,GolffrequentieKlasse
F100+100,golffrequentie tussen 100 en 200 mHz,GolffrequentieKlasse
F105+10,golffrequentie tussen 105 en 115 mHz,GolffrequentieKlasse
F115+10,golffrequentie tussen 115 en 125 mHz,GolffrequentieKlasse
F125+10,golffrequentie tussen 125 en 135 mHz,GolffrequentieKlasse
F135+10,golffrequentie tussen 135 en 145 mHz,GolffrequentieKlasse
F145+10,golffrequentie tussen 145 en 155 mHz,GolffrequentieKlasse
F155+10,golffrequentie tussen 155 en 165 mHz,GolffrequentieKlasse
F165+10,golffrequentie tussen 165 en 175 mHz,GolffrequentieKlasse
F175+10,golffrequentie tussen 175 en 185 mHz,GolffrequentieKlasse
F185+10,golffrequentie tussen 185 en 195 mHz,GolffrequentieKlasse
F195+10,golffrequentie tussen 195 en 205 mHz,GolffrequentieKlasse
F200+300,golffrequentie tussen 200 en 500 mHz,GolffrequentieKlasse
F200+800,golffrequentie tussen 200 en 1000 mHz,GolffrequentieKlasse
F205+10,golffrequentie tussen 205 en 215 mHz,GolffrequentieKlasse
F215+10,golffrequentie tussen 215 en 225 mHz,GolffrequentieKlasse
F225+10,golffrequentie tussen 225 en 235 mHz,GolffrequentieKlasse
F235+10,golffrequentie tussen 235 en 245 mHz,GolffrequentieKlasse
F245+10,golffrequentie tussen 245 en 255 mHz,GolffrequentieKlasse
F255+10,golffrequentie tussen 255 en 265 mHz,GolffrequentieKlasse
F265+10,golffrequentie tussen 265 en 275 mHz,GolffrequentieKlasse
F275+10,golffrequentie tussen 275 en 285 mHz,GolffrequentieKlasse
F285+10,golffrequentie tussen 285 en 295 mHz,GolffrequentieKlasse
F295+10,golffrequentie tussen 295 en 305 mHz,GolffrequentieKlasse
F305+10,golffrequentie tussen 305 en 315 mHz,GolffrequentieKlasse
F315+10,golffrequentie tussen 315 en 325 mHz,GolffrequentieKlasse
F325+10,golffrequentie tussen 325 en 335 mHz,GolffrequentieKlasse
F335+10,golffrequentie tussen 335 en 345 mHz,GolffrequentieKlasse
F345+10,golffrequentie tussen 345 en 355 mHz,GolffrequentieKlasse
F355+10,golffrequentie tussen 355 en 365 mHz,GolffrequentieKlasse
F365+10,golffrequentie tussen 365 en 375 mHz,GolffrequentieKlasse
F375+10,golffrequentie tussen 375 en 385 mHz,GolffrequentieKlasse
F385+10,golffrequentie tussen 385 en 395 mHz,GolffrequentieKlasse
F395+10,golffrequentie tussen 395 en 405 mHz,GolffrequentieKlasse
F405+10,golffrequentie tussen 405 en 415 mHz,GolffrequentieKlasse
F415+10,golffrequentie tussen 415 en 425 mHz,GolffrequentieKlasse
F425+10,golffrequentie tussen 425 en 435 mHz,GolffrequentieKlasse
F435+10,golffrequentie tussen 435 en 445 mHz,GolffrequentieKlasse
F445+10,golffrequentie tussen 445 en 455 mHz,GolffrequentieKlasse
F455+10,golffrequentie tussen 455 en 465 mHz,GolffrequentieKlasse
F465+10,golffrequentie tussen 465 en 475 mHz,GolffrequentieKlasse
F475+10,golffrequentie tussen 475 en 485 mHz,GolffrequentieKlasse
