CRSN id '166012-00256' di 'P03_328' rl 0 rs 4.01 crsn
CRSN id '166012-00149' di 'P03_327' rl 0 rs 2.77 crsn
CRSN id '166012-00000' di 'P03_326' rl 0 rs 2.83 crsn
CRSN id 'D14100-01635' di 'P03_439' rl 0 rs 7.23 crsn
CRSN id 'D14100-01433' di 'P03_438' rl 0 rs 7.53 crsn
CRSN id 'D14100-01353' di 'P03_437' rl 0 rs 7.31 crsn
CRSN id 'D14100-01254' di 'P03_436' rl 0 rs 6.91 crsn
CRSN id 'D14100-01036' di 'P03_435' rl 0 rs 6.42 crsn
CRSN id 'D14100-01001' di 'P03_434' rl 0 rs 6.56 crsn
CRSN id 'D14100-00929' di 'P03_433' rl 0 rs 5.94 crsn
CRSN id 'D14100-00777' di 'P03_589' rl 0 rs 5.7 crsn
CRSN id 'D14100-00659' di 'P03_588' rl 0 rs 5.5 crsn
CRSN id 'D14100-00548' di 'P03_587' rl 0 rs 5.5 crsn
CRSN id 'D14100-00457' di 'P03_586' rl 0 rs 5.5 crsn
CRSN id 'D14110-00771' di 'P03_449' rl 0 rs 5.48 crsn
CRSN id 'D14110-00646' di 'P03_448' rl 0 rs 5.06 crsn
CRSN id 'D14110-00537' di 'P03_447' rl 0 rs 4.67 crsn
CRSN id 'D14110-00478' di 'P03_446' rl 0 rs 4.35 crsn
CRSN id 'D14110-00365' di 'P03_445' rl 0 rs 4.56 crsn
CRSN id 'D14110-00278' di 'P03_444' rl 0 rs 5.36 crsn
CRSN id 'D14110-00256' di 'P03_443' rl 0 rs 4.26 crsn
CRSN id 'D14110-00149' di 'P03_442' rl 0 rs 4.48 crsn
CRSN id 'D14110-00053' di 'P03_441' rl 0 rs 3.69 crsn
CRSN id 'D14110-00002' di 'P03_440' rl 0 rs 3.82 crsn
CRSN id '166017-00798' di 'P03_457' rl 0 rs 5.98 crsn
CRSN id '166017-00642' di 'P03_456' rl 0 rs 5.55 crsn
CRSN id '166017-00524' di 'P03_455' rl 0 rs 5.24 crsn
CRSN id '166017-00401' di 'P03_454' rl 0 rs 4.79 crsn
CRSN id '166017-00299' di 'P03_453' rl 0 rs 4.72 crsn
CRSN id '166017-00203' di 'P03_452' rl 0 rs 4.66 crsn
CRSN id '166017-00104' di 'P03_451' rl 0 rs 4.23 crsn
CRSN id '166017-00010' di 'P03_450' rl 0 rs 5.43 crsn
CRSN id '166018-00448' di 'P03_479' rl 0 rs 5.43 crsn
CRSN id '166018-00397' di 'P03_478' rl 0 rs 5.35 crsn
CRSN id '166018-00318' di 'P03_477' rl 0 rs 5.41 crsn
CRSN id '166018-00300' di 'P03_476' rl 0 rs 5.36 crsn
CRSN id '166018-00277' di 'P03_475' rl 0 rs 5.3 crsn
CRSN id '166018-00197' di 'P03_474' rl 0 rs 5.16 crsn
CRSN id '166018-00134' di 'P03_473' rl 0 rs 4.85 crsn
CRSN id '166018-00100' di 'P03_472' rl 0 rs 4.71 crsn
CRSN id '166018-00030' di 'P03_471' rl 0 rs 4.59 crsn
CRSN id '166018-00000' di 'P03_470' rl 0 rs 5.27 crsn
CRSN id 'D15400-01131' di 'P03_267' rl 0 rs 7.61 crsn
CRSN id 'D15400-01069' di 'P03_266' rl 0 rs 8.09 crsn
CRSN id 'D15400-00960' di 'P03_265' rl 0 rs 7.9 crsn
CRSN id 'D15400-00838' di 'P03_264' rl 0 rs 7.35 crsn
CRSN id 'D15400-00812' di 'P03_263' rl 0 rs 7.5 crsn
CRSN id 'D15400-00647' di 'P03_262' rl 0 rs 7.5 crsn
CRSN id 'D15400-00533' di 'P03_261' rl 0 rs 7.5 crsn
CRSN id 'D15400-00425' di 'P03_260' rl 0 rs 7.5 crsn
CRSN id 'D15400-00329' di 'P03_259' rl 0 rs 6 crsn
CRSN id 'D15400-00251' di 'P03_258' rl 0 rs 7.5 crsn
CRSN id 'D15400-00080' di 'P03_257' rl 0 rs 7.5 crsn
CRSN id 'D15400-00005' di 'P03_602' rl 0 rs 7.5 crsn
CRSN id 'D13000-04632' di 'P03_184' rl 0 rs 11.53 crsn
CRSN id 'D13000-04510' di 'P03_183' rl 0 rs 11.13 crsn
CRSN id 'D13000-04407' di 'P03_182' rl 0 rs 10.84 crsn
CRSN id 'D13000-04293' di 'P03_181' rl 0 rs 10.67 crsn
CRSN id 'D13000-04186' di 'P03_180' rl 0 rs 10.62 crsn
CRSN id 'D13000-04084' di 'P03_179' rl 0 rs 10.27 crsn
CRSN id 'D13000-03955' di 'P03_178' rl 0 rs 10.6 crsn
CRSN id 'D13000-03843' di 'P03_177' rl 0 rs 10.13 crsn
CRSN id 'D13000-03795' di 'P03_176' rl 0 rs 10.14 crsn
CRSN id 'D13000-03757' di 'P03_175' rl 0 rs 10.51 crsn
CRSN id 'D13000-03677' di 'P03_174' rl 0 rs 10.18 crsn
CRSN id 'D13000-03597' di 'P03_173' rl 0 rs 10.18 crsn
CRSN id 'D13000-03486' di 'P03_172' rl 0 rs 9.75 crsn
CRSN id 'D13000-03376' di 'P03_171' rl 0 rs 9.28 crsn
CRSN id 'D13000-03340' di 'P03_170' rl 0 rs 9.46 crsn
CRSN id 'D13000-03233' di 'P03_169' rl 0 rs 9.73 crsn
CRSN id 'D13000-03131' di 'P03_168' rl 0 rs 9.25 crsn
CRSN id 'D13000-03036' di 'P03_167' rl 0 rs 9.91 crsn
CRSN id 'D13000-02889' di 'P03_166' rl 0 rs 10.89 crsn
CRSN id 'D13000-02871' di 'P03_165' rl 0 rs 9.85 crsn
CRSN id 'D13000-02720' di 'P03_164' rl 0 rs 9.35 crsn
CRSN id 'D13000-02635' di 'P03_163' rl 0 rs 8.66 crsn
CRSN id 'D13000-02542' di 'P03_162' rl 0 rs 9.32 crsn
CRSN id 'D13000-02453' di 'P03_161' rl 0 rs 9.19 crsn
CRSN id 'D13000-02371' di 'P03_160' rl 0 rs 9.18 crsn
CRSN id 'D13000-02262' di 'P03_159' rl 0 rs 9.1 crsn
CRSN id 'D13000-02128' di 'P03_158' rl 0 rs 8.03 crsn
CRSN id 'D13000-02008' di 'P03_157' rl 0 rs 7.94 crsn
CRSN id 'D13000-01890' di 'P03_597' rl 0 rs 8.05 crsn
CRSN id 'D13000-01785' di 'P03_155' rl 0 rs 7.73 crsn
CRSN id 'D13000-01667' di 'P03_154' rl 0 rs 7.59 crsn
CRSN id 'D13000-01569' di 'P03_153' rl 0 rs 7.74 crsn
CRSN id 'D13000-01486' di 'P03_152' rl 0 rs 8.15 crsn
CRSN id 'D13000-01368' di 'P03_151' rl 0 rs 8.28 crsn
CRSN id 'D13000-01290' di 'P03_150' rl 0 rs 8.38 crsn
CRSN id 'D13000-01198' di 'P03_149' rl 0 rs 8.27 crsn
CRSN id 'D13000-01041' di 'P03_148' rl 0 rs 8.25 crsn
CRSN id 'D13000-01028' di 'P03_147' rl 0 rs 8.23 crsn
CRSN id 'D13000-00959' di 'P03_146' rl 0 rs 7.77 crsn
CRSN id 'D13000-00898' di 'P03_145' rl 0 rs 7.62 crsn
CRSN id 'D13000-00808' di 'P03_144' rl 0 rs 7.52 crsn
CRSN id 'D13000-00682' di 'P03_143' rl 0 rs 7.74 crsn
CRSN id 'D13000-00615' di 'P03_142' rl 0 rs 7.46 crsn
CRSN id 'D13000-00463' di 'P03_141' rl 0 rs 6.89 crsn
CRSN id 'D13000-00391' di 'P03_140' rl 0 rs 6.9 crsn
CRSN id 'D13000-00197' di 'P03_139' rl 0 rs 7.8 crsn
CRSN id 'D13000-00046' di 'P03_138' rl 0 rs 6.93 crsn
CRSN id 'D13300-02393' di 'P03_407' rl 0 rs 4.17 crsn
CRSN id 'D13300-02336' di 'P03_406' rl 0 rs 4.22 crsn
CRSN id 'D13300-02235' di 'P03_405' rl 0 rs 4.28 crsn
CRSN id 'D13300-02133' di 'P03_404' rl 0 rs 4.18 crsn
CRSN id 'D13300-02036' di 'P03_403' rl 0 rs 4.06 crsn
CRSN id 'D13300-01933' di 'P03_402' rl 0 rs 4.05 crsn
CRSN id '166010-13011' di 'P03_137' rl 0 rs 8.1 crsn
CRSN id '166010-12964' di 'P03_136' rl 0 rs 6.89 crsn
CRSN id '166010-12851' di 'P03_135' rl 0 rs 6.74 crsn
CRSN id '166010-12764' di 'P03_134' rl 0 rs 6.49 crsn
CRSN id '166010-12652' di 'P03_133' rl 0 rs 6.8 crsn
CRSN id '166010-12534' di 'P03_132' rl 0 rs 6.83 crsn
CRSN id '166010-12440' di 'P03_131' rl 0 rs 5.79 crsn
CRSN id '166010-12350' di 'P03_130' rl 0 rs 6.14 crsn
CRSN id '166010-12231' di 'P03_129' rl 0 rs 6.09 crsn
CRSN id '166010-12138' di 'P03_128' rl 0 rs 5.87 crsn
CRSN id 'D15200-02457' di 'P03_206' rl 0 rs 7.78 crsn
CRSN id 'D15200-02353' di 'P03_205' rl 0 rs 7.42 crsn
CRSN id 'D15200-02250' di 'P03_204' rl 0 rs 7.69 crsn
CRSN id 'D15200-02141' di 'P03_203' rl 0 rs 7.21 crsn
CRSN id 'D15200-02035' di 'P03_202' rl 0 rs 7.12 crsn
CRSN id 'D15200-01931' di 'P03_201' rl 0 rs 7.83 crsn
CRSN id 'D15200-01832' di 'P03_200' rl 0 rs 7.06 crsn
CRSN id 'D15200-01683' di 'P03_199' rl 0 rs 7.49 crsn
CRSN id 'D15200-01563' di 'P03_198' rl 0 rs 7.78 crsn
CRSN id 'D15200-01410' di 'P03_633' rl 0 rs 8.674 crsn
CRSN id 'D15200-01304' di 'P03_632' rl 0 rs 8.57 crsn
CRSN id 'D15200-01188' di 'P03_195' rl 0 rs 6.98 crsn
CRSN id 'D15200-01061' di 'P03_194' rl 0 rs 7.56 crsn
CRSN id 'D15200-00890' di 'P03_193' rl 0 rs 7.18 crsn
CRSN id 'D15200-00775' di 'P03_192' rl 0 rs 7.82 crsn
CRSN id 'D15200-00752' di 'P03_191' rl 0 rs 8.53 crsn
CRSN id 'D15200-00654' di 'P03_190' rl 0 rs 7.33 crsn
CRSN id 'D15200-00563' di 'P03_622' rl 0 rs 7.23 crsn
CRSN id 'D15200-00451' di 'P03_621' rl 0 rs 7.05 crsn
CRSN id 'D15200-00354' di 'P03_620' rl 0 rs 7.17 crsn
CRSN id 'D15200-00163' di 'P03_619' rl 0 rs 7.45 crsn
CRSN id 'D15200-00051' di 'P03_618' rl 0 rs 7.39 crsn
CRSN id '166014-00598' di 'P03_416' rl 0 rs 3.53 crsn
CRSN id '166014-00488' di 'P03_415' rl 0 rs 4.75 crsn
CRSN id '166014-00417' di 'P03_414' rl 0 rs 5.05 crsn
CRSN id '166014-00353' di 'P03_413' rl 0 rs 3.88 crsn
CRSN id '166014-00301' di 'P03_412' rl 0 rs 2.85 crsn
CRSN id '166014-00224' di 'P03_411' rl 0 rs 3.62 crsn
CRSN id '166014-00124' di 'P03_410' rl 0 rs 3.92 crsn
CRSN id '166014-00108' di 'P03_409' rl 0 rs 3.82 crsn
CRSN id '166014-00003' di 'P03_408' rl 0 rs 3.39 crsn
CRSN id '166015-00900' di 'P03_469' rl 0 rs 9.73 crsn
CRSN id '166015-00800' di 'P03_468' rl 0 rs 8.99 crsn
CRSN id '166015-00700' di 'P03_467' rl 0 rs 8.05 crsn
