--- http://localhost:8080/opendap/data/nc/coads.nc.dods?SST ---
Lookup time;Connect time;Pretransfer time;Starttransfer time;Total time;Response
0.001;0.002;0.002;1.365;1.444;200
0.001;0.001;0.001;1.362;1.441;200
0.001;0.001;0.001;1.373;1.452;200
0.001;0.006;0.006;1.366;1.445;200
0.001;0.001;0.001;1.362;1.441;200
0.001;0.001;0.001;1.361;1.440;200
0.001;0.001;0.001;1.371;1.450;200
0.001;0.001;0.001;1.361;1.440;200
0.001;0.001;0.001;1.366;1.445;200
0.001;0.005;0.005;1.365;1.444;200
0.001;0.001;0.001;1.364;1.443;200
0.001;0.001;0.001;1.362;1.441;200
0.001;0.001;0.001;1.360;1.440;200
0.001;0.001;0.001;1.361;1.441;200
0.001;0.007;0.007;1.367;1.446;200
0.001;0.002;0.002;1.362;1.441;200
0.001;0.001;0.001;1.364;1.443;200
0.001;0.001;0.001;1.360;1.439;200
0.001;0.001;0.001;1.362;1.441;200
0.001;0.001;0.001;1.372;1.450;200
--- http://localhost:8080/opendap/data/nc/coads.nc.dods?SST ---
0.001;0.001;0.001;1.409;3.666;200
0.001;0.001;0.001;1.424;3.448;200
0.001;0.001;0.001;1.418;3.485;200
0.001;0.001;0.001;1.412;3.475;200
0.001;0.001;0.001;1.429;3.542;200
