variable;x.upper;x.mean;x.lower
WZ30 Mardie; 9.934363; 9.185063; 8.435763
WZ110DooveB W;11.262285; 9.983309; 8.704333
WZ190Vliestr;10.267052; 9.234763; 8.202475
WZ420Dantzig; 9.688015; 8.988931; 8.289847
WZ230Blauwe;10.414649; 9.394549; 8.374450
WZ200DooveB O;12.070437;10.049324; 8.028211
WZ480Zoutkam;10.149963; 9.023790; 7.897618
