variable;x.upper;x.mean;x.lower
WZ110DooveB W;10.119782; 9.791707; 9.463633
WZ190Vliestr; 9.742986; 9.423301; 9.103616
WZ200DooveB O;10.855755;10.263889; 9.672022
WZ230Blauwe; 9.620192; 9.262794; 8.905397
WZ30 Mardie; 9.611955; 9.333954; 9.055952
WZ420Dantzig; 9.471519; 9.225852; 8.980186
WZ480Zoutkam; 9.215876; 8.900000; 8.584124
