"Arseen in mg/kg in zwevende stof";"437%7CArseen+in+mg%2Fkg+in+zwevende+stof"
"Arseen in ug/l in oppervlaktewater";"257%7CArseen+in+ug%2Fl+in+oppervlaktewater"
"Arseen in ug/l na filtratie in oppervlaktewater";"258%7CArseen+in+ug%2Fl+na+filtratie+in+oppervlaktewater"
"Atrazine in ug/l in oppervlaktewater";"5592%7CAtrazine+in+ug%2Fl+in+oppervlaktewater"
"Barium in ug/l in oppervlaktewater";"263%7CBarium+in+ug%2Fl+in+oppervlaktewater"
"Barium in ug/l na filtratie in oppervlaktewater";"264%7CBarium+in+ug%2Fl+na+filtratie+in+oppervlaktewater"
"Bentazon in ug/l in oppervlaktewater";"947%7CBentazon+in+ug%2Fl+in+oppervlaktewater"
"Benzeen in ug/l in oppervlaktewater";"271%7CBenzeen+in+ug%2Fl+in+oppervlaktewater"
"Benzo(a)antraceen in mg/kg diameter < 63 um drooggewicht in bodem/sediment";"2214%7CBenzo%28a%29antraceen+in+mg%2Fkg+diameter+%3C+63+um+drooggewicht+in+bodem%2Fsediment"
"Benzo(a)antraceen in mg/kg drooggewicht in bodem/sediment";"438%7CBenzo%28a%29antraceen+in+mg%2Fkg+drooggewicht+in+bodem%2Fsediment"
"Benzo(a)antraceen in mg/kg drooggewicht in zwevende stof";"496%7CBenzo%28a%29antraceen+in+mg%2Fkg+drooggewicht+in+zwevende+stof"
"Benzo(a)antraceen in ug/l in oppervlaktewater";"265%7CBenzo%28a%29antraceen+in+ug%2Fl+in+oppervlaktewater"
"Benzo(a)pyreen in mg/kg diameter < 63 um drooggewicht in bodem/sediment";"2215%7CBenzo%28a%29pyreen+in+mg%2Fkg+diameter+%3C+63+um+drooggewicht+in+bodem%2Fsediment"
"Benzo(a)pyreen in mg/kg drooggewicht in bodem/sediment";"440%7CBenzo%28a%29pyreen+in+mg%2Fkg+drooggewicht+in+bodem%2Fsediment"
"Benzo(a)pyreen in mg/kg drooggewicht in zwevende stof";"497%7CBenzo%28a%29pyreen+in+mg%2Fkg+drooggewicht+in+zwevende+stof"
"Benzo(a)pyreen in ug/l in oppervlaktewater";"266%7CBenzo%28a%29pyreen+in+ug%2Fl+in+oppervlaktewater"
"Benzo(b)fluorantheen in mg/kg diameter < 63 um drooggewicht in bodem/sediment";"2216%7CBenzo%28b%29fluorantheen+in+mg%2Fkg+diameter+%3C+63+um+drooggewicht+in+bodem%2Fsediment"
"Benzo(b)fluorantheen in mg/kg drooggewicht in bodem/sediment";"442%7CBenzo%28b%29fluorantheen+in+mg%2Fkg+drooggewicht+in+bodem%2Fsediment"
"Benzo(b)fluorantheen in mg/kg drooggewicht in zwevende stof";"498%7CBenzo%28b%29fluorantheen+in+mg%2Fkg+drooggewicht+in+zwevende+stof"
"Benzo(b)fluorantheen in ug/l in oppervlaktewater";"267%7CBenzo%28b%29fluorantheen+in+ug%2Fl+in+oppervlaktewater"
"Benzo(e)pyreen in mg/kg diameter < 63 um drooggewicht in bodem/sediment";"2217%7CBenzo%28e%29pyreen+in+mg%2Fkg+diameter+%3C+63+um+drooggewicht+in+bodem%2Fsediment"
"Benzo(e)pyreen in mg/kg drooggewicht in zwevende stof";"617%7CBenzo%28e%29pyreen+in+mg%2Fkg+drooggewicht+in+zwevende+stof"
