variable;x.upper;x.mean;x.lower
WZ110DooveB W;0.03517519;0.03077720;0.02637920
WZ190Vliestr;0.03693281;0.03216422;0.02739563
WZ200DooveB O;0.05847515;0.04792857;0.03738199
WZ230Blauwe;0.10988406;0.09335294;0.07682183
WZ30 Mardie;0.04059063;0.03573290;0.03087516
WZ420Dantzig;0.12657226;0.11845374;0.11033521
WZ480Zoutkam;0.07442711;0.06472857;0.05503003
