variable;x.upper;x.mean;x.lower
WZ30 Mardie; 21.12775; 17.14013; 13.15251
WZ110DooveB W; 37.18284; 27.13604; 17.08923
WZ190Vliestr; 43.69680; 35.21038; 26.72396
WZ420Dantzig; 89.93266; 74.22328; 58.51390
WZ230Blauwe; 49.89724; 35.78292; 21.66860
WZ200DooveB O; 53.05954; 34.51402; 15.96849
WZ480Zoutkam;156.28416;116.34865; 76.41313
