variable;x.upper;x.mean;x.lower
WZ30 Mardie;0.03758183;0.03315180;0.02872178
WZ110DooveB W;0.05422896;0.04385984;0.03349072
WZ190Vliestr;0.03539626;0.02852814;0.02166002
WZ420Dantzig;0.03155981;0.02653112;0.02150242
WZ230Blauwe;0.03544871;0.02842993;0.02141114
WZ200DooveB O;0.05169157;0.04196866;0.03224575
WZ480Zoutkam;0.06570034;0.05818610;0.05067186
