variable;x.upper;x.mean;x.lower
WZ110DooveB W;0.06348659;0.05874262;0.05399866
WZ190Vliestr;0.05761847;0.05212157;0.04662467
WZ200DooveB O;0.08649264;0.07730000;0.06810736
WZ230Blauwe;0.13400495;0.11318519;0.09236542
WZ30 Mardie;0.07050668;0.06216412;0.05382155
WZ420Dantzig;0.22184871;0.17815260;0.13445649
WZ480Zoutkam;0.12899931;0.11914493;0.10929055
