"Datatype","Extract","Transform read","Load","No Inspire URL","Inspire URL","Country"
"Storms - Historical records (up to 50-150 yr)","Data included","Script missing","Not loaded","https://repos.deltares.nl/repos/OpenEarthRawData/trunk/io_bas/Storms",,"bg"
"Unclear","Data included","Script missing","Not loaded","https://repos.deltares.nl/repos/OpenEarthRawData/trunk/io_bas/SynopticMaps_SM","https://repos.deltares.nl/repos/OpenEarthRawData/trunk/io_bas/SynopticMaps_SM/inspire_description.xml","bg"
"Unclear","Data missing","Script missing","Not loaded","https://repos.deltares.nl/repos/OpenEarthRawData/trunk/io_bas/VoluntaryObservingShipsProgram_VOSP","https://repos.deltares.nl/repos/OpenEarthRawData/trunk/io_bas/VoluntaryObservingShipsProgram_VOSP/inspire_description.xml","bg"
"Waves - Nearshore","Data included","Script missing","Not loaded","https://repos.deltares.nl/repos/OpenEarthRawData/trunk/io_bas/Waves_ADCP",,"bg"
"Waves - Offshore","Data included","Script missing","Not loaded","https://repos.deltares.nl/repos/OpenEarthRawData/trunk/io_bas/Waves_Black%20Sea_hindcast","https://repos.deltares.nl/repos/OpenEarthRawData/trunk/io_bas/Waves_Black%20Sea_hindcast/inspire_description.xml","bg"
"Waves - Offshore","Data included","Script missing","Not loaded","https://repos.deltares.nl/repos/OpenEarthRawData/trunk/io_bas/Waves_Westernshelf_hindcast","https://repos.deltares.nl/repos/OpenEarthRawData/trunk/io_bas/Waves_Westernshelf_hindcast/inspire_description.xml","bg"
"Winds - punctual","Data missing","Script missing","Not loaded","https://repos.deltares.nl/repos/OpenEarthRawData/trunk/io_bas/Wind_Blacksea_reanalysis","https://repos.deltares.nl/repos/OpenEarthRawData/trunk/io_bas/Wind_Blacksea_reanalysis/inspire_description.xml","bg"
"Winds - punctual","Data missing","Script missing","Loaded","https://repos.deltares.nl/repos/OpenEarthRawData/trunk/knmi/etmgeg",,"nl"
"Winds - wind field","Data missing","Script missing","Loaded","https://repos.deltares.nl/repos/OpenEarthRawData/trunk/knmi/potwind",,"nl"
"Coastline","Data included","Script found","Loaded","https://repos.deltares.nl/repos/OpenEarthRawData/trunk/noaa/gshhs","https://repos.deltares.nl/repos/OpenEarthRawData/trunk/noaa/gshhs/gshhs_c.xml","nl"
"Storms - Historical records (up to 50-150 yr)","Data included","Script missing","Not loaded","https://repos.deltares.nl/repos/OpenEarthRawData/trunk/pol/Historical_storms",,"uk"
"Morphology - Bathymetry","Data included","Script missing","Not loaded","https://repos.deltares.nl/repos/OpenEarthRawData/trunk/pol/location","https://repos.deltares.nl/repos/OpenEarthRawData/trunk/pol/location/map_metadata.xml","uk"
"Waves - Offshore","Data included","Script found","Not loaded","https://repos.deltares.nl/repos/OpenEarthRawData/trunk/pol/POLCOMS-WAM","https://repos.deltares.nl/repos/OpenEarthRawData/trunk/pol/POLCOMS-WAM/polcoms_metadata.xml","uk"
"Sedimentology","Data included","Script found","Loaded","https://repos.deltares.nl/repos/OpenEarthRawData/trunk/rijkswaterstaat/grainsize_vtv",,"nl"
"Morphology - Profiles","Data included","Script found","Loaded","https://repos.deltares.nl/repos/OpenEarthRawData/trunk/rijkswaterstaat/jarkus","https://repos.deltares.nl/repos/OpenEarthRawData/trunk/rijkswaterstaat/jarkus/inspire_description.xml","nl"
"Coastline","Data included","Script found","Loaded","https://repos.deltares.nl/repos/OpenEarthRawData/trunk/rijkswaterstaat/kustlijnkaartenboek","https://repos.deltares.nl/repos/OpenEarthRawData/trunk/rijkswaterstaat/kustlijnkaartenboek/inspire.xml","nl"
"Sedimentology","Data included","Script found","Loaded","https://repos.deltares.nl/repos/OpenEarthRawData/trunk/rijkswaterstaat/sedimentatlas_waddenzee","https://repos.deltares.nl/repos/OpenEarthRawData/trunk/rijkswaterstaat/sedimentatlas_waddenzee/inspire_description.xml","nl"
"Morphology - Shore lines","Data included","Script found","Loaded","https://repos.deltares.nl/repos/OpenEarthRawData/trunk/rijkswaterstaat/strandlijnen","https://repos.deltares.nl/repos/OpenEarthRawData/trunk/rijkswaterstaat/strandlijnen/strandlijnen.xml","nl"
"Morphology - Bathymetry","Data included","Script found","Loaded","https://repos.deltares.nl/repos/OpenEarthRawData/trunk/rijkswaterstaat/vaklodingen","https://repos.deltares.nl/repos/OpenEarthRawData/trunk/rijkswaterstaat/vaklodingen/inspire_description.xml","nl"
"Water levels - Tides","Data included","Script found","Loaded","https://repos.deltares.nl/repos/OpenEarthRawData/trunk/rijkswaterstaat/waterbase","https://repos.deltares.nl/repos/OpenEarthRawData/trunk/rijkswaterstaat/waterbase/waterbase.xml","nl"
"Storms - Historical records (up to 50-150 yr)","Data included","Script missing","Not loaded","https://repos.deltares.nl/repos/OpenEarthRawData/trunk/sgss/historical_storm","https://repos.deltares.nl/repos/OpenEarthRawData/trunk/sgss/historical_storm/Historical_sea_storms_Emilia-Romagna.xml","it"
"Coastline","Data included","Script missing","Not loaded","https://repos.deltares.nl/repos/OpenEarthRawData/trunk/sgss/photointerpretation","https://repos.deltares.nl/repos/OpenEarthRawData/trunk/sgss/photointerpretation/year_1991/raw/photointerpretation_study_area_year91.xml","it"
"Coastline","Data included","Script missing","Not loaded","https://repos.deltares.nl/repos/OpenEarthRawData/trunk/sgss/photointerpretation","https://repos.deltares.nl/repos/OpenEarthRawData/trunk/sgss/photointerpretation/year_1992/raw/photointerpretation_study_area_year92.xml","it"
"Morphology - Topography","Data included","Script missing","Not loaded","https://repos.deltares.nl/repos/OpenEarthRawData/trunk/sgss/topography",,"it"
"Morphology - Topography","Data included","Script found","Loaded","https://repos.deltares.nl/repos/OpenEarthRawData/trunk/tno/ahn100m","https://repos.deltares.nl/repos/OpenEarthRawData/trunk/tno/ahn100m/ahn.xml","nl"
"Storms - Historical records (up to 50-150 yr)","Data included","Script missing","Not loaded","https://repos.deltares.nl/repos/OpenEarthRawData/trunk/tudelft/storms",,"nl"
"Morphology - Bathymetry","Data included","Script found","Loaded","https://repos.deltares.nl/repos/OpenEarthRawData/trunk/tudelft/vlugtenburg","https://repos.deltares.nl/repos/OpenEarthRawData/trunk/tudelft/vlugtenburg/jetski/64095d7d-5255-4285-808d-36c6d70fa15d.xml","nl"
"Morphology - Bathymetry","Data included","Script found","Loaded","https://repos.deltares.nl/repos/OpenEarthRawData/trunk/ualg/Baseline_survey","https://repos.deltares.nl/repos/OpenEarthRawData/trunk/ualg/Baseline_survey/Micore_baseline.xml","pt"
"Morphology - Bathymetry","Data included","Script missing","Loaded","https://repos.deltares.nl/repos/OpenEarthRawData/trunk/ualg/CROP","https://repos.deltares.nl/repos/OpenEarthRawData/trunk/ualg/CROP/Micore_Crop.xml","pt"
"Unclear","Data included","Script missing","Not loaded","https://repos.deltares.nl/repos/OpenEarthRawData/trunk/ualg/Infinity_PT","https://repos.deltares.nl/repos/OpenEarthRawData/trunk/ualg/Infinity_PT/Infinity_PT_2009.xml","pt"
"Morphology - Topography","Data included","Script missing","Not loaded","https://repos.deltares.nl/repos/OpenEarthRawData/trunk/ualg/Micore_topo","https://repos.deltares.nl/repos/OpenEarthRawData/trunk/ualg/Micore_topo/Micore_topo_year1.xml","pt"
