time;platform_id;platform_name;lon;lat;wgs_84;epsg;x;y;z;value;unit;location_name
25-10-12 00:00:00;Imares_st_4;PAAPSSD;;;;;;;;1.1177;mgN/l;PAAPSSD
10-11-12 00:00:00;Imares_st_4;PAAPSSD;;;;;;;;0.9664;mgN/l;PAAPSSD
12-11-12 00:00:00;Imares_st_4;PAAPSSD;;;;;;;;1.7714;mgN/l;PAAPSSD
29-11-12 00:00:00;Imares_st_4;PAAPSSD;;;;;;;;1.4451;mgN/l;PAAPSSD
06-01-12 00:00:00;Imares_st_5;MONDVDDLD;;;;;;;;1.2866;mgN/l;MONDVDDLD
07-02-12 00:00:00;Imares_st_5;MONDVDDLD;;;;;;;;1.0318;mgN/l;MONDVDDLD
04-03-12 00:00:00;Imares_st_5;MONDVDDLD;;;;;;;;2.4095;mgN/l;MONDVDDLD
05-03-12 00:00:00;Imares_st_5;MONDVDDLD;;;;;;;;1.3934;mgN/l;MONDVDDLD
20-03-12 00:00:00;Imares_st_5;MONDVDDLD;;;;;;;;2.9917;mgN/l;MONDVDDLD
17-04-12 00:00:00;Imares_st_5;MONDVDDLD;;;;;;;;2.0793;mgN/l;MONDVDDLD
15-05-12 00:00:00;Imares_st_5;MONDVDDLD;;;;;;;;1.299;mgN/l;MONDVDDLD
03-06-12 00:00:00;Imares_st_5;MONDVDDLD;;;;;;;;3.292;mgN/l;MONDVDDLD
14-06-12 00:00:00;Imares_st_5;MONDVDDLD;;;;;;;;1.11;mgN/l;MONDVDDLD
16-07-12 00:00:00;Imares_st_5;MONDVDDLD;;;;;;;;0.9287;mgN/l;MONDVDDLD
31-07-12 00:00:00;Imares_st_5;MONDVDDLD;;;;;;;;0.9557;mgN/l;MONDVDDLD
13-08-12 00:00:00;Imares_st_5;MONDVDDLD;;;;;;;;0.9032;mgN/l;MONDVDDLD
28-08-12 00:00:00;Imares_st_5;MONDVDDLD;;;;;;;;0.8183;mgN/l;MONDVDDLD
26-09-12 00:00:00;Imares_st_5;MONDVDDLD;;;;;;;;0.7392;mgN/l;MONDVDDLD
25-10-12 00:00:00;Imares_st_5;MONDVDDLD;;;;;;;;1.2701;mgN/l;MONDVDDLD
10-11-12 00:00:00;Imares_st_5;MONDVDDLD;;;;;;;;0.7901;mgN/l;MONDVDDLD
12-11-12 00:00:00;Imares_st_5;MONDVDDLD;;;;;;;;1.8645;mgN/l;MONDVDDLD
29-11-12 00:00:00;Imares_st_5;MONDVDDLD;;;;;;;;1.6096;mgN/l;MONDVDDLD
06-01-12 00:00:00;Imares_st_6;GROOTGTND;;;;;;;;1.3416;mgN/l;GROOTGTND
07-02-12 00:00:00;Imares_st_6;GROOTGTND;;;;;;;;1.087;mgN/l;GROOTGTND
04-03-12 00:00:00;Imares_st_6;GROOTGTND;;;;;;;;2.5977;mgN/l;GROOTGTND
05-03-12 00:00:00;Imares_st_6;GROOTGTND;;;;;;;;1.3515;mgN/l;GROOTGTND
20-03-12 00:00:00;Imares_st_6;GROOTGTND;;;;;;;;3.267;mgN/l;GROOTGTND
17-04-12 00:00:00;Imares_st_6;GROOTGTND;;;;;;;;2.0361;mgN/l;GROOTGTND
15-05-12 00:00:00;Imares_st_6;GROOTGTND;;;;;;;;1.2796;mgN/l;GROOTGTND
03-06-12 00:00:00;Imares_st_6;GROOTGTND;;;;;;;;3.3778;mgN/l;GROOTGTND
14-06-12 00:00:00;Imares_st_6;GROOTGTND;;;;;;;;1.1937;mgN/l;GROOTGTND
16-07-12 00:00:00;Imares_st_6;GROOTGTND;;;;;;;;0.9196;mgN/l;GROOTGTND
31-07-12 00:00:00;Imares_st_6;GROOTGTND;;;;;;;;0.9587;mgN/l;GROOTGTND
13-08-12 00:00:00;Imares_st_6;GROOTGTND;;;;;;;;0.9294;mgN/l;GROOTGTND
28-08-12 00:00:00;Imares_st_6;GROOTGTND;;;;;;;;0.8477;mgN/l;GROOTGTND
26-09-12 00:00:00;Imares_st_6;GROOTGTND;;;;;;;;0.756;mgN/l;GROOTGTND
25-10-12 00:00:00;Imares_st_6;GROOTGTND;;;;;;;;1.3388;mgN/l;GROOTGTND
10-11-12 00:00:00;Imares_st_6;GROOTGTND;;;;;;;;1.0712;mgN/l;GROOTGTND
12-11-12 00:00:00;Imares_st_6;GROOTGTND;;;;;;;;2.1492;mgN/l;GROOTGTND
29-11-12 00:00:00;Imares_st_6;GROOTGTND;;;;;;;;1.7176;mgN/l;GROOTGTND
09-12-12 00:00:00;Imares_st_6;GROOTGTND;;;;;;;;0.7449;mgN/l;GROOTGTND
22-01-13 08:52:00;Imares_st_1;HUIBGOT;;;;;;;;0.9386;mgN/l;HUIBGOT
21-02-13 09:01:00;Imares_st_1;HUIBGOT;;;;;;;;1.1422;mgN/l;HUIBGOT
07-03-13 08:04:00;Imares_st_1;HUIBGOT;;;;;;;;1.1454;mgN/l;HUIBGOT
25-03-13 11:34:00;Imares_st_1;HUIBGOT;;;;;;;;0.8189;mgN/l;HUIBGOT
04-04-13 07:28:00;Imares_st_1;HUIBGOT;;;;;;;;0.902;mgN/l;HUIBGOT
18-04-13 06:16:00;Imares_st_1;HUIBGOT;;;;;;;;0.4413;mgN/l;HUIBGOT
02-05-13 04:31:00;Imares_st_1;HUIBGOT;;;;;;;;0.2194;mgN/l;HUIBGOT
22-05-13 11:27:00;Imares_st_1;HUIBGOT;;;;;;;;0.0397;mgN/l;HUIBGOT
04-06-13 10:15:00;Imares_st_1;HUIBGOT;;;;;;;;0.0237;mgN/l;HUIBGOT
19-06-13 09:10:00;Imares_st_1;HUIBGOT;;;;;;;;0.0554;mgN/l;HUIBGOT
03-07-13 09:42:00;Imares_st_1;HUIBGOT;;;;;;;;0.2041;mgN/l;HUIBGOT
17-07-13 06:39:00;Imares_st_1;HUIBGOT;;;;;;;;0.2007;mgN/l;HUIBGOT
01-08-13 08:49:00;Imares_st_1;HUIBGOT;;;;;;;;0.1303;mgN/l;HUIBGOT
15-08-13 07:06:00;Imares_st_1;HUIBGOT;;;;;;;;0.1102;mgN/l;HUIBGOT
29-08-13 07:48:00;Imares_st_1;HUIBGOT;;;;;;;;0.1644;mgN/l;HUIBGOT
16-09-13 10:49:00;Imares_st_1;HUIBGOT;;;;;;;;0.1182;mgN/l;HUIBGOT
15-10-13 10:29:00;Imares_st_1;HUIBGOT;;;;;;;;0.1716;mgN/l;HUIBGOT
14-11-13 10:00:00;Imares_st_1;HUIBGOT;;;;;;;;0.4597;mgN/l;HUIBGOT
22-01-13 10:04:00;Imares_st_2;RANSGZD;;;;;;;;1.841;mgN/l;RANSGZD
21-02-13 10:36:00;Imares_st_2;RANSGZD;;;;;;;;2.1336;mgN/l;RANSGZD
07-03-13 09:15:00;Imares_st_2;RANSGZD;;;;;;;;1.6173;mgN/l;RANSGZD
25-03-13 12:41:00;Imares_st_2;RANSGZD;;;;;;;;1.4126;mgN/l;RANSGZD
04-04-13 08:39:00;Imares_st_2;RANSGZD;;;;;;;;1.2334;mgN/l;RANSGZD
18-04-13 07:28:00;Imares_st_2;RANSGZD;;;;;;;;0.9637;mgN/l;RANSGZD
02-05-13 05:48:00;Imares_st_2;RANSGZD;;;;;;;;0.4722;mgN/l;RANSGZD
22-05-13 12:22:00;Imares_st_2;RANSGZD;;;;;;;;0.0309;mgN/l;RANSGZD
04-06-13 11:28:00;Imares_st_2;RANSGZD;;;;;;;;0.0661;mgN/l;RANSGZD
19-06-13 10:28:00;Imares_st_2;RANSGZD;;;;;;;;0.1497;mgN/l;RANSGZD
03-07-13 10:55:00;Imares_st_2;RANSGZD;;;;;;;;0.2933;mgN/l;RANSGZD
