variable;x.upper;x.mean;x.lower
WZ30 Mardie; 3.139041; 2.227769; 1.316498
WZ110DooveB W;12.675432; 6.935786; 1.196140
WZ190Vliestr; 4.890354; 3.000852; 1.111350
WZ420Dantzig; 8.903511; 5.823546; 2.743581
