variable;x.upper;x.mean;x.lower
WZ110DooveB W;0.010342659;0.008751667;0.007160675
WZ190Vliestr;0.007503690;0.006563028;0.005622365
WZ30 Mardie;0.010153205;0.008772778;0.007392351
WZ420Dantzig;0.022176363;0.020218281;0.018260199
