variable;x.upper;x.mean;x.lower
WZ110DooveB W;1.0158371;0.9195447;0.8232523
WZ190Vliestr;0.6511330;0.5989038;0.5466747
WZ200DooveB O;1.8081350;1.5278095;1.2474840
WZ230Blauwe;1.3685187;1.2110741;1.0536294
WZ30 Mardie;0.7647754;0.7142948;0.6638142
WZ420Dantzig;1.1769732;1.1158757;1.0547782
WZ480Zoutkam;1.0799057;0.9793714;0.8788372
