variable;x.upper;x.mean;x.lower
WZ30 Mardie;0.62978120;0.53079500;0.43180881
WZ110DooveB W;0.91165083;0.66118292;0.41071501
WZ190Vliestr;0.40417414;0.34789799;0.29162183
WZ420Dantzig;0.36397141;0.32341969;0.28286798
WZ230Blauwe;0.39909264;0.34056702;0.28204140
WZ200DooveB O;0.63140299;0.33433615;0.03726932
WZ480Zoutkam;0.86095340;0.68093844;0.50092348
