Code;Omschrijving;Dimensie;Omrekenfactor;Groep;D_BEGIN;D_EIND;D_STATUS
"m3/min";"kubieke meter per minuut";"L3/T";"1.666667E-02";"SI afgeleide eenheid";11-12-2012;;"G"
"m3/s";"kubieke meter per seconde";"L3/T";"1";"SI afgeleide eenheid";10-06-2011;;"G"
"mBq/l";"millibecquerel per liter";"/L3T";"1";"SI afgeleide eenheid";10-06-2011;;"G"
"mHz";"millihertz";"/T";"0.001";"SI afgeleide eenheid";11-12-2012;;"G"
"mPa.s";"millipascal seconde";"M/LT";"0.001";"SI afgeleide eenheid";11-12-2012;;"G"
"mS/cm";"millisiemens per centimeter";"T3I2/L3M";"0.1";"SI afgeleide eenheid";11-12-2012;;"G"
"mS/m";"millisiemens per meter";"T3I2/L3M";"0.001";"SI afgeleide eenheid";11-12-2012;;"G"
"mV";"millivolt";"L2M/T3I";"0.001";"SI afgeleide eenheid";11-12-2012;;"G"
"mbar";"millibar";"M/LT2";"100";"SI niet-SI-eenheid";10-06-2011;;"G"
"meq/l";"milliequivalent per liter";;;"Overig";10-06-2011;;"G"
"mg/g";"milligram per gram";"M/M";"0.001";"SI afgeleide eenheid";11-12-2012;;"G"
"mg/g.h";"milligram per gram uur";"M/MT";"2.777778E-07";"SI afgeleide eenheid";11-12-2012;;"G"
"mg/kg";"milligram per kilogram";"M/M";"0.000001";"SI afgeleide eenheid";11-12-2012;;"G"
"mg/l";"milligram per liter";"M/L3";"0.001";"SI afgeleide eenheid";11-12-2012;;"G"
"mg/m2";"milligram per vierkante meter";"M/L2";"0.000001";"SI afgeleide eenheid";23-08-2013;;"G"
"mg/m2.d";"milligram per vierkante meter per dag";"M/L2T";"1.157407E-11";"SI afgeleide eenheid";15-05-2013;;"G"
"mg/m3";"milligram per kubieke meter";"M/L3";"0.000001";"SI afgeleide eenheid";11-12-2012;;"G"
"mg/ml";"milligram per milliliter";"M/L3";"1";"SI afgeleide eenheid";27-09-2011;;"G"
"min";"minuut";"T";"1.666667E-02";"SI niet-SI-eenheid";11-12-2012;;"G"
"ml";"milliliter";"L3";"0.000001";"SI afgeleide eenheid";11-12-2012;;"G"
"ml/g";"milliliter per gram";"L3/M";"0.001";"SI afgeleide eenheid";11-12-2012;;"G"
"ml/l";"milliliter per liter";"L3/L3";"0.001";"SI afgeleide eenheid";11-12-2012;;"G"
"mm";"millimeter";"L";"0.001";"SI afgeleide eenheid";11-12-2012;;"G"
"mm/d";"millimeter per dag";"L/T";"1.157407E-08";"SI afgeleide eenheid";11-12-2012;;"G"
"mm/w";"millimeter per week";"L/T";"1.653439E-09";"SI afgeleide eenheid";11-12-2012;;"G"
"mm2";"vierkante millimeter";"L2";"0.000001";"SI afgeleide eenheid";11-12-2012;;"G"
"mm3/l";"kubieke millimeter per liter";"L3/L3";"0.000001";"SI afgeleide eenheid";11-12-2012;;"G"
"mm3/ml";"kubieke millimeter per milliliter";"L3/L3";"0.001";"SI afgeleide eenheid";11-12-2012;;"G"
"mmol";"millimol";"N";"0.001";"SI afgeleide eenheid";11-12-2012;;"G"
"mmol/kg";"millimol per kilogram";"N/M";"0.001";"SI afgeleide eenheid";11-12-2012;;"G"
"mmol/l";"millimol per liter";"N/L3";"0.000001";"SI afgeleide eenheid";11-12-2012;;"G"
"mnd";"maand";"T";;"SI niet-SI-eenheid";10-06-2011;;"G"
"mol";"mol";"N";"1";"SI grondeenheid";10-06-2011;;"G"
"mol/l";"mol per liter";"N/L3";"0.001";"SI afgeleide eenheid";11-12-2012;;"G"
"mol/m3";"mol per kubieke meter";"N/L3";"1";"SI afgeleide eenheid";10-06-2011;;"G"
"mol/mol";"mol per mol";"N/N";"1";"SI afgeleide eenheid";10-06-2011;;"G"
"n";"exemplaren";"X";"1";"Aantal";10-06-2011;;"G"
"n/dl";"exemplaren per deciliter";"X/L3";"10000";"Aantal";10-06-2011;;"G"
"n/g";"exemplaren per gram";"X/M";"1000";"Aantal";26-05-2012;;"G"
"n/ha";"exemplaren per hectare";"X/L2";"0.0001";"Aantal";11-12-2012;;"G"
"n/km";"exemplaren per kilometer";"X/L";"0.001";"Aantal";11-12-2012;;"G"
"n/km2";"exemplaren per vierkante kilometer";"X/L2";"0.000001";"Aantal";11-12-2012;;"G"
"n/l";"exemplaren per liter";"X/L3";"1000";"Aantal";10-06-2011;;"G"
"n/m";"exemplaren per meter";"X/L";"1";"Aantal";10-06-2011;;"G"
"n/m2";"exemplaren per vierkante meter";"X/L2";"1";"Aantal";10-06-2011;;"G"
"n/mg";"exemplaren per milligram";"X/M";"1000000";"Aantal";10-06-2011;;"G"
"n/min";"omwentelingen per minuut";;;"Overig";10-06-2011;;"G"
"n/ml";"exemplaren per milliliter";"X/L3";"1000000";"Aantal";10-06-2011;;"G"
"ng/g";"nanogram per gram";"M/M";"0.000000001";"SI afgeleide eenheid";16-03-2013;;"G"
"ng/kg";"nanogram per kilogram";"M/M";"1E-12";"SI afgeleide eenheid";16-03-2013;;"G"
"ng/l";"nanogram per liter";"M/L3";"0.000000001";"SI afgeleide eenheid";09-02-2013;;"G"
"ng/ml";"nanogram per milliliter";"M/L3";"0.000001";"SI afgeleide eenheid";09-02-2013;;"G"
"nmol/mg";"nanomol per milligram";"N/M";"0.001";"SI afgeleide eenheid";11-12-2012;;"G"
"oC";"graad Celsius";"O";"1";"SI afgeleide eenheid";10-06-2011;;"G"
"oD";"Duitse graad";;;"Overig";10-06-2011;;"G"
"pmol/mg";"picomol per milligram";"N/M";"0.000001";"SI afgeleide eenheid";11-12-2012;;"G"
"ppm";"parts per million";;;"Overig";10-06-2011;;"G"
"q";"kwartaal";"T";;"SI niet-SI-eenheid";10-06-2011;;"G"
"s";"seconde";"T";"1";"SI grondeenheid";10-06-2011;;"G"
"ton";"ton";"M";"1000";"SI afgeleide eenheid";10-06-2011;;"G"
"ton/a";"ton per jaar";"M/T";;"SI afgeleide eenheid";10-06-2011;;"G"
"uE";"microeinstein";;;"Overig";10-06-2011;;"G"
"uS/cm";"microsiemens per centimeter";"T3I2/L3M";"0.0001";"SI afgeleide eenheid";11-12-2012;;"G"
"ug/kg";"microgram per kilogram";"M/M";"0.000000001";"SI afgeleide eenheid";16-03-2013;;"G"
"ug/l";"microgram per liter";"M/L3";"0.000001";"SI afgeleide eenheid";09-02-2013;;"G"
"ug/mg";"microgram per milligram";"M/M";"0.001";"SI afgeleide eenheid";11-12-2012;;"G"
"um";"micrometer";"L";"0.000001";"SI afgeleide eenheid";11-12-2012;;"G"
"umol/kg";"micromol per kilogram";"N/M";"0.000001";"SI afgeleide eenheid";11-12-2012;;"G"
"umol/l";"micromol per liter";"N/L3";"0.001";"SI afgeleide eenheid";11-12-2012;;"G"
"umol/m2.s";"micromol per vierkante meter per seconde";"N/L2T";"0.000001";"SI afgeleide eenheid";12-02-2013;;"G"
"us";"microseconde";"T";"0.000001";"SI afgeleide eenheid";11-12-2012;;"G"
"ve";"vervuilingseenheden";;;"Overig";10-06-2011;;"G"
"w";"week";"T";"1.653439E-06";"SI afgeleide eenheid";11-12-2012;;"G"
"‰";"promille";;;"Overig";10-06-2011;;"G"
