Code;Omschrijving;Groep;Titel;D_BEGIN;D_EIND;D_STATUS
"I10523.08";"NEN-ISO 10523:2008 en";"Norm water-fysisch";"Water - Bepaling van de pH,  (Als Nederlandse norm is aanvaard: ISO 10523:2008,IDT)";11-06-2011;;"G"
"I10523.94";"ISO 10523:1994 en";"Norm water-chemisch";"Water quality - Determination of pH";11-06-2011;;"G"
"I10530.92";"ISO 10530:1992 en";"Norm water-chemisch";"Water quality - Determination of dissolved sulfide - Photometric method using methylene blue";11-06-2011;;"G"
"I10566.94";"ISO 10566:1994 en";"Norm water-chemisch";"Water quality - Determination of aluminium - Spectrometric method using pyrocatechol violet";11-06-2011;;"G"
"I10693.04";"NEN-ISO 10693:2004 en";"Norm bodem-chemisch";"Bodem - Bepaling van het gehalte aan carbonaten - Volumetrische methode";11-06-2011;;"G"
"I10694.95";"ISO 10694:1995 en";"Norm bodem-chemisch";"Soil quality - Determination of organic and total carbon after dry combustion (elementary analysis)";11-06-2011;;"G"
"I10695.00";"NEN-EN-ISO 10695:2000 en";"Norm water-chemisch";"Water - Bepaling van het gehalte aan geselecteerde organostikstof- en organofosforverbindingen - Gaschromatografische methoden";11-06-2011;;"G"
"I10704.12";"NEN-ISO 10704:2012 en";"Norm radioactiviteit";"Water - Meting van totale alfa- en totale beta-activiteit in niet-zout water - Dunne-laag afzettingsmethode";01-07-2013;;"G"
"I10705-1.01";"NEN-EN-ISO 10705-1:2001 en";"Norm water-biologisch";"Water - Detectie en telling van bacteriofagen - Deel 1: Telling van F-specifieke RNA-bacteriofagen";11-06-2011;;"G"
"I10705-2.01";"NEN-EN-ISO 10705-2:2001 en";"Norm water-biologisch";"Water - Detectie en telling van bacteriofagen - Deel 2: Telling van somatische colifagen";11-06-2011;;"G"
"I10706.00";"NEN-ISO 10706:2000 en";"Norm water-biologisch";"Water - Bepaling van de lange termijn toxiteit van stoffen op <(cursief)Daphnia magna> Straus <(cursief)(Cladocera, Crustacea)>";11-06-2011;;"G"
"I10707.97";"NEN-EN-ISO 10707:1997 en";"Norm water-biologisch";"Water - Bepaling van de totale aerobe bio-afbreekbaarheid van organische componenten in een waterig medium - Methode door middel van het biochemische zuurstofverbruik (proef met gesloten fles)";11-06-2011;;"G"
"I10708.97";"ISO 10708:1997 en";"Norm water-biologisch";"Water quality - Evaluation in an aqueous medium of the ultimate aerobic biodegradability oforganic compounds - Determination of biochemical oxygen demand in a two-phase closed bottle test";11-06-2011;;"G"
"I10712.96";"NEN-EN-ISO 10712:1996 en";"Norm water-biologisch";"Water - Proef voor de bepaling van het groeiremmend effect op <(cursief)Pseudomonas putida> (proef voor de <(cursief)Pseudomonas>-celvermeerderingsremming)";11-06-2011;;"G"
"I11047.98";"ISO 11047:1998 en";"Norm bodem-chemisch";"Bodem - Bepaling van het gehalte aan cadmium, chroom, kobalt, koper, lood, mangaan, nikkel en zink in koningswaterextract uit bodem - Vlam en elektrothermische atomaire absorptiespectrometrische methoden";11-06-2011;;"G"
"I11048.95";"ISO 11048:1995 en";"Norm bodem-chemisch";"Soil quality - Determination of water-soluble and acid-soluble sulfate";11-06-2011;;"G"
"I11083.06";"NEN-ISO 11083:2006 en";"Norm water-chemisch";"Water - Bepaling van chroom (VI) - Spectrometrische methode met 1,5-difenylcarbazide";11-06-2011;;"G"
"I11260.94";"ISO 11260:1994 en";"Norm bodem-chemisch";"Soil quality - Determination of effective cation exchange capacity and base saturation level using barium chloride solution";11-06-2011;;"G"
"I11261.95";"ISO 11261:1995 en";"Norm bodem-chemisch";"Soil quality - Determination of total nitrogen - Modified Kjeldahl method";11-06-2011;;"G"
"I11262.03";"ISO 11262:2003 en";"Norm bodem-chemisch";"Bodem - Bepaling van het gehalte aan cyanide";11-06-2011;;"G"
"I11263.94";"ISO 11263:1994 en";"Norm bodem-chemisch";"Soil quality - Determination of phosphorus - Spectrometric determination of phosphorus soluble in sodium hydrogen carbonate solution";11-06-2011;;"G"
"I11264.07";"NEN-ISO 11264:2007 en";"Norm bodem-chemisch";"Bodem - Bepaling van herbiciden - HPLC-methode met UV-detectie";11-06-2011;;"G"
"I11265.94";"ISO 11265:1994 en";"Norm bodem-fysisch";"Soil quality - Determination of the specific electrical conductivity";11-06-2011;;"G"
"I11271.02";"ISO 11271:2002 en";"Norm bodem-fysisch";"Bodem - Bepaling van redox-potentiaal - Veldmethode";11-06-2011;;"G"
"I11272.98";"ISO 11272:1998 en";"Norm bodem-fysisch";"Bodemkwaliteit - Bepaling van de droge bulkdichtheid";11-06-2011;;"G"
"I11274.98";"ISO 11274:1998 en";"Norm bodem-fysisch";"Bodem - Bepaling van eigenschappen van waterretentie - Laboratoriummethoden";11-06-2011;;"G"
"I11277.98";"ISO 11277:1998 en";"Norm bodem-fysisch";"Bodem - Bepaling van de deeltjesgrootteverdeling in minerale bodemmaterialen - Methode door zeven en sedimentering";11-06-2011;;"G"
"I11348-1.99";"NEN-EN-ISO 11348-1:1999 en";"Norm water-biologisch";"Water - Bepaling van het remmend effect van watermonsters op de emissie van licht door Vibrio fischeri (Proef met luminescerende bacteriën) - Deel 1: Methode met gebruik van vers bereide bacteriën";11-06-2011;;"G"
"I11348-2.99";"NEN-EN-ISO 11348-2:1999 en";"Norm water-biologisch";"Water - Bepaling van het remmend effect van watermonsters op de emissie van licht door Vibrio fischeri (Proef met luminescerende bacteriën) - Deel 2: Methode met gebruik van vloeistof-gedroogde bacteriën";11-06-2011;;"G"
"I11348-3.99";"NEN-EN-ISO 11348-3:1999 en";"Norm water-biologisch";"Water - Bepaling van het remmend effect van watermonsters op de emissie van licht door Vibrio fischeri (Proef met luminescerende bacteriën) - Deel 3: Methode met gebruik van gevriesdroogde bacteriën";11-06-2011;;"G"
"I11369.97";"NEN-EN-ISO 11369:1997 en";"Norm water-chemisch";"Water - Bepaling van een aantal bestrijdingsmiddelen - Methode met gebruik van hogedruk-vloeistofchromatografie met UV-detectie na een vast-vloeistofextractie";11-06-2011;;"G"
"I11423-1.97";"ISO 11423-1:1997 en";"Norm water-chemisch";"Water - Bepaling van het gehalte aan benzeen en enige afgeleiden - Deel 1: Gaschromatografische methode met bovenruimte";11-06-2011;;"G"
"I11423-2.97";"ISO 11423-2:1997 en";"Norm water-chemisch";"Water - Bepaling van het gehalte aan benzeen en enige afgeleiden - Deel 2: Methode met behulp van extractie en gaschromatografie";11-06-2011;;"G"
"I11461.01";"ISO 11461:2001 en";"Norm bodem-fysisch";"Bodem - Bepaling van het watergehalte van bodem als een volumefractie met gebruik van boormantels - Gravimetrische methode";11-06-2011;;"G"
"I11465.05";"NEN-ISO 11465:2005 en";"Norm bodem-fysisch";"Bodem - Bepaling van het gehalte aan droge stof en het vochtgehalte op massabasis - Gravimetrische methode";11-06-2011;;"G"
"I11466.95";"ISO 11466:1995 en";"Norm bodem-chemisch";"Soil quality - Extraction of trace elements soluble in aqua regia";11-06-2011;;"G"
"I11508.98";"ISO 11508:1998 en";"Norm bodem-chemisch";"Bodem - Bepaling van de deeltjesdichtheid";11-06-2011;;"G"
"I11731.98";"ISO 11731:1998 en";"Norm water-biologisch";"Water quality - Detection and enumeration of <(cursief)Legionella>";11-06-2011;;"G"
"I11732.05";"NEN-EN-ISO 11732:2005 en";"Norm water-chemisch";"Water - Bepaling van ammonium stikstof - Methode voor doorstroomanalyse (CFA en FIA) en spectrometrische detectie";11-06-2011;;"G"
"I11733.04";"NEN-EN-ISO 11733:2004 en";"Norm water-biologisch";"Water - Bepaling van de totale verwijdering en bio-afbreekbaarheid van organische verbindingen in een waterig medium - Simulatieproef met actief slib";11-06-2011;;"G"
"I11734.98";"NEN-EN-ISO 11734:1998 en";"Norm water-biologisch";"Water - Bepaling van de totale anaërobe bio-afbreekbaarheid van organische componenten in verteerd slib - Methode door meting van de biogasproductie";11-06-2011;;"G"
"I11885.07";"ISO 11885:2007 en";"Norm water-chemisch";"Water - Bepaling van geselecteerde elementen met atomaire-emissiespectrometrie met inductief gekoppeld plasma (ICP-AES)";11-06-2011;;"G"
"I11885.98";"NEN-EN-ISO 11885:1998 en";"Norm water-chemisch";"Water - Bepaling van 33 elementen met atomaire-emissiespectrometrie met inductief gekoppeld plasma";11-06-2011;;"G"
"I11905-1.98";"NEN-EN-ISO 11905-1:1998 nl";"Norm water-chemisch";"Water - Bepaling van het stikstofgehalte - Deel 1: Bepaling aan de hand van oxidatieve destructie met peroxodisulfaat";11-06-2011;;"G"
"I11923.97";"ISO 11923:1997 en";"Norm water-fysisch";"Water quality - Determination of suspended solids by filtration through glass-fibre filters";11-06-2011;;"G"
"I11969.97";"NEN-EN-ISO 11969:1997 nl";"Norm water-chemisch";"Water - Bepaling van het arseengehalte - Methode met atomaire-absorptiespectrometrie (hydridetechniek)";11-06-2011;;"G"
"I12020.00";"NEN-EN-ISO 12020:2000 en";"Norm water-chemisch";"Water - Bepaling van het gehalte aan aluminium - Atomaire-absorptiespectrometrische methoden";11-06-2011;;"G"
"I12890.00";"NEN-ISO 12890:2000 en";"Norm water-biologisch";"Water - Bepaling van de toxiteit voor zoetwatervissen in het embryonale of larvenstadium - Semistatische methode";11-06-2011;;"G"
"I13358.97";"ISO 13358:1997 en";"Norm water-chemisch";"Water - Bepaling van het gehalte aan gemakkelijk afgegeven sulfide";11-06-2011;;"G"
"I13395.97";"NEN-EN-ISO 13395:1997 nl";"Norm water-chemisch";"Water - Bepaling van het stikstofgehalte in de vorm van nitriet en in de vorm van nitraat en de som van beide met doorstroomanalyse (CFA en FIA) en spectrometrische detectie";11-06-2011;;"G"
"I13536.95";"ISO 13536:1995 en";"Norm bodem-chemisch";"Soil quality - Determination of the potential cation exchange capacity and exchangeable cations using barium chloride solution buffered at pH = 8,1";11-06-2011;;"G"
"I13641-1.03";"NEN-ISO 13641-1:2003 en";"Norm water-biologisch";"Water - Bepaling van de remmming van activiteit van anaërobe bacteriën - Deel 1: Algemene beproeving";11-06-2011;;"G"
"I13641-2.03";"NEN-ISO 13641-2:2003 en";"Norm water-biologisch";"Water - Bepaling van de remmming van activiteit van anaërobe bacteriën - Deel 2: Beproeving bij lage biomassaconcentratie";11-06-2011;;"G"
"I13829.00";"NEN-ISO 13829:2000 en";"Norm water-biologisch";"Water - Bepaling van de giftigheid van water en afvalwater met de umu-proef";11-06-2011;;"G"
"I13877.98";"ISO 13877:1998 en";"Norm bodem-chemisch";"Bodem - Bepaling van PAK - Methode met hoge-prestatie vloeistofchromatografie";11-06-2011;;"G"
"I13878.98";"ISO 13878:1998 en";"Norm bodem-chemisch";"Bodem - Bepaling van het totale gehalte aan stikstof door droge verbranding (""elementenanalyse"")";11-06-2011;;"G"
"I14154.05";"NEN-ISO 14154:2005 en";"Norm bodem-chemisch";"Bodem - Bepaling van geselecteerde chloorfenolen - Gaschromatografische methode";11-06-2011;;"G"
"I14235.98";"ISO 14235:1998 en";"Norm bodem-chemisch";"Bodem - Bepaling van organisch koolstof met sulfachrome oxidatie";11-06-2011;;"G"
"I14254.01";"ISO 14254:2001 en";"Norm bodem-chemisch";"Bodem - Bepaling van het uitwisselbare zuurgehalte van een bariumchloride-extract";11-06-2011;;"G"
"I14255.05";"NEN-ISO 14255:2005 en";"Norm bodem-chemisch";"Bodem - Bepaling van het gehalte aan stikstof, ammoniumstikstof en totaal oplosbaar stikstof in met lucht gedroogde bodem met calciumchloride-oplossing als extractiemiddel";11-06-2011;;"G"
"I14256-2.05";"ISO 14256-2:2005 en";"Norm bodem-chemisch";"Bodem - Bepaling van nitraat, nitriet en ammonium in veldvochtige grond door extractie met kaliumchloride-oplossing - Deel 2: Geautomatiseerde methode";11-06-2011;;"G"
"I14402.99";"NEN-EN-ISO 14402:1999 en";"Norm water-chemisch";"Water - Bepaling van de fenolindex met doorstroomanalyse (FIA en CFA)";11-06-2011;;"G"
"I14403.02";"NEN-EN-ISO 14403:2002 en";"Norm water-chemisch";"Water - Bepaling van het totale gehalte aan cyanide en het gehalte aan vrij cyanide met behulp van continue doorstroomanalyse";11-06-2011;;"G"
"I14442.06";"NEN-ISO 14442:2006 en";"Norm water-biologisch";"Water - Leidraad voor bepaling van het groeiremmend effect op algen van slecht oplosbare stoffen, vluchtige verbindingen, metalen en afvalwater";11-06-2011;;"G"
"I14592-1.03";"NEN-ISO 14592-1:2003 en";"Norm water-biologisch";"Water - Bepaling van de aerobe bioafbreekbaarheid van organische componenten in lage concentraties - Deel 1: Schudfles batchproef met oppervlaktewater of met oppervlaktewater/sedimentsuspensies";11-06-2011;;"G"
"I14592-2.03";"NEN-ISO 14592-2:2003 en";"Norm water-biologisch";"Water - Bepaling van de aerobe bioafbreekbaarheid van organische componenten in lage concentraties - Deel 2: Rivierdoorstroommodel";11-06-2011;;"G"
"I14593.05";"NEN-EN-ISO 14593:2005 en";"Norm water-biologisch";"Water - Bepaling van de aerobe bio-afbreekbaarheid van organische componenten in een waterig medium - Methode door analyse van anorganisch koolstof in gesloten flessen (CO<(inf)2> hoofdruimteproef)";11-06-2011;;"G"
"I14669.99";"ISO 14669:1999 en";"Norm water-biologisch";"Water - Bepaling van de acute letale toxiciteit voor mariene roeipootkreeften (<(cursief)Copepoda>, )";11-06-2011;;"G"
"I14869-1.01";"ISO 14869-1:2001 en";"Norm bodem-chemisch";"Bodem - Oplossing voor de bepaling van het totale gehalte aan elementen - Deel 1: Oplossing met hydrofluor- en perchloridezuren";11-06-2011;;"G"
"I14869-2.02";"ISO 14869-2:2002 en";"Norm bodem-chemisch";"Bodem - Ontsluiting voor de bepaling van het totale gehalte aan elementen - Deel 2: Ontsluiting met basische smelt";11-06-2011;;"G"
"I14870.01";"ISO 14870:2001 en";"Norm bodem-chemisch";"Bodem - Extractie van spoorelementen met een gebufferde DTPA-oplossing";11-06-2011;;"G"
"I14911.99";"NEN-EN-ISO 14911:1999 en";"Norm water-chemisch";"Water - Bepaling van opgeloste Li<(sup)+>, Na<(sup)+>, NH<(inf)4> <(sup)+>, K<(sup)+>, Mn²<(sup)+>, Ca²<(sup)+>, Mg²<(sup)+>, Sr²<(sup)+> en Ba²<(sup)+> met ionchromatografie - Methode voor water en afvalwater";11-06-2011;;"G"
"I15009.02";"NEN-ISO 15009:2002 en";"Norm bodem-chemisch";"Bodem - Gaschromatografische bepaling van het gehalte aan vluchtige aromatische koolwaterstoffen, naftaleen en vluchtige gehalogeneerde koolwaterstoffen - ""Purge-and-trap""-methode met thermische desorptie";11-06-2011;;"G"
"I15061.01";"NEN-EN-ISO 15061:2001 en";"Norm water-chemisch";"Water - Bepaling van opgelost bromaat - Methode met vloeistofchromatografie van ionen";11-06-2011;;"G"
"I15088.07";"ISO 15088:2007 en";"Norm water-biologisch";"Water - Bepaling van de accute toxiciteit van afvalwater op eitjes van de zebravis (Danio rerio)";11-06-2011;;"G"
