Code;Omschrijving;Groep;D_BEGIN;D_EIND;D_STATUS
"D038-063";"diameter tussen 38 en 63 um";"KorrelgrootteFractie";10-06-2011;;"G"
"D050-063";"diameter tussen 50 en 63 um";"KorrelgrootteFractie";10-06-2011;;"G"
"D063-090";"diameter tussen 63 en 90 um";"KorrelgrootteFractie";10-06-2011;;"G"
"D063-125";"diameter tussen 63 en 125 um";"KorrelgrootteFractie";10-06-2011;;"G"
"D090-125";"diameter tussen 90 en 125 um";"KorrelgrootteFractie";10-06-2011;;"G"
"D106-150";"diameter tussen 106 en 150 um";"KorrelgrootteFractie";10-06-2011;;"G"
"D125-180";"diameter tussen 125 en 180 um";"KorrelgrootteFractie";10-06-2011;;"G"
"D125-250";"diameter tussen 125 en 250 um";"KorrelgrootteFractie";10-06-2011;;"G"
"D150-212";"diameter tussen 150 en 212 um";"KorrelgrootteFractie";10-06-2011;;"G"
"D180-250";"diameter tussen 180 en 250 um";"KorrelgrootteFractie";10-06-2011;;"G"
"D1E3-2E3";"diameter tussen 1000 en 2000 um";"KorrelgrootteFractie";10-06-2011;;"G"
"D212-250";"diameter tussen 212 en 250 um";"KorrelgrootteFractie";10-06-2011;;"G"
"D250-300";"diameter tussen 250 en 300 um";"KorrelgrootteFractie";10-06-2011;;"G"
"D250-355";"diameter tussen 250 en 355 um";"KorrelgrootteFractie";10-06-2011;;"G"
"D250-500";"diameter tussen 250 en 500 um";"KorrelgrootteFractie";10-06-2011;;"G"
"D300-425";"diameter tussen 300 en 425 um";"KorrelgrootteFractie";10-06-2011;;"G"
"D355-500";"diameter tussen 355 en 500 um";"KorrelgrootteFractie";10-06-2011;;"G"
"D500-1E3";"diameter tussen 500 en 1000 um";"KorrelgrootteFractie";10-06-2011;;"G"
"DICHT";"dicht";"HoedanigheidFractieBasis";07-08-2013;;"G"
"DNAKPN";"uitgedrukt in DNA-kopieën";"HoedanigheidEquivalent";12-02-2013;;"G"
"DOOD";"Dood";"BiologischKenmerk";17-03-2012;;"G"
"DRIJVD";"Drijvende fractie";"HoedanigheidFractieBasis";05-08-2011;;"G"
"Dg0038";"diameter groter dan 38 um";"KorrelgrootteFractie";08-12-2012;;"G"
"Dg0043";"diameter groter dan 43 um";"KorrelgrootteFractie";10-06-2011;;"G"
"Dg0050";"diameter groter dan 50 um";"KorrelgrootteFractie";10-06-2011;;"G"
"Dg0053";"diameter groter dan 53 um";"KorrelgrootteFractie";10-06-2011;;"G"
"Dg0063";"diameter groter dan 63 um";"KorrelgrootteFractie";10-06-2011;;"G"
"Dg0150";"diameter groter dan 150 um";"KorrelgrootteFractie";10-06-2011;;"G"
"Dg0210";"diameter groter dan 210 um";"KorrelgrootteFractie";10-06-2011;;"G"
"Dg0250";"diameter groter dan 250 um";"KorrelgrootteFractie";10-06-2011;;"G"
"Dg032";"diameter groter dan 32 mm";"KorrelgrootteFractie";24-05-2014;;"G"
"Dg0425";"diameter groter dan 425 um";"KorrelgrootteFractie";10-06-2011;;"G"
"Dg2000";"diameter groter dan 2000 um";"KorrelgrootteFractie";10-06-2011;;"G"
"Dg2000md";"diameter groter dan 2000 um / minerale delen";"KorrelgrootteFractie";10-06-2011;;"G"
"Dk0002";"diameter kleiner dan 2 um";"KorrelgrootteFractie";10-06-2011;;"G"
"Dk0002dg";"diameter kleiner dan 2 um / drooggewicht";"KorrelgrootteFractie";26-05-2012;;"G"
"Dk0002md";"diameter kleiner dan 2 um / minerale delen";"KorrelgrootteFractie";10-06-2011;;"G"
"Dk0004";"diameter kleiner dan 4 um";"KorrelgrootteFractie";10-06-2011;;"G"
"Dk0008";"diameter kleiner dan 8 um";"KorrelgrootteFractie";10-06-2011;;"G"
"Dk0010";"diameter kleiner dan 10 um";"KorrelgrootteFractie";10-06-2011;;"G"
"Dk0016";"diameter kleiner dan 16 um";"KorrelgrootteFractie";10-06-2011;;"G"
"Dk0016dg";"diameter kleiner dan 16 um / drooggewicht";"KorrelgrootteFractie";26-05-2012;;"G"
"Dk0016md";"diameter kleiner dan 16 um / minerale delen";"KorrelgrootteFractie";10-06-2011;;"G"
"Dk0020";"diameter kleiner dan 20 um";"KorrelgrootteFractie";10-06-2011;;"G"
"Dk0032";"diameter kleiner dan 32 um";"KorrelgrootteFractie";10-06-2011;;"G"
"Dk0032md";"diameter kleiner dan 32 um / minerale delen";"KorrelgrootteFractie";10-06-2011;;"G"
"Dk0035";"diameter kleiner dan 35 um";"KorrelgrootteFractie";26-05-2012;;"G"
"Dk0038";"diameter kleiner dan 38 um";"KorrelgrootteFractie";08-12-2012;;"G"
"Dk0038md";"diameter kleiner dan 38 um / minerale delen";"KorrelgrootteFractie";08-12-2012;;"G"
"Dk0045";"diameter kleiner dan 45 um";"KorrelgrootteFractie";10-06-2011;;"G"
"Dk0050";"diameter kleiner dan 50 um";"KorrelgrootteFractie";10-06-2011;;"G"
"Dk0050md";"diameter kleiner dan 50 um / minerale delen";"KorrelgrootteFractie";10-06-2011;;"G"
"Dk0053";"diameter kleiner dan 53 um";"KorrelgrootteFractie";10-06-2011;;"G"
"Dk0063";"diameter kleiner dan 63 um";"KorrelgrootteFractie";10-06-2011;;"G"
"Dk0063dg";"diameter kleiner dan 63 um / drooggewicht";"KorrelgrootteFractie";21-11-2013;;"G"
"Dk0063md";"diameter kleiner dan 63 um / minerale delen";"KorrelgrootteFractie";10-06-2011;;"G"
"Dk0080";"diameter kleiner dan 80 um";"KorrelgrootteFractie";10-06-2011;;"G"
"Dk0090";"diameter kleiner dan 90 um";"KorrelgrootteFractie";10-06-2011;;"G"
"Dk0090md";"diameter kleiner dan 90 um / minerale delen";"KorrelgrootteFractie";08-12-2012;;"G"
"Dk0105";"diameter kleiner dan 105 um";"KorrelgrootteFractie";10-06-2011;;"G"
"Dk0106";"diameter kleiner dan 106 um";"KorrelgrootteFractie";10-06-2011;;"G"
"Dk0125";"diameter kleiner dan 125 um";"KorrelgrootteFractie";10-06-2011;;"G"
"Dk0125md";"diameter kleiner dan 125 um / minerale delen";"KorrelgrootteFractie";10-06-2011;;"G"
"Dk0180";"diameter kleiner dan 180 um";"KorrelgrootteFractie";10-06-2011;;"G"
"Dk0180md";"diameter kleiner dan 180 um / minerale delen";"KorrelgrootteFractie";08-12-2012;;"G"
"Dk0210";"diameter kleiner dan 210 um";"KorrelgrootteFractie";10-06-2011;;"G"
"Dk0250";"diameter kleiner dan 250 um";"KorrelgrootteFractie";10-06-2011;;"G"
"Dk0250md";"diameter kleiner dan 250 um / minerale delen";"KorrelgrootteFractie";10-06-2011;;"G"
"Dk0355";"diameter kleiner dan 355 um";"KorrelgrootteFractie";10-06-2011;;"G"
"Dk0355md";"diameter kleiner dan 355 um / minerale delen";"KorrelgrootteFractie";08-12-2012;;"G"
"Dk0500";"diameter kleiner dan 500 um";"KorrelgrootteFractie";10-06-2011;;"G"
"Dk0500md";"diameter kleiner dan 500 um / minerale delen";"KorrelgrootteFractie";10-06-2011;;"G"
"Dk1000";"diameter kleiner dan 1000 um";"KorrelgrootteFractie";10-06-2011;;"G"
"Dk1000md";"diameter kleiner dan 1000 um / minerale delen";"KorrelgrootteFractie";10-06-2011;;"G"
"Dk2000";"diameter kleiner dan 2000 um";"KorrelgrootteFractie";10-06-2011;;"G"
"Dk2000md";"diameter kleiner dan 2000 um / minerale delen";"KorrelgrootteFractie";10-06-2011;;"G"
"Dk4000";"diameter kleiner dan 4000 um";"KorrelgrootteFractie";10-06-2011;;"G"
"Dk8000";"diameter kleiner dan 8000 um";"KorrelgrootteFractie";10-06-2011;;"G"
"EB-F";"Energiebron-Fototroof";"BiologischKenmerk";10-06-2011;;"G"
"EB-H";"Energiebron-Heterotroof";"BiologischKenmerk";10-06-2011;;"G"
"EEQ";"uitgedrukt in 17b-estradiol equivalenten";"HoedanigheidEquivalent";10-06-2011;;"G"
"EKR";"uitgedrukt in Ecologische Kwaliteitsratio";"HoedanigheidEquivalent";10-06-2011;;"G"
"EMS";"Emerse fractie";"HoedanigheidFractieBasis";05-08-2011;;"G"
"EPSG19986";"ETRS89-LambertEqualArea";"ReferentiePlaats";24-09-2012;;"G"
"EPSG23031";"ED50/UTM31";"ReferentiePlaats";24-09-2012;;"G"
"EPSG23032";"ED50/UTM32";"ReferentiePlaats";24-09-2012;;"G"
"EPSG28991";"Rijksdriehoekstelsel-Oud";"ReferentiePlaats";24-09-2012;;"G"
"EPSG28992";"Rijksdriehoekstelsel-Nieuw";"ReferentiePlaats";24-09-2012;;"G"
"EPSG3034";"ETRS89-LambertConformConic";"ReferentiePlaats";24-09-2012;;"G"
"EPSG4258";"ETRS89 lengte- en breedtegraden";"ReferentiePlaats";15-10-2013;;"G"
"F025-035";"golffrequentie tussen 25 en 35 mHz";"GolffrequentieKlasse";10-06-2011;;"G"
"F035-045";"golffrequentie tussen 35 en 45 mHz";"GolffrequentieKlasse";10-06-2011;;"G"
"F045-055";"golffrequentie tussen 45 en 55 mHz";"GolffrequentieKlasse";10-06-2011;;"G"
"F055-065";"golffrequentie tussen 55 en 65 mHz";"GolffrequentieKlasse";10-06-2011;;"G"
"F065-075";"golffrequentie tussen 65 en 75 mHz";"GolffrequentieKlasse";10-06-2011;;"G"
"F075-085";"golffrequentie tussen 75 en 85 mHz";"GolffrequentieKlasse";10-06-2011;;"G"
"F085-095";"golffrequentie tussen 85 en 95 mHz";"GolffrequentieKlasse";10-06-2011;;"G"
"F095-105";"golffrequentie tussen 95 en 105 mHz";"GolffrequentieKlasse";10-06-2011;;"G"
"F105-115";"golffrequentie tussen 105 en 115 mHz";"GolffrequentieKlasse";10-06-2011;;"G"
"F115-125";"golffrequentie tussen 115 en 125 mHz";"GolffrequentieKlasse";10-06-2011;;"G"
"F125-135";"golffrequentie tussen 125 en 135 mHz";"GolffrequentieKlasse";10-06-2011;;"G"
"F135-145";"golffrequentie tussen 135 en 145 mHz";"GolffrequentieKlasse";10-06-2011;;"G"
"F145-155";"golffrequentie tussen 145 en 155 mHz";"GolffrequentieKlasse";10-06-2011;;"G"
"F155-165";"golffrequentie tussen 155 en 165 mHz";"GolffrequentieKlasse";10-06-2011;;"G"
"F165-175";"golffrequentie tussen 165 en 175 mHz";"GolffrequentieKlasse";10-06-2011;;"G"
"F175-185";"golffrequentie tussen 175 en 185 mHz";"GolffrequentieKlasse";10-06-2011;;"G"
"F185-195";"golffrequentie tussen 185 en 195 mHz";"GolffrequentieKlasse";10-06-2011;;"G"
"F195-205";"golffrequentie tussen 195 en 205 mHz";"GolffrequentieKlasse";10-06-2011;;"G"
"F205-215";"golffrequentie tussen 205 en 215 mHz";"GolffrequentieKlasse";10-06-2011;;"G"
"F215-225";"golffrequentie tussen 215 en 225 mHz";"GolffrequentieKlasse";10-06-2011;;"G"
"F225-235";"golffrequentie tussen 225 en 235 mHz";"GolffrequentieKlasse";10-06-2011;;"G"
"F235-245";"golffrequentie tussen 235 en 245 mHz";"GolffrequentieKlasse";10-06-2011;;"G"
"F245-255";"golffrequentie tussen 245 en 255 mHz";"GolffrequentieKlasse";10-06-2011;;"G"
"F255-265";"golffrequentie tussen 255 en 265 mHz";"GolffrequentieKlasse";10-06-2011;;"G"
"F265-275";"golffrequentie tussen 265 en 275 mHz";"GolffrequentieKlasse";10-06-2011;;"G"
"F275-285";"golffrequentie tussen 275 en 285 mHz";"GolffrequentieKlasse";10-06-2011;;"G"
"F285-295";"golffrequentie tussen 285 en 295 mHz";"GolffrequentieKlasse";10-06-2011;;"G"
"F295-305";"golffrequentie tussen 295 en 305 mHz";"GolffrequentieKlasse";10-06-2011;;"G"
"F305-315";"golffrequentie tussen 305 en 315 mHz";"GolffrequentieKlasse";10-06-2011;;"G"
"F315-325";"golffrequentie tussen 315 en 325 mHz";"GolffrequentieKlasse";10-06-2011;;"G"
"F325-335";"golffrequentie tussen 325 en 335 mHz";"GolffrequentieKlasse";10-06-2011;;"G"
"F335-345";"golffrequentie tussen 335 en 345 mHz";"GolffrequentieKlasse";10-06-2011;;"G"
"F345-355";"golffrequentie tussen 345 en 355 mHz";"GolffrequentieKlasse";10-06-2011;;"G"
"F355-365";"golffrequentie tussen 355 en 365 mHz";"GolffrequentieKlasse";10-06-2011;;"G"
"F365-375";"golffrequentie tussen 365 en 375 mHz";"GolffrequentieKlasse";10-06-2011;;"G"
"F375-385";"golffrequentie tussen 375 en 385 mHz";"GolffrequentieKlasse";10-06-2011;;"G"
"F385-395";"golffrequentie tussen 385 en 395 mHz";"GolffrequentieKlasse";10-06-2011;;"G"
"F395-405";"golffrequentie tussen 395 en 405 mHz";"GolffrequentieKlasse";10-06-2011;;"G"
"F405-415";"golffrequentie tussen 405 en 415 mHz";"GolffrequentieKlasse";10-06-2011;;"G"
"F415-425";"golffrequentie tussen 415 en 425 mHz";"GolffrequentieKlasse";10-06-2011;;"G"
"F425-435";"golffrequentie tussen 425 en 435 mHz";"GolffrequentieKlasse";10-06-2011;;"G"
"F435-445";"golffrequentie tussen 435 en 445 mHz";"GolffrequentieKlasse";10-06-2011;;"G"
"F445-455";"golffrequentie tussen 445 en 455 mHz";"GolffrequentieKlasse";10-06-2011;;"G"
"F455-465";"golffrequentie tussen 455 en 465 mHz";"GolffrequentieKlasse";10-06-2011;;"G"
"F465-475";"golffrequentie tussen 465 en 475 mHz";"GolffrequentieKlasse";10-06-2011;;"G"
"F475-485";"golffrequentie tussen 475 en 485 mHz";"GolffrequentieKlasse";10-06-2011;;"G"
"F485-495";"golffrequentie tussen 485 en 495 mHz";"GolffrequentieKlasse";10-06-2011;;"G"
"F495-505";"golffrequentie tussen 495 en 505 mHz";"GolffrequentieKlasse";10-06-2011;;"G"
"GE-M";"Geslacht-Man";"BiologischKenmerk";10-06-2011;;"G"
"GE-V";"Geslacht-Vrouw";"BiologischKenmerk";10-06-2011;;"G"
"H3";"uitgedrukt in Tritium";"HoedanigheidEquivalent";10-06-2011;;"G"
"HALVWTKL";"halve waterkolom";"ReferentieVlak";10-06-2011;;"G"
"HAT";"t.o.v. Highest Astronomical Tide";"ReferentieVlak";10-06-2011;;"G"
"HAc";"uitgedrukt in azijnzuur";"HoedanigheidEquivalent";10-06-2011;;"G"
"HCO3";"uitgedrukt in Bicarbonaat";"HoedanigheidEquivalent";10-06-2011;;"G"
"HOOGPL";"t.o.v. hoog peil";"ReferentieVlak";18-01-2012;;"G"
"HOOGTRF";"hoog tarief";"HoedanigheidFractieBasis";10-06-2011;;"G"
"I-TEQ";"uitgedrukt in I-TEQ";"HoedanigheidEquivalent";10-06-2011;;"G"
"I-TEQdg";"uitgedrukt in I-TEQ / drooggewicht";"HoedanigheidCombinatie";10-06-2011;;"G"
"INSU";"In situ";"niet gebruiken";16-03-2013;;"G"
"K2O";"uitgedrukt in kaliumoxide";"HoedanigheidEquivalent";21-01-2014;;"G"
"K2Odg";"uitgedrukt in Kaliumoxide / drooggewicht";"HoedanigheidCombinatie";10-06-2011;;"G"
"KAARTNDN";"t.o.v. kaart Noorden";"ReferentieRichting";10-06-2011;;"G"
"KCldg";"uitgedrukt in Kaliumchloride / drooggewicht";"HoedanigheidCombinatie";10-06-2011;;"G"
"KELLBSG";"t.o.v. Kelly Bushing";"ReferentieVlak";10-06-2011;;"G"
"KL5";"uitgedrukt in 5 klassen";"HoedanigheidEquivalent";10-06-2011;;"G"
"KVE";"uitgedrukt in kolonie vormende eenheden";"HoedanigheidEquivalent";10-06-2011;;"G"
"L250nm";"gemeten bij golflengte 250 nm";"HoedanigheidOnterecht";10-06-2011;;"G"
"L254nm";"gemeten bij golflengte 254 nm";"HoedanigheidOnterecht";10-06-2011;;"G"
"L380nm";"gemeten bij golflengte 380 nm";"HoedanigheidOnterecht";10-06-2011;;"G"
"L400-700";"gemeten bij golflengtebereik 400 tot 700 nm";"HoedanigheidOnterecht";12-02-2013;;"G"
"L400nm";"gemeten bij golflengte 400 nm";"HoedanigheidOnterecht";10-06-2011;;"G"
"L435-525";"gemeten bij golflengtebereik 435 tot 525 nm";"HoedanigheidOnterecht";30-10-2013;;"G"
