Code;Omschrijving;Groep;D_BEGIN;D_EIND;D_STATUS
"Nodg";"uitgedrukt in Stikstof / organisch drooggewicht";"HoedanigheidCombinatie";10-06-2011;;"G"
"Nos";"uitgedrukt in Stikstof / organische stof";"HoedanigheidCombinatie";10-06-2011;;"G"
"Npg";"uitgedrukt in Stikstof particulair gebonden";"HoedanigheidCombinatie";10-06-2011;;"G"
"O";"uitgedrukt in Zuurstof (element)";"HoedanigheidEquivalent";22-01-2013;;"G"
"O2";"uitgedrukt in Zuurstof";"HoedanigheidEquivalent";10-06-2011;;"G"
"O2dg";"uitgedrukt in Zuurstof / drooggewicht";"HoedanigheidCombinatie";10-06-2011;;"G"
"O2ndc";"uitgedrukt in Zuurstof na decanteren";"HoedanigheidCombinatie";10-06-2011;;"G"
"O2nf";"uitgedrukt in Zuurstof na filtratie";"HoedanigheidCombinatie";10-06-2011;;"G"
"OLA";"t.o.v. Overeengekomen Lage Afvoer";"ReferentieVlak";10-06-2011;;"G"
"OLR1982";"t.o.v. Overeengekomen Lage Rivierstand 1982.0";"ReferentieVlak";10-06-2011;;"G"
"OLR1992";"t.o.v. Overeengekomen Lage Rivierstand 1992.0";"ReferentieVlak";31-10-2013;;"G"
"OLR2002";"t.o.v. Overeengekomen Lage Rivierstand 2002.0";"ReferentieVlak";31-10-2013;;"G"
"OLW1972";"t.o.v. Overeengekomen Lage Waterstand 1972.0";"ReferentieVlak";10-06-2011;;"G"
"OLW1982";"t.o.v. Overeengekomen Lage Waterstand 1982.0";"ReferentieVlak";10-06-2011;;"G"
"OLW1991";"t.o.v. Overeengekomen Lage Waterstand 1991.0";"ReferentieVlak";10-06-2011;;"G"
"OPGLT";"opgelost";"HoedanigheidOnterecht";10-06-2011;;"G"
"OPN";"open";"HoedanigheidFractieBasis";07-08-2013;;"G"
"P";"uitgedrukt in Fosfor";"HoedanigheidEquivalent";10-06-2011;;"G"
"P2O5dg";"uitgedrukt in P2O5 / drooggewicht";"HoedanigheidCombinatie";10-06-2011;;"G"
"P2O5ng";"uitgedrukt in P2O5 / natgewicht";"HoedanigheidCombinatie";10-06-2011;;"G"
"PAF";"uitgedrukt in Potentieel Aangetaste Fractie";"HoedanigheidEquivalent";10-06-2011;;"G"
"PBBK";"t.o.v. peilbuis bovenkant";"ReferentieVlak";10-06-2011;;"G"
"PLAATSLR";"t.o.v. plaatselijk referentievlak";"ReferentieVlak";10-06-2011;;"G"
"PO4";"uitgedrukt in fosfaat";"HoedanigheidEquivalent";21-01-2014;;"G"
"POlsendg";"uitgedrukt in Olsen-P (fosfor) / drooggewicht";"HoedanigheidCombinatie";01-09-2011;;"G"
"POlsenng";"uitgedrukt in Olsen-P (fosfor) / natgewicht";"HoedanigheidCombinatie";07-09-2013;;"G"
"PVE";"uitgedrukt in plaque vormende eenheden";"HoedanigheidEquivalent";11-06-2011;;"G"
"Pdg";"uitgedrukt in Fosfor / drooggewicht";"HoedanigheidCombinatie";10-06-2011;;"G"
"Pndc";"uitgedrukt in Fosfor na decanteren";"HoedanigheidCombinatie";10-06-2011;;"G"
"Pnf";"uitgedrukt in Fosfor na filtratie";"HoedanigheidCombinatie";10-06-2011;;"G"
"Pos";"uitgedrukt in Fosfor / organische stof";"HoedanigheidCombinatie";10-06-2011;;"G"
"Ppg";"uitgedrukt in Fosfor particulair gebonden";"HoedanigheidCombinatie";10-06-2011;;"G"
"PtCo";"uitgedrukt volgens PtCo-schaal";"HoedanigheidEquivalent";10-06-2011;;"G"
"RAAIRTG";"t.o.v. raairichting";"ReferentieRichting";10-06-2011;;"G"
"RECHTOVR";"t.o.v. rechteroever";"ReferentieRichting";18-01-2012;;"G"
"S";"uitgedrukt in Zwavel";"HoedanigheidEquivalent";10-06-2011;;"G"
"SENSR";"t.o.v. (hoogte van) sensor";"ReferentieVlak";10-06-2011;;"G"
"SO4";"uitgedrukt in sulfaat";"HoedanigheidEquivalent";21-01-2014;;"G"
"SO4nf";"uitgedrukt in Sulfaat na filtratie";"HoedanigheidCombinatie";10-06-2011;;"G"
"SPRONGLG";"t.o.v. spronglaag";"ReferentieVlak";10-06-2011;;"G"
"SUBMS";"Submerse fractie";"HoedanigheidFractieBasis";05-08-2011;;"G"
"Sdg";"uitgedrukt in zwavel / drooggewicht";"HoedanigheidCombinatie";21-01-2014;;"G"
"Si";"uitgedrukt in Silicium";"HoedanigheidEquivalent";10-06-2011;;"G"
"Sinf";"uitgedrukt in Silicium na filtratie";"HoedanigheidCombinatie";10-06-2011;;"G"
"Sipg";"uitgedrukt in Silicium particulair gebonden";"HoedanigheidCombinatie";10-06-2011;;"G"
"Sn";"uitgedrukt in Tin";"HoedanigheidEquivalent";10-06-2011;;"G"
"Sndg";"uitgedrukt in Tin / drooggewicht";"HoedanigheidCombinatie";10-06-2011;;"G"
"Snf";"uitgedrukt in Zwavel na filtratie";"HoedanigheidCombinatie";10-06-2011;;"G"
"TAW";"t.o.v. Tweede Algemene Waterpassing";"ReferentieVlak";10-06-2011;;"G"
"TEQ";"uitgedrukt in Toxiciteit Equivalenten";"HoedanigheidEquivalent";10-06-2011;;"G"
"TEQdg";"uitgedrukt in Toxiciteit Equivalenten / drooggewicht";"HoedanigheidCombinatie";10-06-2011;;"G"
"TOERTHG";"toerental hoog";"HoedanigheidFractieBasis";10-06-2011;;"G"
"TOERTLG";"toerental laag";"HoedanigheidFractieBasis";10-06-2011;;"G"
"TOERTMDL";"toerental middel";"HoedanigheidFractieBasis";10-06-2011;;"G"
"TansleyS";"uitgedrukt volgens Tansley-schaal";"HoedanigheidEquivalent";28-06-2011;;"G"
"VETGWT";"t.o.v. vetgewicht";"HoedanigheidReferentieBasis";10-06-2011;;"G"
"VL-0";"Vislengteklasse-0 (0+: vis in het eerste levensjaar)";"BiologischKenmerk";01-07-2013;;"G"
"VL-1";"Vislengteklasse-1 (ouder dan 0+ en met een lengte t/m 15 cm)";"BiologischKenmerk";01-07-2013;;"G"
"VL-2";"Vislengteklasse-2 (16 t/m 25 cm)";"BiologischKenmerk";01-07-2013;;"G"
"VL-3";"Vislengteklasse-3 (26 t/m 40 cm)";"BiologischKenmerk";01-07-2013;;"G"
"VL-4";"Vislengteklasse-4 (groter dan 40 cm)";"BiologischKenmerk";01-07-2013;;"G"
"VLSK-1";"Vislengte snoek klasse 1 (0 t/m 15 cm)";"BiologischKenmerk";07-06-2012;;"G"
"VLSK-2";"Vislengte snoek klasse 2 (16 t/m 35 cm)";"BiologischKenmerk";07-06-2012;;"G"
"VLSK-3";"Vislengte snoek klasse 3 (36 t/m 44 cm)";"BiologischKenmerk";07-06-2012;;"G"
"VLSK-4";"Vislengte snoek klasse 4 (45 t/m 54 cm)";"BiologischKenmerk";07-06-2012;;"G"
"VLSK-5";"Vislengte snoek klasse 5 (groter dan 54 cm)";"BiologischKenmerk";07-06-2012;;"G"
"VV-B";"Verschijningsvorm-Behaard";"BiologischKenmerk";10-06-2011;;"G"
"VV-G";"Verschijningsvorm-Gepantserd";"BiologischKenmerk";10-06-2011;;"G"
"VV-N";"Verschijningsvorm-Naakt";"BiologischKenmerk";10-06-2011;;"G"
"WARNDN";"t.o.v. ware Noorden";"ReferentieRichting";10-06-2011;;"G"
"WATKLM";"uitgedrukt in hoogte waterkolom";"HoedanigheidEquivalent";10-06-2011;;"G"
"WATSGL";"t.o.v. waterspiegel";"ReferentieVlak";10-06-2011;;"G"
"WI";"uitgedrukt in Waterindex";"HoedanigheidEquivalent";10-06-2011;;"G"
"absdg";"t.o.v. absorbent drooggewicht";"HoedanigheidReferentieBasis";16-03-2013;;"G"
"adg";"asvrij drooggewicht";"HoedanigheidFractieBasis";26-08-2011;;"G"
"blauwalg";"fractie afkomstig van blauwalgen";"HoedanigheidFractieBasis";10-06-2011;;"G"
"cel";"uitgedrukt in cellen";"HoedanigheidEquivalent";10-06-2011;;"G"
"coe";"uitgedrukt in coenobia";"HoedanigheidEquivalent";27-08-2011;;"G"
"cryptofy";"fractie afkomstig van cryptofyten";"HoedanigheidFractieBasis";10-06-2011;;"G"
"dBZV";"BZV verwijderd";"HoedanigheidFractieBasis";10-06-2011;;"G"
"dBZVdg";"BZV verwijderd / drooggewicht";"HoedanigheidCombinatie";10-06-2011;;"G"
"dCZV";"CZV verwijderd";"HoedanigheidFractieBasis";10-06-2011;;"G"
"dCZVdg";"CZV verwijderd / drooggewicht";"HoedanigheidCombinatie";10-06-2011;;"G"
"dTZV";"TZV verwijderd";"HoedanigheidFractieBasis";10-06-2011;;"G"
"dTZVdg";"TZV verwijderd / drooggewicht";"HoedanigheidCombinatie";10-06-2011;;"G"
"dg";"t.o.v. drooggewicht";"HoedanigheidReferentieBasis";10-06-2011;;"G"
"diatomee";"fractie afkomstig van diatomeeën";"HoedanigheidFractieBasis";10-06-2011;;"G"
"fil";"uitgedrukt in filamenten";"HoedanigheidEquivalent";27-08-2011;;"G"
"glucse";"uitgedrukt als glucose";"HoedanigheidEquivalent";10-06-2011;;"G"
"grensWTP";"t.o.v. grensvlak wel/geen begroeiing waterplanten";"HoedanigheidReferentieBasis";02-03-2013;;"G"
"groenalg";"fractie afkomstig van groenalgen";"HoedanigheidFractieBasis";10-06-2011;;"G"
"hor-vlak";"in horizontaal vlak";"ReferentieRichting";10-06-2011;;"G"
"hyf";"hydroliseerbare fractie";"HoedanigheidFractieBasis";10-06-2011;;"G"
"kol";"uitgedrukt in kolonies";"HoedanigheidEquivalent";27-08-2011;;"G"
"md";"minerale delen ( OS / Calciet verwijderd)";"HoedanigheidFractieBasis";10-06-2011;;"G"
"nb";"na beluchten";"HoedanigheidOnterecht";10-06-2011;;"G"
"nbz";"na bezinken";"HoedanigheidOnterecht";10-06-2011;;"G"
"nc";"na centifugeren";"HoedanigheidOnterecht";10-06-2011;;"G"
"nd";"na verdunning";"HoedanigheidOnterecht";10-06-2011;;"G"
"ndc";"na decanteren";"HoedanigheidOnterecht";10-06-2011;;"G"
"ne";"na extractie";"HoedanigheidOnterecht";10-06-2011;;"G"
"nf";"na filtratie (opgeloste fractie)";"HoedanigheidFractieBasis";10-06-2011;;"G"
"nfdg";"na filtratie / drooggewicht";"HoedanigheidCombinatie";10-06-2011;;"G"
"ng";"t.o.v. natgewicht";"HoedanigheidReferentieBasis";10-06-2011;;"G"
"nv";"na vriesdrogen";"HoedanigheidOnterecht";10-06-2011;;"G"
"odg";"t.o.v. organisch drooggewicht";"HoedanigheidReferentieBasis";10-06-2011;;"G"
"pg";"particulair gebonden";"HoedanigheidFractieBasis";10-06-2011;;"G"
"tX100";"uitgedrukt in tritX100 (triton X-100)";"HoedanigheidEquivalent";12-04-2014;;"G"
"toxblauw";"fractie afkomstig van toxische blauwalgen";"HoedanigheidFractieBasis";11-06-2011;;"G"
"ver-vlak";"in verticaal vlak";"ReferentieRichting";10-06-2011;;"G"
