variable;x.upper;x.mean;x.lower
WZ30 Mardie;0.031613766;0.025140521;0.018667276
WZ110DooveB W;0.045977950;0.031359826;0.016741703
WZ190Vliestr;0.030128878;0.020259548;0.010390219
WZ420Dantzig;0.022188289;0.015668869;0.009149449
WZ230Blauwe;0.028813717;0.018542658;0.008271600
WZ200DooveB O;0.050258753;0.040574195;0.030889637
WZ480Zoutkam;0.048260768;0.036252706;0.024244643
