variable;x.upper;x.mean;x.lower
WZ110DooveB W;0.01751839;0.01573409;0.01394979
WZ190Vliestr;0.01498248;0.01336239;0.01174229
WZ200DooveB O;0.02009424;0.01704545;0.01399667
WZ230Blauwe;0.02378253;0.02018519;0.01658784
WZ30 Mardie;0.01881727;0.01687337;0.01492947
WZ420Dantzig;0.02859737;0.02478333;0.02096930
WZ480Zoutkam;0.03632959;0.03217143;0.02801327
