variable;x.upper;x.mean;x.lower
WZ30 Mardie; 0.95666936; 0.87614050; 0.79561164
WZ110DooveB W; 1.66833276; 1.32687389; 0.98541502
WZ190Vliestr; 1.45366243; 1.22861050; 1.00355856
WZ420Dantzig; 2.54315197; 2.09606289; 1.64897380
WZ230Blauwe; 1.93436295; 1.45898505; 0.98360715
WZ200DooveB O; 2.62847676; 1.26654243;-0.09539189
WZ480Zoutkam; 4.47144577; 3.36093137; 2.25041698
